id,rep,office_name,type,phone_1,phone_2,phone_3,phone_4,line_1,line_2,city,state,zip,rep_full
1,"""VT00 Peter Welch, D""",Burlington Office,district,(802) 652-2450,,,,128 Lakeside Ave,Suite 235,Burlington,VT,05401,"VT00 Peter Welch, D"
2,"""WI01 Paul D. Ryan, R""",Janesville office,district,(608) 752-4050,,,,20 South Main Street,Suite 10 ,Janesville,WI,53545,"WI01 Paul D. Ryan, R"
3,"""WI01 Paul D. Ryan, R""",Kenosha office,district,(262) 654-1901,,,,5031 7th Avenue,,Kenosha,WI,53140 ,"WI01 Paul D. Ryan, R"
4,"""WI01 Paul D. Ryan, R""",Racine office,district,(262) 637-0510,,,,216 6th Street,,Racine,WI,53403 ,"WI01 Paul D. Ryan, R"
5,"""AL01 Bradley Byrne, R""",Baldwin County Office,district,(251) 989-2664,,,,502 West Lee Avenue,,Summerdale,AL,36580,"AL01 Bradley Byrne, R"
6,"""AL01 Bradley Byrne, R""",Mobile Office,district,(251) 690-2811,,,,11 N. Water St.,Ste. 15290,Mobile,AL,36602,"AL01 Bradley Byrne, R"
7,"""AL02 Martha Roby, R""",Andalusia Office,district,(334) 428-1129,,,,City Hall,505 E. Three Notch Street #322,Andalusia,AL,36420,"AL02 Martha Roby, R"
8,"""AL02 Martha Roby, R""",Dothan Office,district,(334) 794-9680,,,,217 Graceland Drive,Suite 5,Dothan,AL,36305,"AL02 Martha Roby, R"
9,"""AL02 Martha Roby, R""",Montgomery Office,district,(334) 262-7718,,,,401 Adams Avenue,Suite 160,Montgomery,AL,36104,"AL02 Martha Roby, R"
10,"""AL03 Mike Rogers, R""",Anniston,district,(256) 236-5655,,,,1129 Noble St,# 104,Anniston,AL,36201,"AL03 Mike Rogers, R"
11,"""AL03 Mike Rogers, R""",Opelika,district,(334) 745-6221,,,,"701 Avenue A, Suite 300",G.W. Andrews Federal Building,Opelika,AL,36801,"AL03 Mike Rogers, R"
12,"""AL04 Robert B. Aderholt, R""",Cullman Office,district,(256) 734-6043,,,,,,Cullman,AL,,"AL04 Robert B. Aderholt, R"
13,"""AL04 Robert B. Aderholt, R""",Gadsden Office,district,(256) 546-0201,,,,,,Gadsden,AL,,"AL04 Robert B. Aderholt, R"
14,"""AL04 Robert B. Aderholt, R""",Jasper Office,district,(205) 221-2310,,,,,,Jasper,AL,,"AL04 Robert B. Aderholt, R"
15,"""AL04 Robert B. Aderholt, R""",Tuscumbia Office,district,(256) 381-3450,,,,1011 George Wallace Blvd.,Suite 146,Tuscumbia,AL,35674,"AL04 Robert B. Aderholt, R"
16,"""AL05 Mo Brooks, R""",Decatur Office,district,(256) 355-9400,,,,302 Lee Street,Room 86,Decatur,AL,35601,"AL05 Mo Brooks, R"
17,"""AL05 Mo Brooks, R""",Huntsville Office,district,(256) 551-0190,,,,2101 W. Clinton Avenue,Suite 302,Huntsville,AL,35805,"AL05 Mo Brooks, R"
18,"""AL05 Mo Brooks, R""",Shoals Office,district,(256) 718-5155,,,,102 South Court Street,Suite 310,Florence,AL,35630,"AL05 Mo Brooks, R"
19,"""AL06 Gary J. Palmer, R""",Birmingham,district,(205) 968-1290,,,,3535 Grandview Parkway,Suite 525,Birmingham,AL,35243,"AL06 Gary J. Palmer, R"
20,"""AL06 Gary J. Palmer, R""",Clanton,district,(205) 280-6846,,,,703 2nd Avenue North,Box 502,Clanton,AL,35045,"AL06 Gary J. Palmer, R"
21,"""AL06 Gary J. Palmer, R""",Oneonta,district,(205) 274-2136,,,,202 3rd Avenue,,Oneonta,AL,35121,"AL06 Gary J. Palmer, R"
22,"""AL07 Terri A. Sewell, D""",Birmingham Office,district,(205) 254-1960,,,,Two 20th Street North,Suite 1130,Birmingham,AL,35203,"AL07 Terri A. Sewell, D"
23,"""AL07 Terri A. Sewell, D""",Montgomery Office,district,(334) 262-1919,,,,101 South Lawrence St.,Courthouse Annex 3,Montgomery,AL,36104,"AL07 Terri A. Sewell, D"
24,"""AL07 Terri A. Sewell, D""",Selma Office,district,(334) 877-4414,,,,908 Alabama Avenue,"Federal Building, Suite 112",Selma,AL,36701,"AL07 Terri A. Sewell, D"
25,"""AL07 Terri A. Sewell, D""",Tuscaloosa Office,district,(205) 752-5380,,,,2501 7th Street,Suite 300,Tuscaloosa,AL,35401,"AL07 Terri A. Sewell, D"
26,"""AK00 Don Young, R""",ANCHORAGE DISTRICT OFFICE,district,(907) 271-5978,,,,4241 B Street,Suite 203,Anchorage,AK,99503,"AK00 Don Young, R"
27,"""AK00 Don Young, R""",FAIRBANKS FIELD OFFICE,district,(907) 456-0210,,,,100 Cushman St. Suite 307,Key Bank Building,Fairbanks,AK,99707,"AK00 Don Young, R"
28,"""MI03 Justin Amash, R""","Grand Rapids, MI office",district,(616) 451-8383,,,,110 Michigan St NW,Suite 460,Grand Rapids,Michigan,49503,"MI03 Justin Amash, R"
29,"""MI08 Mike Bishop, R""",Brighton Office,district,(810) 227-8600,,,,711 E. Grand River Ave.,Suite A,Brighton,Michigan,48116,"MI08 Mike Bishop, R"
30,"""MI13 John  Conyers, Jr., D""",Detroit office,district,(313) 961-5670,,,,231 W. Lafayette,669 Federal Bldg,Detroit,Michigan,48226,"MI13 John  Conyers, Jr., D"
31,"""MI12 Debbie Dingell, D""",Dearborn office,district,(313) 278-2936,,,,19855 West Outer Drive,Suite 103-E,Dearborn,Michigan,48124,"MI12 Debbie Dingell, D"
32,"""MI02 Bill Huizenga, R""",Grandville office,district,(616) 570-0917,,,,4555 Wilson Ave. SW, Suite 3,Grandville,Michigan,49418,"MI02 Bill Huizenga, R"
33,"""MI05 Daniel T. Kildee, D""",Flint office,district,(810) 238-8627,,,,111 East Court St. ,#3B,Flint,Michigan,48502,"MI05 Daniel T. Kildee, D"
34,"""MI14 Brenda L. Lawrence, D""",Southfield office,district,(248) 356-2052,,,,26700 Lahser Road,Suite 330,Southfield,/Michigan,48033,"MI14 Brenda L. Lawrence, D"
35,"""MI09 Sander M. Levin, D""",Roseville office,district,(586) 498-7122,,,,27085 Gratiot Ave,,Roseville,Michigan,48066,"MI09 Sander M. Levin, D"
36,"""MI10 Paul Mitchell, R""",Washington MI office,district,(586) 785-3150,,,,66860 Van Dyke,,Washington,.Michigan,48095,"MI10 Paul Mitchell, R"
37,"""MI04 John R. Moolenaar, R""",Cadillac office,district,(231) 942-5070,,,,201 North Mitchell Street,Suite 301,Cadillac,Michigan,..49601,"MI04 John R. Moolenaar, R"
38,"""MI11 David A. Trott, R""",Troy office,district,(248) 528-0711,,,,625 East Big Beaver Road,Suite 204,Troy,Michigan,.48083,"MI11 David A. Trott, R"
39,"""MI06 Fred Upton, R""",Kalamazoo,district,(269) 385-0039,,,,350 E. Michigan Ave.,Suite 130,Kalamazoo,Michigan,.49007,"MI06 Fred Upton, R"
40,"""MI07 Tim Walberg, R""",Jackson office,district,(517) 780-9075,,,,401 W. Michigan Ave. ,,Jackson,Michigan,49201,"MI07 Tim Walberg, R"
41,"""NJ01 Donald Norcross, D""",Cherry Hill Office,district,(856) 427-7000,,,,10 Melrose Avenue Suite 210,,Cherry Hill,NJ,08003,"NJ01 Donald Norcross, D"
42,"""NJ01 Donald Norcross, D""","Washington, DC Office",capitol,(202) 225-6501,,,,1531 Longworth HOB,,Washington,DC,20515,"NJ01 Donald Norcross, D"
43,"""NJ02 Frank A. LoBiondo, R""",Mays Landing Office,district,(609) 625-5008,(800) 471-4450,,,5914 Main Street Suite 103,,Mays Landing,NJ,08330-1746,"NJ02 Frank A. LoBiondo, R"
