member_full,office_locations,state_and_district,name,last_name,first_name,middle_name,suffix,party,capitol_address,capitol_city,capitol_state,capitol_zip,bioguide_id,office_location_ids
"AK00 Don Young, R","ANCHORAGE DISTRICT OFFICE, FAIRBANKS FIELD OFFICE",AK00,Don Young,Young,Don,,,R,2314 Rayburn House Office Building,Washington,DC,20515-0200,Y000033,"26,27"
"AL01 Bradley Byrne, R","Baldwin County Office, Mobile Office",AL01,Bradley Byrne,Byrne,Bradley,,,R,119 Cannon House Office Building,Washington,DC,20515-0101,B001289,"5,6"
"AL02 Martha Roby, R","Andalusia Office, Dothan Office, Montgomery Office",AL02,Martha Roby,Roby,Martha,,,R,442 Cannon House Office Building,Washington,DC,20515-0102,R000591,"7,8,9"
"AL03 Mike Rogers, R","Anniston, Opelika",AL03,Mike Rogers,Rogers,Mike,,,R,2184 Rayburn House Office Building,Washington,DC,20515-0103,R000575,"10,11"
"AL04 Robert B. Aderholt, R","Cullman Office, Gadsden Office, Jasper Office, Tuscumbia Office",AL04,Robert B. Aderholt,Aderholt,Robert,B.,,R,235 Cannon House Office Building,Washington,DC,20515-0104,A000055,"12,13,14,15"
"AL05 Mo Brooks, R","Decatur Office, Huntsville Office, Shoals Office",AL05,Mo Brooks,Brooks,Mo,,,R,2400 Rayburn House Office Building,Washington,DC,20515-0105,B001274,"16,17,18"
"AL06 Gary J. Palmer, R","Birmingham, Clanton, Oneonta",AL06,Gary J. Palmer,Palmer,Gary,J.,,R,330 Cannon House Office Building,Washington,DC,20515-0106,P000609,"19,20,21"
"AL07 Terri A. Sewell, D","Birmingham Office, Montgomery Office, Selma Office, Tuscaloosa Office",AL07,Terri A. Sewell,Sewell,Terri,A.,,D,2201 Rayburn House Office Building,Washington,DC,20515-0107,S001185,"22,23,24,25"
"AR01 Eric A. ""Rick"" Crawford, R","Jonesboro Office, Cabot Office, Mountain Home Office ",AR01,"Eric A. ""Rick"" Crawford",Crawford,Eric,"A. ""Rick""",,R,2422 Rayburn House Office Building,Washington,DC,20515-0401,C001087,"58,59,60"
"AR02 J. French Hill, R","Conway Office, Little Rock Office",AR02,J. French Hill,Hill,J.,French,,R,1229 Longworth House Office Building,Washington,DC,20515-0402,H001072,"66,67"
"AR03 Steve Womack, R","Rogers Office, Harrison Office, Fort Smith Office",AR03,Steve Womack,Womack,Steve,,,R,2412 Rayburn House Office Building,Washington,DC,20515-0403,W000809,"100,101,102"
