member_full,office_locations,state,name,last_name,first_name,party,district_office_line_1,district_office_line_2,district_office_line_3,district_phone,capitol_office_line_1,capitol_city,capitol_state,capitol_zip,capitol_phone,email,website,senate_class,bioguide_id,photo,office_location_ids
"AK Lisa Murkowski, R",,AK,Lisa Murkowski,Murkowski,Lisa,R,510 L Street,Suite 600,"Anchorage, AK 99501",(907) 271-3735,709 Hart Senate Office Building,Washington,DC,20510,(202) 224-6665,https://www.murkowski.senate.gov/public/index.cfm/contact,http://www.murkowski.senate.gov/,Class III,M001153,Murkowski(1)color.jpg (https://dl.airtable.com/G9NuejrcTeiIWxYKvqGw_Murkowski(1)color.jpg),
"AK Daniel Sullivan, R",,AK,Daniel Sullivan,Sullivan,Daniel,R,510 L Street,Suite 750,"Anchorage, AK 99501",(907) 271-5915,702 Hart Senate Office Building,Washington,DC,20510,(202) 224-3004,https://www.sullivan.senate.gov/contact/email,http://www.sullivan.senate.gov,Class II,S001198,AK_Sullivan.jpg (https://dl.airtable.com/8mr7KSdIQqWAnMB9tzM5_AK_Sullivan.jpg),
"AL Jeff Sessions, R",,AL,Jeff Sessions,Sessions,Jeff,R,1800 5th Avenue North,341 Vance Federal Building,"Birmingham, AL 35203",(205) 731-1500,326 Russell Senate Office Building,Washington,DC,20510,(202) 224-4124,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,http://www.sessions.senate.gov/,Class II,S001141,AL_Sessions.jpg (https://dl.airtable.com/1b5ebLonQ8mOqgYQzm3y_AL_Sessions.jpg),
"AL Richard C. Shelby, R",,AL,Richard C. Shelby,Shelby,Richard C.,R,1800 5th Avenue North,321 Federal Building,"Birmingham, AL 35203",(205) 731-1384,304 Russell Senate Office Building,Washington,DC,20510,(202) 224-5744,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,http://www.shelby.senate.gov/,Class III,S000320,AL_Shelby.jpg (https://dl.airtable.com/VwEqRka6TaB0q3aMsYnC_AL_Shelby.jpg),
"AR John Boozman, R",,AR,John Boozman,Boozman,John,R,1401 W. Capitol Ave.,Suite 155,"Little Rock, AR 72201",(501) 372-7153,141 Hart Senate Office Building,Washington,DC,20510,(202) 224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/,Class III,B001236,AR_Boozman.jpg (https://dl.airtable.com/i47sCj8FTfCfZYgTfDmV_AR_Boozman.jpg),
"AR Tom Cotton, R",,AR,Tom Cotton,Cotton,Tom,R,1108 South Old Missouri Road,Suite B,"Springdale, AR 72764",(479) 751-0879,124 Russell Senate Office Building,Washington,DC,20510,(202) 224-2353,http://www.cotton.senate.gov/?p=contact,http://www.cotton.senate.gov,Class II,C001095,AR_Cotton.jpg (https://dl.airtable.com/7xHEgOpCTzalR93yJmCh_AR_Cotton.jpg),
"AZ Jeff Flake, R",,AZ,Jeff Flake,Flake,Jeff,R,2200 East Camelback Road,Suite 120,"Phoenix, AZ 85016",(602) 840-1891,413 Russell Senate Office Building,Washington,DC,20510,(202) 224-4521,https://www.flake.senate.gov/public/index.cfm/contact-jeff,http://www.flake.senate.gov,Class I,F000444,AZ_Flake.jpg (https://dl.airtable.com/ahaTPDypSeiLD3AR0Vqc_AZ_Flake.jpg),
"AZ John McCain, R",,AZ,John McCain,McCain,John,R,2201 East Camelback Road,Suite 115,"Phoenix, AZ 85016",(602) 952-2410,218 Russell Senate Office Building,Washington,DC,20510,(202) 224-2235,https://www.mccain.senate.gov/public/index.cfm/contact-form,http://www.mccain.senate.gov/,Class III,M000303,AZ_McCain.jpg (https://dl.airtable.com/sZoGFngbTmuY8sq0Or3g_AZ_McCain.jpg),
"CA Dianne Feinstein, D",,CA,Dianne Feinstein,Feinstein,Dianne,D,One Post Street,Suite 2450,"San Francisco, CA 94104",(415) 393-0707,331 Hart Senate Office Building,Washington,DC,20510,(202) 224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov,Class I,F000062,CA_Feinstein.jpg (https://dl.airtable.com/biqdsvZ9RIm7GRrsYdpk_CA_Feinstein.jpg),
"CA Kamala D. Harris, D",,CA,Kamala D. Harris,Harris,Kamala D.,D,312 N. Spring St., Suite 1748,"Los Angeles, CA 90012",(213) 894-5000,B40B Dirksen Senate Office Building,Washington,DC,20510,,,,,,,
