code,state_code,full_code
00,10,1000
06,24,2406
09,51,5109
05,08,0805
07,13,1307
06,48,4806
04,49,4904
12,12,1212
05,34,3405
02,39,3902
06,22,2206
05,18,1805
12,13,1312
02,27,2702
02,17,1702
11,13,1311
07,51,5107
14,12,1214
12,17,1712
03,19,1903
03,29,2903
02,45,4502
02,31,3102
03,35,3503
09,47,4709
22,48,4822
06,12,1206
14,26,2614
05,45,4505
06,51,5106
50,06,0650
16,06,0616
06,17,1706
08,17,1708
13,42,4213
25,48,4825
24,48,4824
16,36,3616
11,17,1711
09,17,1709
49,06,0649
08,06,0608
20,06,0620
32,06,0632
19,06,0619
27,06,0627
08,39,3908
13,13,1313
11,06,0611
04,06,0604
01,09,0901
01,34,3401
03,54,5403
12,37,3712
03,32,3203
04,32,3204
08,12,1208
08,18,1808
05,21,2105
06,26,2606
03,55,5503
41,06,0641
16,39,3916
02,16,1602
08,34,3408
04,42,4204
25,12,1225
13,12,1213
10,37,3710
05,37,3705
28,48,4828
14,48,4814
16,48,4816
23,48,4823
35,48,4835
13,48,4813
09,04,0409
02,49,4902
01,29,2901
06,18,1806
01,21,2101
01,47,4701
05,47,4705
14,17,1714
06,47,4706
05,17,1705
15,06,0615
53,06,0653
01,25,2501
02,28,2802
07,42,4207
10,42,4210
08,42,4208
03,45,4503
06,45,4506
10,51,5110
08,51,5108
10,53,5310
01,54,5401
02,26,2602
11,26,2611
08,26,2608
06,36,3606
25,36,3625
08,36,3608
18,36,3618
03,36,3603
01,01,0101
04,01,0104
07,34,3407
03,41,4103
10,12,1210
17,48,4817
47,06,0647
02,08,0802
01,24,2401
02,24,2402
14,39,3914
03,47,4703
01,53,5301
24,06,0624
05,26,2605
09,34,3409
04,08,0804
27,12,1227
11,12,1211
01,13,1301
02,18,1802
13,36,3613
01,40,4001
02,40,4002
13,26,2613
22,36,3622
05,24,2405
08,24,2408
07,39,3907
04,39,3904
04,27,2704
09,37,3709
15,12,1215
04,17,1704
04,12,1204
05,42,4205
06,01,0106
07,48,4807
12,06,0612
05,27,2705
18,06,0618
02,13,1302
17,17,1717
03,22,2203
01,28,2801
31,06,0631
21,06,0621
02,15,1502
03,25,2503
09,25,2509
08,25,2508
01,42,4201
17,42,4217
03,42,4203
16,42,4216
07,45,4507
03,51,5103
02,51,5102
03,53,5303
05,53,5305
02,53,5302
08,53,5308
01,26,2601
03,26,2603
04,26,2604
14,36,3614
04,45,4504
37,06,0637
07,12,1207
18,48,4818
05,09,0905
01,19,1901
01,22,2201
01,23,2301
01,33,3301
15,36,3615
11,36,3611
06,37,3706
04,19,1904
01,16,1601
08,13,1308
03,20,2003
02,20,2002
09,12,1209
02,37,3702
03,37,3703
01,48,4801
27,48,4827
33,48,4833
02,48,4802
04,48,4804
04,55,5504
02,55,5502
00,46,4600
02,09,0902
02,44,4402
08,04,0408
09,18,1809
04,53,5304
98,11,1198
05,06,0605
02,34,3402
05,04,0405
05,22,2205
06,27,2706
01,36,3601
04,47,4704
02,04,0402
13,17,1713
02,41,4102
03,40,4003
26,06,0626
09,53,5309
01,18,1801
18,42,4218
20,36,3620
03,48,4803
52,06,0652
09,13,1309
02,21,2102
07,25,2507
13,39,3913
10,06,0610
03,21,2103
03,13,1303
01,27,2701
19,48,4819
04,05,0504
04,41,4104
07,08,0807
03,39,3903
31,48,4831
20,12,1220
29,48,4829
34,48,4834
01,04,0401
42,06,0642
98,72,7298
04,34,3404
35,06,0635
04,13,1304
20,48,4820
21,12,1221
11,42,4211
33,06,0633
14,13,1314
07,26,2607
01,32,3201
10,36,3610
01,41,4101
04,37,3704
12,26,2612
17,36,3617
24,36,3624
02,36,3602
21,36,3621
07,04,0407
09,39,3909
01,51,5101
02,54,5402
39,06,0639
09,36,3609
45,06,0645
01,08,0801
06,08,0806
03,24,2403
24,12,1224
03,27,2703
05,40,4005
11,48,4811
09,48,4809
32,48,4832
02,12,1202
03,12,1203
26,48,4826
04,04,0404
06,04,0406
02,35,3502
04,18,1804
07,18,1807
05,41,4105
18,17,1718
04,21,2104
08,47,4708
10,17,1710
16,17,1716
15,17,1715
03,05,0503
07,06,0607
23,06,0623
34,06,0634
43,06,0643
44,06,0644
28,06,0628
14,06,0614
46,06,0646
26,36,3626
02,42,4202
02,32,3202
02,22,2202
01,35,3501
07,17,1707
01,05,0501
05,01,0105
02,01,0102
10,34,3410
11,34,3411
03,08,0803
01,12,1201
17,12,1217
13,06,0613
03,06,0603
03,28,2803
11,51,5111
10,26,2610
19,36,3619
06,34,3406
15,39,3915
00,02,0200
10,13,1310
02,06,0602
05,13,1305
10,48,4810
04,36,3604
07,37,3707
38,06,0638
06,55,5506
51,06,0651
01,31,3101
17,06,0617
11,37,3711
18,12,1218
03,04,0403
06,21,2106
01,37,3701
05,25,2505
08,27,2708
01,49,4901
13,37,3713
22,12,1222
21,48,4821
29,06,0629
36,06,0636
04,25,2504
09,42,4209
06,53,5306
03,34,3403
48,06,0648
25,06,0625
08,29,2908
12,39,3912
03,09,0903
02,19,1902
19,12,1219
15,48,4815
30,06,0630
03,49,4903
12,34,3412
15,42,4215
08,37,3708
01,17,1701
02,29,2902
11,39,3911
01,44,4401
05,51,5105
03,17,1703
40,06,0640
14,42,4214
07,36,3607
05,12,1205
06,13,1306
01,20,2001
26,12,1226
07,29,2907
00,56,5600
06,29,2906
03,31,3103
07,27,2707
23,36,3623
02,23,2302
05,36,3605
98,60,6098
09,06,0609
04,51,5104
98,69,6998
12,48,4812
02,47,4702
23,12,1223
16,12,1216
05,29,2905
04,40,4004
04,24,2404
07,24,2407
01,39,3901
10,39,3910
05,39,3905
04,20,2004
02,33,3302
07,55,5507
08,55,5508
00,38,3800
98,66,6698
98,78,7898
04,09,0904
27,36,3627
01,45,4501
00,30,3000
03,18,1803
03,01,0103
36,48,4836
00,50,5000
04,22,2204
05,48,4805
12,36,3612
01,55,5501
02,05,0502
01,06,0601
01,15,1501
06,25,2506
09,26,2609
06,06,0606
04,29,2904
06,42,4206
07,53,5307
07,01,0107
12,42,4212
02,25,2502
05,55,5505
07,47,4707
04,28,2804
06,39,3906
22,06,0622
08,48,4808
30,48,4830
