id,rep_id,office_type,line1,line2,line3,line4,line5,latitude,longitude,lonlat,created_at,updated_at,phone
1,1,district,510 L Street,Suite 600,"Anchorage, AK 99501",,,61.2171561,-149.9043364,,2016-12-22 18:52:52.883936,2016-12-22 18:52:52.883936,(907) 271-3735
2,1,capitol,709 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928388,-77.0043561,,2016-12-22 18:52:52.97685,2016-12-22 18:52:52.97685,(202) 224-6665
3,2,district,510 L Street,Suite 750,"Anchorage, AK 99501",,,61.2171561,-149.9043364,,2016-12-22 18:52:54.658958,2016-12-22 18:52:54.658958,(907) 271-5915
4,2,capitol,702 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928388,-77.0043561,,2016-12-22 18:52:54.750216,2016-12-22 18:52:54.750216,(202) 224-3004
5,3,district,1800 5th Avenue North,341 Vance Federal Building,"Birmingham, AL 35203",,,33.5173384,-86.8102366,,2016-12-22 18:52:57.182268,2016-12-22 18:52:57.182268,(205) 731-1500
6,3,capitol,326 Russell Senate Office Building,"Washington, DC 20002",,,,38.8925417,-77.0074155,,2016-12-22 18:52:57.274939,2016-12-22 18:52:57.274939,(202) 224-4124
7,4,district,1800 5th Avenue North,321 Federal Building,"Birmingham, AL 35203",,,,,,2016-12-22 18:52:59.263369,2016-12-22 18:52:59.263369,(205) 731-1384
8,4,capitol,304 Russell Senate Office Building,"Washington, DC 20002",,,,38.8925417,-77.0074155,,2016-12-22 18:52:59.356945,2016-12-22 18:52:59.356945,(202) 224-5744
9,5,district,1401 W. Capitol Ave.,Suite 155,"Little Rock, AR 72201",,,34.7456872,-92.2865752,,2016-12-22 18:53:01.183824,2016-12-22 18:53:01.183824,(501) 372-7153
10,5,capitol,141 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928388,-77.0043561,,2016-12-22 18:53:01.279848,2016-12-22 18:53:01.279848,(202) 224-4843
11,6,district,1108 South Old Missouri Road,Suite B,"Springdale, AR 72764",,,36.174571,-94.1176151,,2016-12-22 18:53:03.234311,2016-12-22 18:53:03.234311,(479) 751-0879
12,6,capitol,124 Russell Senate Office Building,"Washington, DC 20002",,,,38.8925417,-77.0074155,,2016-12-22 18:53:03.403143,2016-12-22 18:53:03.403143,(202) 224-2353
13,7,district,2200 East Camelback Road,Suite 120,"Phoenix, AZ 85016",,,33.5098565,-112.0338808,,2016-12-22 18:53:05.510709,2016-12-22 18:53:05.510709,(602) 840-1891
14,7,capitol,413 Russell Senate Office Building,"Washington, DC 20002",,,,38.8925417,-77.0074155,,2016-12-22 18:53:05.615884,2016-12-22 18:53:05.615884,(202) 224-4521
15,8,district,2201 East Camelback Road,Suite 115,"Phoenix, AZ 85016",,,33.5085729,-112.0337789,,2016-12-22 18:53:07.582475,2016-12-22 18:53:07.582475,(602) 952-2410
16,8,capitol,218 Russell Senate Office Building,"Washington, DC 20002",,,,38.8925417,-77.0074155,,2016-12-22 18:53:07.67533,2016-12-22 18:53:07.67533,(202) 224-2235
17,9,district,One Post Street,Suite 2450,"San Francisco, CA 94104",,,37.7887748,-122.4026656,,2016-12-22 18:53:09.264343,2016-12-22 18:53:09.264343,(415) 393-0707
18,9,capitol,331 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928388,-77.0043561,,2016-12-22 18:53:09.357384,2016-12-22 18:53:09.357384,(202) 224-3841
19,10,district,1127 Sherman St.,Suite 150,"Denver, CO 80203",,,39.734465,-104.9852342,,2016-12-22 18:53:11.224188,2016-12-22 18:53:11.224188,(303) 455-7600
20,10,capitol,261 Russell Senate Office Building,"Washington, DC 20002",,,,38.8925417,-77.0074155,,2016-12-22 18:53:11.317044,2016-12-22 18:53:11.317044,(202) 224-5852
21,11,district,503 N. Main St.,Ste. 426,"Pueblo, CO 81003",,,38.2720307,-104.60937,,2016-12-22 18:53:13.033874,2016-12-22 18:53:13.033874,(719) 543-1324
22,11,capitol,354 Russell Senate Office Building,"Washington, DC 20002",,,,38.8925417,-77.0074155,,2016-12-22 18:53:13.128305,2016-12-22 18:53:13.128305,(202) 224-5941
23,12,district,90 State House Square,10th Floor,"Hartford, CT, 06103",,,41.766133,-72.6719443,,2016-12-22 18:53:14.978813,2016-12-22 18:53:14.978813,(860) 258-6940
24,12,capitol,706 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928596,-77.0046865,,2016-12-22 18:53:15.093158,2016-12-22 18:53:15.093158,(202) 224-2823
25,13,district,"Colt Gateway, 120 Huyshope Avenue",Suite 401,"Hartford, CT 06106",,,,,,2016-12-22 18:53:16.890071,2016-12-22 18:53:16.890071,(860) 549-8463
26,13,capitol,136 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928596,-77.0046865,,2016-12-22 18:53:16.98329,2016-12-22 18:53:16.98329,(202) 224-4041
27,14,district,301 North Walnut Street,Suite 102L-1,"Wilmington, DE 19801-3974",,,39.739183,-75.5492666,,2016-12-22 18:53:18.894697,2016-12-22 18:53:18.894697,(302) 573-6291
28,14,capitol,513 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928955,-77.0039468,,2016-12-22 18:53:18.991665,2016-12-22 18:53:18.991665,(202) 224-2441
29,15,district,1105 N. Market St.,Suite 100,"Wilmington, DE 19801-1233",,,39.7473432,-75.5471367,,2016-12-22 18:53:20.931663,2016-12-22 18:53:20.931663,(302) 573-6345\
30,15,capitol,127A Russell Senate Office Building,"Washington, DC 20002",,,,38.8925417,-77.0074155,,2016-12-22 18:53:21.04297,2016-12-22 18:53:21.04297,(202) 224-5042
31,16,district,3416 South University Drive,"Fort Lauderdale, FL 33328",,,,26.079503,-80.2504042,,2016-12-22 18:53:22.996137,2016-12-22 18:53:22.996137,(954) 693-4851
32,16,capitol,716 Hart Senate Office Building,"Washington, DC 20002",,,,38.8928388,-77.0043561,,2016-12-22 18:53:23.088049,2016-12-22 18:53:23.088049,(202) 224-5274
33,17,district,201 South Orange Avenue,Suite 350,"Orlando, FL 32801",,,28.5400755,-81.3780508,,2016-12-22 18:53:24.666218,2016-12-22 18:53:24.666218,(407) 254-2573
34,17,capitol,284 Russell Senate Office Building,"Washington, DC 20002",,,,38.892505,-77.0075,,2016-12-22 18:53:24.76042,2016-12-22 18:53:24.76042,(202) 224-3041
35,18,district,"One Overton Park, 3625 Cumberland Blvd",Suite 970,"Atlanta, GA 30339",,,33.8842234,-84.4536761,,2016-12-22 18:53:26.527181,2016-12-22 18:53:26.527181,(770) 661-0999
37,19,district,191 Peachtree Street NE,Suite 3250,"Atlanta, GA 30303",,,33.7589915,-84.3868175,,2016-12-22 18:53:28.778909,2016-12-22 18:53:28.778909,(404) 865-0087
39,20,district,300 Ala Moana Blvd.,Rm. 3-106,"Honolulu, HI 96850",,,21.3036893,-157.862353,,2016-12-22 18:53:30.957645,2016-12-22 18:53:30.957645,(808) 522-8970
41,21,district,300 Ala Moana Blvd.,Rm 7-212,"Honolulu, HI 96850",,,21.3036893,-157.862353,,2016-12-22 18:53:32.817118,2016-12-22 18:53:32.817118,(808) 523-2061
43,22,district,733 Federal Building,210 Walnut Street,"Des Moines, IA 50309",,,41.5864152,-93.6201532,,2016-12-22 18:53:34.917737,2016-12-22 18:53:34.917737,(515) 284-4574
45,23,district,"111 7th Avenue SE, Box 13",Suite 6800,"Cedar Rapids, IA 52401",,,,,,2016-12-22 18:53:37.114914,2016-12-22 18:53:37.114914,(319) 363-6832
47,24,district,251 East Front Street,Suite 205,"Boise, ID 83702",,,43.6086015,-116.1956172,,2016-12-22 18:53:39.006748,2016-12-22 18:53:39.006748,(208) 334-1776
49,25,district,350 N. 9th St.,Suite 302,"Boise, Idaho 83702",,,43.618145,-116.2024194,,2016-12-22 18:53:41.353193,2016-12-22 18:53:41.353193,(208) 342-7985
51,26,district,230 S. Dearborn Street,Suite 3892,"Chicago, IL 60604",,,41.8784454,-87.63,,2016-12-22 18:53:43.261724,2016-12-22 18:53:43.261724,(312) 353-4952
38,19,capitol,United States Senate,,"Washington, DC 20510",,,38.8928369,-77.0051216,,2016-12-22 18:53:29.065724,2016-12-22 22:12:12.711676,(202) 224-3521
40,20,capitol,330 Hart Senate Office Bldg.,,"Washington, DC 20510",,,38.8928388,-77.0043561,,2016-12-22 18:53:31.052812,2016-12-22 22:22:56.019981,(202) 224-6361
42,21,capitol,722 Hart Senate Office Building,,"Washington, DC 20510",,,38.8928388,-77.0043561,,2016-12-22 18:53:32.914238,2016-12-22 22:22:56.909963,(202) 224-3934
50,25,capitol,483 Russell Senate Office Building,,"Washington, DC 20510",,,38.8925417,-77.0074155,,2016-12-22 18:53:41.446796,2016-12-22 23:06:48.84502,(202) 224-2752
48,24,capitol,239 Dirksen Senate Building,,"Washington, DC 20510",,,38.8928369,-77.0051216,,2016-12-22 18:53:39.316797,2016-12-22 23:06:49.007942,(202) 224-6142
52,26,capitol,711 Hart Senate Bldg.,,"Washington, DC 20510",,,38.8930828,-77.0043218,,2016-12-22 18:53:43.402443,2016-12-22 23:10:25.062667,(202) 224-2152
46,23,capitol,135 Hart Senate Office Building,,"Washington, DC 20510",,,38.8932089,-77.0042236,,2016-12-22 18:53:37.20772,2016-12-22 23:43:09.377437,(202) 224-3744
44,22,capitol,United States Senate,,"Washington, DC 20510",,,38.8928369,-77.0051216,,2016-12-22 18:53:35.010752,2016-12-22 23:43:11.345391,(202) 224-3254
53,27,district,123 NW 4th Street,Suite 417,"Evansville, IN 47708",,,37.9732451,-87.5720272,,2016-12-22 18:53:45.305163,2016-12-22 18:53:45.305163,(812) 425-5813
55,28,district,"1200 Main St., Suite 402",P.O. Box 249,"Hays, KS 67601",,,38.8728651,-99.3296381,,2016-12-22 18:53:47.258531,2016-12-22 18:53:47.258531,(785) 628-6401
57,29,district,11900 College Boulevard,Suite 203,"Overland Park, KS 66210",,,38.9280229,-94.7243276,,2016-12-22 18:53:49.096942,2016-12-22 18:53:49.096942,(913) 451-9343
59,30,district,601 W. Broadway,Room 630,"Louisville, KY 40202",,,38.2469833,-85.7624677,,2016-12-22 18:53:51.610261,2016-12-22 18:53:51.610261,(502) 582-6304
61,31,district,1029 State Street,"Bowling Green, KY 42101",,,,36.991545,-86.4427761,,2016-12-22 18:53:53.464477,2016-12-22 18:53:53.464477,(270) 782-8303
