id,district_id,state_id,office,member_full,name,last_name,first_name,party,email,url,twitter,facebook,youtube,googleplus,committees,senate_class,bioguide_id,photo,created_at,updated_at
1,,15,United States Senate,Murkowski (R-AK),Lisa Murkowski,Murkowski,Lisa,Republican,"---
- https://www.murkowski.senate.gov/public/index.cfm/contact
",http://www.murkowski.senate.gov/,,,,,,Class III,M001153,Murkowski(1)color.jpg (https://dl.airtable.com/G9NuejrcTeiIWxYKvqGw_Murkowski(1)color.jpg),2016-12-22 18:52:52.787349,2016-12-22 18:52:52.787349
2,,15,United States Senate,Sullivan (R-AK),Daniel Sullivan,Sullivan,Daniel,Republican,"---
- https://www.sullivan.senate.gov/contact/email
",http://www.sullivan.senate.gov,,,,,,Class II,S001198,AK_Sullivan.jpg (https://dl.airtable.com/8mr7KSdIQqWAnMB9tzM5_AK_Sullivan.jpg),2016-12-22 18:52:54.567597,2016-12-22 18:52:54.567597
3,,25,United States Senate,Sessions (R-AL),Jeff Sessions,Sessions,Jeff,Republican,"---
- http://www.sessions.senate.gov/public/index.cfm/contact-jeff
",http://www.sessions.senate.gov/,,,,,,Class II,S001141,AL_Sessions.jpg (https://dl.airtable.com/1b5ebLonQ8mOqgYQzm3y_AL_Sessions.jpg),2016-12-22 18:52:57.085985,2016-12-22 18:52:57.085985
14,,41,United States Senate,Carper (D-DE),Thomas R. Carper,Carper,Thomas R.,Democratic,"---
- http://www.carper.senate.gov/public/index.cfm/email-senator-carper
",http://www.carper.senate.gov,,,,,,Class I,C000174,DE_Carper.jpg (https://dl.airtable.com/BemElVjTr9te9UUQECEA_DE_Carper.jpg),2016-12-22 18:53:18.797644,2016-12-22 18:53:18.797644
15,,41,United States Senate,Coons (D-DE),Christopher A. Coons,Coons,Christopher A.,Democratic,"---
- https://www.coons.senate.gov/contact
",http://www.coons.senate.gov/,,,,,,Class II,C001088,DE_Coons.png (https://dl.airtable.com/TgP3jDFjQiSNvmbWW7yX_DE_Coons.png),2016-12-22 18:53:20.819909,2016-12-22 18:53:20.819909
8,,22,United States Senate,McCain (R-AZ),John McCain,McCain,John,Republican,"---
- https://www.mccain.senate.gov/public/index.cfm/contact-form
",http://www.mccain.senate.gov/,SenJohnMcCain,johnmccain,SenatorJohnMcCain,,,Class III,M000303,AZ_McCain.jpg (https://dl.airtable.com/sZoGFngbTmuY8sq0Or3g_AZ_McCain.jpg),2016-12-22 18:53:07.486346,2016-12-22 19:42:04.766025
7,,22,United States Senate,Flake (R-AZ),Jeff Flake,Flake,Jeff,Republican,"---
- https://www.flake.senate.gov/public/index.cfm/contact-jeff
",http://www.flake.senate.gov,JeffFlake,senatorjeffflake,flakeoffice,,,Class I,F000444,AZ_Flake.jpg (https://dl.airtable.com/ahaTPDypSeiLD3AR0Vqc_AZ_Flake.jpg),2016-12-22 18:53:05.407401,2016-12-22 19:42:05.721172
5,,7,United States Senate,Boozman (R-AR),John Boozman,Boozman,John,Republican,"---
- https://www.boozman.senate.gov/public/index.cfm/contact
",http://www.boozman.senate.gov/,JohnBoozman,JohnBoozman,BoozmanPressOffice,,,Class III,B001236,AR_Boozman.jpg (https://dl.airtable.com/i47sCj8FTfCfZYgTfDmV_AR_Boozman.jpg),2016-12-22 18:53:01.091178,2016-12-22 20:03:41.872017
6,,7,United States Senate,Cotton (R-AR),Tom Cotton,Cotton,Tom,Republican,"---
- http://www.cotton.senate.gov/?p=contact
",http://www.cotton.senate.gov,tomcottonar,TomCottonAR,UCxrZsasJfxOVUEOnhed5doA,,,Class II,C001095,AR_Cotton.jpg (https://dl.airtable.com/7xHEgOpCTzalR93yJmCh_AR_Cotton.jpg),2016-12-22 18:53:03.094633,2016-12-22 20:03:42.919447
10,,12,United States Senate,Bennet (D-CO),Michael F. Bennet,Bennet,Michael F.,Democratic,"---
- https://www.bennet.senate.gov/?p=contact
",http://www.bennet.senate.gov,SenBennetCO,senatorbennet,SenatorBennet,,,Class III,B001267,CO_Bennet.jpg (https://dl.airtable.com/hUPc17QVT9Kh0Ohpp49b_CO_Bennet.jpg),2016-12-22 18:53:11.129219,2016-12-22 21:22:41.778528
11,,12,United States Senate,Gardner (R-CO),Cory Gardner,Gardner,Cory,Republican,"---
- https://www.gardner.senate.gov/contact-cory/email-cory
",http://www.gardner.senate.gov,SenCoryGardner,SenCoryGardner,,,,Class II,G000562,CO_Gardner.jpg (https://dl.airtable.com/PHxQnQM8QGmQD69P0S87_CO_Gardner.jpg),2016-12-22 18:53:12.934154,2016-12-22 21:22:43.006337
12,,45,United States Senate,Blumenthal (D-CT),Richard Blumenthal,Blumenthal,Richard,Democratic,"---
- https://www.blumenthal.senate.gov/contact/
",http://www.blumenthal.senate.gov,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,,,Class III,B001277,CT_Blumenthal.jpg (https://dl.airtable.com/H1iZlUSAQByZH81mIRpn_CT_Blumenthal.jpg),2016-12-22 18:53:14.880854,2016-12-22 21:38:09.45142
13,,45,United States Senate,Murphy (D-CT),Christopher Murphy,Murphy,Christopher,Democratic,"---
- http://www.murphy.senate.gov/contact
",http://www.murphy.senate.gov/,ChrisMurphyCT,ChrisMurphyCT,senchrismurphy,108483156976116798423,,Class I,M001169,CT_Murphy.jpg (https://dl.airtable.com/yxyyh2dFSZq0nogxhT6P_CT_Murphy.jpg),2016-12-22 18:53:16.787423,2016-12-22 21:38:10.765032
16,,38,United States Senate,Nelson (D-FL),Bill Nelson,Nelson,Bill,Democratic,"---
- https://www.billnelson.senate.gov/contact-bill
",http://www.billnelson.senate.gov/,SenBillNelson,billnelson,senbillnelson,,,Class I,N000032,FL_Nelson.jpg (https://dl.airtable.com/HozcFUMnR8S7lPoSemXM_FL_Nelson.jpg),2016-12-22 18:53:22.893731,2016-12-22 21:44:45.934016
17,,38,United States Senate,Rubio (R-FL),Marco Rubio,Rubio,Marco,Republican,"---
- http://www.rubio.senate.gov/public/index.cfm/contact
",http://www.rubio.senate.gov,SenRubioPress,SenatorMarcoRubio,SenatorMarcoRubio,,,Class III,R000595,FL_Rubio.jpg (https://dl.airtable.com/mGXl7NJVS7SYj0ENRrrf_FL_Rubio.jpg),2016-12-22 18:53:24.566403,2016-12-22 21:44:46.914454
19,,6,United States Senate,Perdue (R-GA),David Perdue,Perdue,David,Republican,"---
- https://www.perdue.senate.gov/connect/email
",http://www.perdue.senate.gov,Perduesenate,perduesenate,,,,Class II,P000612,GA_Perdue.jpg (https://dl.airtable.com/nDsEi0vzRCerBAqn5grJ_GA_Perdue.jpg),2016-12-22 18:53:28.577731,2016-12-22 22:12:12.717004
20,,50,United States Senate,Hirono (D-HI),Mazie K. Hirono,Hirono,Mazie K.,Democratic,"---
- https://www.hirono.senate.gov/contact
",http://www.hirono.senate.gov/,maziehirono,mazie.hirono,CongresswomanHirono,,,Class I,H001042,HI_Hirono.jpg (https://dl.airtable.com/J9ybaTraQP6wY3QOBNH8_HI_Hirono.jpg),2016-12-22 18:53:30.864127,2016-12-22 22:22:56.030107
