State,Member Full,Last Name,First Name,Party,District Office Address Line 1,District Address Line 2,District Address Line 3,District Tel #,DC Office Address,DC Tel #,Email,Website,Class,bioguide_id,Photo
AK,Murkowski (R-AK),Murkowski,Lisa,R,510 L Street,Suite 600,"Anchorage, AK 99501",(907) 271-3735,709 Hart Senate Office Building,(202) 224-6665,https://www.murkowski.senate.gov/public/index.cfm/contact,http://www.murkowski.senate.gov/,Class III,M001153,Murkowski(1)color.jpg (https://dl.airtable.com/G9NuejrcTeiIWxYKvqGw_Murkowski(1)color.jpg)
AK,Sullivan (R-AK),Sullivan,Daniel,R,510 L Street,Suite 750,"Anchorage, AK 99501",(907) 271-5915,702 Hart Senate Office Building,(202) 224-3004,https://www.sullivan.senate.gov/contact/email,http://www.sullivan.senate.gov,Class II,S001198,AK_Sullivan.jpg (https://dl.airtable.com/8mr7KSdIQqWAnMB9tzM5_AK_Sullivan.jpg)
AL,Sessions (R-AL),Sessions,Jeff,R,1800 5th Avenue North,341 Vance Federal Building,"Birmingham, AL 35203",(205) 731-1500,326 Russell Senate Office Building,(202) 224-4124,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,http://www.sessions.senate.gov/,Class II,S001141,AL_Sessions.jpg (https://dl.airtable.com/1b5ebLonQ8mOqgYQzm3y_AL_Sessions.jpg)
AL,Shelby (R-AL),Shelby,Richard C.,R,1800 5th Avenue North,321 Federal Building,"Birmingham, AL 35203",(205) 731-1384,304 Russell Senate Office Building,(202) 224-5744,https://www.shelby.senate.gov/public/index.cfm/emailsenatorshelby,http://www.shelby.senate.gov/,Class III,S000320,AL_Shelby.jpg (https://dl.airtable.com/VwEqRka6TaB0q3aMsYnC_AL_Shelby.jpg)
AR,Boozman (R-AR),Boozman,John,R,1401 W. Capitol Ave.,Suite 155,"Little Rock, AR 72201",(501) 372-7153,141 Hart Senate Office Building,(202) 224-4843,https://www.boozman.senate.gov/public/index.cfm/contact,http://www.boozman.senate.gov/,Class III,B001236,AR_Boozman.jpg (https://dl.airtable.com/i47sCj8FTfCfZYgTfDmV_AR_Boozman.jpg)
AR,Cotton (R-AR),Cotton,Tom,R,1108 South Old Missouri Road,Suite B,"Springdale, AR 72764",(479) 751-0879,124 Russell Senate Office Building,(202) 224-2353,http://www.cotton.senate.gov/?p=contact,http://www.cotton.senate.gov,Class II,C001095,AR_Cotton.jpg (https://dl.airtable.com/7xHEgOpCTzalR93yJmCh_AR_Cotton.jpg)
AZ,Flake (R-AZ),Flake,Jeff,R,2200 East Camelback Road,Suite 120,"Phoenix, AZ 85016",(602) 840-1891,413 Russell Senate Office Building,(202) 224-4521,https://www.flake.senate.gov/public/index.cfm/contact-jeff,http://www.flake.senate.gov,Class I,F000444,AZ_Flake.jpg (https://dl.airtable.com/ahaTPDypSeiLD3AR0Vqc_AZ_Flake.jpg)
AZ,McCain (R-AZ),McCain,John,R,2201 East Camelback Road,Suite 115,"Phoenix, AZ 85016",(602) 952-2410,218 Russell Senate Office Building,(202) 224-2235,https://www.mccain.senate.gov/public/index.cfm/contact-form,http://www.mccain.senate.gov/,Class III,M000303,AZ_McCain.jpg (https://dl.airtable.com/sZoGFngbTmuY8sq0Or3g_AZ_McCain.jpg)
CA,Feinstein (D-CA),Feinstein,Dianne,D,One Post Street,Suite 2450,"San Francisco, CA 94104",(415) 393-0707,331 Hart Senate Office Building,(202) 224-3841,https://www.feinstein.senate.gov/public/index.cfm/e-mail-me,http://www.feinstein.senate.gov,Class I,F000062,CA_Feinstein.jpg (https://dl.airtable.com/biqdsvZ9RIm7GRrsYdpk_CA_Feinstein.jpg)
CO,Bennet (D-CO),Bennet,Michael F.,D,1127 Sherman St.,Suite 150,"Denver, CO 80203",(303) 455-7600,261 Russell Senate Office Building,(202) 224-5852,https://www.bennet.senate.gov/?p=contact,http://www.bennet.senate.gov,Class III,B001267,CO_Bennet.jpg (https://dl.airtable.com/hUPc17QVT9Kh0Ohpp49b_CO_Bennet.jpg)
CO,Gardner (R-CO),Gardner,Cory,R,503 N. Main St.,Ste. 426,"Pueblo, CO 81003",(719) 543-1324,354 Russell Senate Office Building,(202) 224-5941,https://www.gardner.senate.gov/contact-cory/email-cory,http://www.gardner.senate.gov,Class II,G000562,CO_Gardner.jpg (https://dl.airtable.com/PHxQnQM8QGmQD69P0S87_CO_Gardner.jpg)
CT,Blumenthal (D-CT),Blumenthal,Richard,D,90 State House Square,10th Floor,"Hartford, CT, 06103",(860) 258-6940,706 Hart Senate Office Building,(202) 224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov,Class III,B001277,CT_Blumenthal.jpg (https://dl.airtable.com/H1iZlUSAQByZH81mIRpn_CT_Blumenthal.jpg)
CT,Murphy (D-CT),Murphy,Christopher,D,"Colt Gateway, 120 Huyshope Avenue",Suite 401,"Hartford, CT 06106",(860) 549-8463,136 Hart Senate Office Building,(202) 224-4041,http://www.murphy.senate.gov/contact,http://www.murphy.senate.gov/,Class I,M001169,CT_Murphy.jpg (https://dl.airtable.com/yxyyh2dFSZq0nogxhT6P_CT_Murphy.jpg)
DE,Carper (D-DE),Carper,Thomas R.,D,301 North Walnut Street,Suite 102L-1,"Wilmington, DE 19801-3974",(302) 573-6291,513 Hart Senate Office Building,(202) 224-2441,http://www.carper.senate.gov/public/index.cfm/email-senator-carper,http://www.carper.senate.gov,Class I,C000174,DE_Carper.jpg (https://dl.airtable.com/BemElVjTr9te9UUQECEA_DE_Carper.jpg)
DE,Coons (D-DE),Coons,Christopher A.,D,1105 N. Market St.,Suite 100,"Wilmington, DE 19801-1233",(302) 573-6345\,127A Russell Senate Office Building,(202) 224-5042,https://www.coons.senate.gov/contact,http://www.coons.senate.gov/,Class II,C001088,DE_Coons.png (https://dl.airtable.com/TgP3jDFjQiSNvmbWW7yX_DE_Coons.png)
FL,Nelson (D-FL),Nelson,Bill,D,3416 South University Drive,"Fort Lauderdale, FL 33328",,(954) 693-4851,716 Hart Senate Office Building,(202) 224-5274,https://www.billnelson.senate.gov/contact-bill,http://www.billnelson.senate.gov/,Class I,N000032,FL_Nelson.jpg (https://dl.airtable.com/HozcFUMnR8S7lPoSemXM_FL_Nelson.jpg)
FL,Rubio (R-FL),Rubio,Marco,R,201 South Orange Avenue,Suite 350,"Orlando, FL 32801",(407) 254-2573,284 Russell Senate Office Building,(202) 224-3041,http://www.rubio.senate.gov/public/index.cfm/contact,http://www.rubio.senate.gov,Class III,R000595,FL_Rubio.jpg (https://dl.airtable.com/mGXl7NJVS7SYj0ENRrrf_FL_Rubio.jpg)
GA,Isakson (R-GA),Isakson,Johnny,R,"One Overton Park, 3625 Cumberland Blvd",Suite 970,"Atlanta, GA 30339",(770) 661-0999,131 Russell Senate Office Building,(202) 224-3643,https://www.isakson.senate.gov/public/index.cfm/email-me,http://www.isakson.senate.gov,Class III,I000055,GA_Isakson.jpg (https://dl.airtable.com/vIAd7oJzRGy5XfBHnGvU_GA_Isakson.jpg)
GA,Perdue (R-GA),Perdue,David,R,191 Peachtree Street NE,Suite 3250,"Atlanta, GA 30303",(404) 865-0087,383 Russell Senate Office Building,(202) 224-3521,https://www.perdue.senate.gov/connect/email,http://www.perdue.senate.gov,Class II,P000612,GA_Perdue.jpg (https://dl.airtable.com/nDsEi0vzRCerBAqn5grJ_GA_Perdue.jpg)
HI,Hirono (D-HI),Hirono,Mazie K.,D,300 Ala Moana Blvd.,Rm. 3-106,"Honolulu, HI 96850",(808) 522-8970,330 Hart Senate Office Building,(202) 224-6361,https://www.hirono.senate.gov/contact,http://www.hirono.senate.gov/,Class I,H001042,HI_Hirono.jpg (https://dl.airtable.com/J9ybaTraQP6wY3QOBNH8_HI_Hirono.jpg)
HI,Schatz (D-HI),Schatz,Brian,D,300 Ala Moana Blvd.,Rm 7-212,"Honolulu, HI 96850",(808) 523-2061,722 Hart Senate Office Building,(202) 224-3934,https://www.schatz.senate.gov/contact,http://www.schatz.senate.gov,Class III,S001194,HI_Schatz.jpg (https://dl.airtable.com/6Uw5fiiRj6GmNRnVVKpg_HI_Schatz.jpg)
IA,Ernst (R-IA),Ernst,Joni,R,733 Federal Building,210 Walnut Street,"Des Moines, IA 50309",(515) 284-4574,111 Russell Senate Office Building,(202) 224-3254,https://www.ernst.senate.gov/public/index.cfm/contact,http://www.ernst.senate.gov,Class II,E000295,IA_Ernst.jpg (https://dl.airtable.com/4CCTcf2ZQmOAyKlwd4VH_IA_Ernst.jpg)
IA,Grassley (R-IA),Grassley,Chuck,R,"111 7th Avenue SE, Box 13",Suite 6800,"Cedar Rapids, IA 52401",(319) 363-6832,135 Hart Senate Office Building,(202) 224-3744,http://www.grassley.senate.gov/contact,http://www.grassley.senate.gov,Class III,G000386,IA_Grassley.jpg (https://dl.airtable.com/kdv0utSUyP4GDH96PMxA_IA_Grassley.jpg)
ID,Crapo (R-ID),Crapo,Mike,R,251 East Front Street,Suite 205,"Boise, ID 83702",(208) 334-1776,239 Dirksen Senate Office Building,(202) 224-6142,http://www.crapo.senate.gov/contact/email.cfm,http://www.crapo.senate.gov,Class III,C000880,ID_Crapo.jpg (https://dl.airtable.com/1s0HSG2RzmOxnL2Uo5jA_ID_Crapo.jpg)
ID,Risch (R-ID),Risch,James E.,R,350 N. 9th St.,Suite 302,"Boise, Idaho 83702",(208) 342-7985,483 Russell Senate Office Building,(202) 224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,http://www.risch.senate.gov,Class II,R000584,ID_Risch.jpg (https://dl.airtable.com/jn2Sqv5rQ0CJAqacQ051_ID_Risch.jpg)
IL,Durbin (D-IL),Durbin,Richard J.,D,230 S. Dearborn Street,Suite 3892,"Chicago, IL 60604",(312) 353-4952,711 Hart Senate Office Building,(202) 224-2152,https://www.durbin.senate.gov/contact/,http://www.durbin.senate.gov,Class II,D000563,IL_Durbin.jpg (https://dl.airtable.com/j5OS4uCDR3OOLD86n1R2_IL_Durbin.jpg)
IN,Donnelly (D-IN),Donnelly,Joe,D,123 NW 4th Street,Suite 417,"Evansville, IN 47708",(812) 425-5813,720 Hart Senate Office Building,(202) 224-4814,https://www.donnelly.senate.gov/contact/email-joe,http://www.donnelly.senate.gov,Class I,D000607,IN_Donnelly.jpg (https://dl.airtable.com/cojooZiYQSuAYoPUhs0N_IN_Donnelly.jpg)
KS,Moran (R-KS),Moran,Jerry,R,"1200 Main St., Suite 402",P.O. Box 249,"Hays, KS 67601",(785) 628-6401,521 Dirksen Senate Office Building,(202) 224-6521,https://www.moran.senate.gov/public/index.cfm/e-mail-jerry,http://www.moran.senate.gov,Class III,M000934,KS_Moran.jpg (https://dl.airtable.com/IBw7gUxSJaQKguO91QwP_KS_Moran.jpg)
KS,Roberts (R-KS),Roberts,Pat,R,11900 College Boulevard,Suite 203,"Overland Park, KS 66210",(913) 451-9343,109 Hart Senate Office Building,(202) 224-4774,https://www.roberts.senate.gov/public/?p=EmailPat,http://www.roberts.senate.gov/,Class II,R000307,KS_Roberts.jpg (https://dl.airtable.com/QnVXgQT1TbyGFEKM8eBB_KS_Roberts.jpg)
KY,McConnell (R-KY),McConnell,Mitch,R,601 W. Broadway,Room 630,"Louisville, KY 40202",(502) 582-6304,317 Russell Senate Office Building,(202) 224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/,Class II,M000355,KY_McConnell.jpg (https://dl.airtable.com/7EvsiYs2RdGn1Ycwv28G_KY_McConnell.jpg)
KY,Paul (R-KY),Paul,Rand,R,1029 State Street,"Bowling Green, KY 42101",,(270) 782-8303,167 Russell Senate Office Building,(202) 224-4343,https://www.paul.senate.gov/connect/email-rand,http://www.paul.senate.gov,Class III,P000603,KY_Paul.jpg (https://dl.airtable.com/1LychajrSWiPzBMzROd8_KY_Paul.jpg)
LA,Cassidy (R-LA),Cassidy,Bill,R,3600 Jackson Street,Ste. 115A,"Alexandria, LA 71303",(318) 448-7176,703 Hart Senate Office Building,(202) 224-5824,https://www.cassidy.senate.gov/contact,http://www.cassidy.senate.gov,Class II,C001075,LA_Cassidy.jpg (https://dl.airtable.com/L7TWYvkpQnmhGbYAqhbm_LA_Cassidy.jpg)
MA,Markey (D-MA),Markey,Edward J.,D,975 JFK Federal Building,15 New Sudbury Street,"Boston, MA 02203",(617) 565-8519,255 Dirksen Senate Office Building,(202) 224-2742,https://www.markey.senate.gov/contact,http://www.markey.senate.gov/,Class II,M000133,MA_Markey.jpg (https://dl.airtable.com/AefdvzmmTqy6gX7FnPG6_MA_Markey.jpg)
MA,Warren (D-MA),Warren,Elizabeth,D,2400 JFK Federal Building,15 New Sudbury Street,"Boston, MA 02203",(617) 565-3170,317 Hart Senate Office Building,(202) 224-4543,https://www.warren.senate.gov/?p=email_senator,http://www.warren.senate.gov,Class I,W000817,MA_Warren.jpg (https://dl.airtable.com/NnYIlGVT0yIS8pRzQmwP_MA_Warren.jpg)
MD,Cardin (D-MD),Cardin,Benjamin L.,D,100 South Charles Street,"Tower 1, Suite 1710","Baltimore, MD, 21201",(410) 962-4436,509 Hart Senate Office Building,(202) 224-4524,http://www.cardin.senate.gov/contact/,http://www.cardin.senate.gov/,Class I,C000141,MD_Cardin.jpg (https://dl.airtable.com/2Lo6rXGeRdinx1pm63pE_MD_Cardin.jpg)
ME,Collins (R-ME),Collins,Susan M.,R,68 Sewall Street,Room 507,"Augusta, ME 04330",(207) 622-8414,413 Dirksen Senate Office Building,(202) 224-2523,http://www.collins.senate.gov/contact,http://www.collins.senate.gov,Class II,C001035,ME_Collins.jpg (https://dl.airtable.com/q8iJwSDR9iWKE3zxXk29_ME_Collins.jpg)
ME,King (I-ME),King,"Angus S., Jr.",I,4 Gabriel Drive,Suite 3,"Augusta, ME 04330",(207) 622-8292,133 Hart Senate Office Building,(202) 224-5344,https://www.king.senate.gov/contact,http://www.king.senate.gov/,Class I,K000383,ME_King.png (https://dl.airtable.com/gjw7sUXQCSt2Qk4v8CJK_ME_King.png)
MI,Peters (D-MI),Peters,Gary C.,D,"Patrick V. McNamara Federal Building, 477 Michigan Avenue",Suite 1860,"Detroit, MI 48226",(313) 226-6020,724 Hart Senate Office Building,(202) 224-6221,https://www.peters.senate.gov/contact/email-gary,http://www.peters.senate.gov,Class II,P000595,MI_Peters.jpg (https://dl.airtable.com/ix0xoYnSEqVAw2chqN0Q_MI_Peters.jpg)
MI,Stabenow (D-MI),Stabenow,Debbie,D,221 W. Lake Lansing Road,Suite 100,"East Lansing, MI 48823",(517) 203-1760,731 Hart Senate Office Building,(202) 224-4822,http://www.stabenow.senate.gov/?p=contact,http://www.stabenow.senate.gov/,Class I,S000770,MI_Stabenow.jpg (https://dl.airtable.com/hi8xamKySRmpTFVAi888_MI_Stabenow.jpg)
MN,Franken (D-MN),Franken,Al,D,515 W 1st St,Suite 104,"Duluth, MN 55802",(218) 722-2390,309 Hart Senate Office Building,(202) 224-5641,https://www.franken.senate.gov/?p=contact,http://www.franken.senate.gov,Class II,F000457,MN_Franken.jpeg (https://dl.airtable.com/50gOM5GtSVeCscMlA5BF_MN_Franken.jpeg)
MN,Klobuchar (D-MN),Klobuchar,Amy,D,1200 Washington Avenue South,Room 250,"Minneapolis, MN 55415",(612) 727-5220,302 Hart Senate Office Building,(202) 224-3244,http://www.klobuchar.senate.gov/public/contact-amy,http://www.klobuchar.senate.gov/,Class I,K000367,MN_Klobuchar.jpg (https://dl.airtable.com/GvJfmKqS6oWLSAsD1jBw_MN_Klobuchar.jpg)
MO,Blunt (R-MO),Blunt,Roy,R,2740 B East Sunshine,"Springfield, MO 65804",,(417) 877-7814,260 Russell Senate Office Building,(202) 224-5721,https://www.blunt.senate.gov/public/index.cfm/contact-roy,http://www.blunt.senate.gov,Class III,B000575,MO_Blunt.jpg (https://dl.airtable.com/S2WPueJcQF2IP7iztdjk_MO_Blunt.jpg)
MO,McCaskill (D-MO),McCaskill,Claire,D,555 Independence St.,Room 1600,"Cape Girardeau, MO 63703",(573) 651-0964,730 Hart Senate Office Building,(202) 224-6154,http://www.mccaskill.senate.gov/contact,http://www.mccaskill.senate.gov/,Class I,M001170,MO_McCaskill.jpg (https://dl.airtable.com/RS3MWArBQxmZGB8MX83u_MO_McCaskill.jpg)
MS,Cochran (R-MS),Cochran,Thad,R,190 East Capitol St.,Suite 550,"Jackson, Mississippi 39201",(601) 965-4459,113 Dirksen Senate Office Building,(202) 224-5054,https://www.cochran.senate.gov/public/index.cfm/email-me,http://www.cochran.senate.gov,Class II,C000567,MS_Cochran.jpg (https://dl.airtable.com/PAYeFtfdRlCb4BduxFzr_MS_Cochran.jpg)
MS,Wicker (R-MS),Wicker,Roger F.,R,2909 13th Street,"3rd Floor, Suite 303","Gulfport, MS 39501",(228) 871-7017,555 Dirksen Senate Office Building,(202) 224-6253,https://www.wicker.senate.gov/public/index.cfm/contact,http://www.wicker.senate.gov,Class I,W000437,MS_Wicker.jpg (https://dl.airtable.com/9mKD0T4GRXmRX7HZmO9a_MS_Wicker.jpg)
MT,Daines (R-MT),Daines,Steve,R,222 N. 32nd Street,Ste. 100,"Billings, MT 59101",(406) 245-6822,320 Hart Senate Office Building,(202) 224-2651,https://www.daines.senate.gov/connect/email-steve,http://www.daines.senate.gov,Class II,D000618,MT_Daines.jpg (https://dl.airtable.com/hTwHCVjHSvuiFGtfitBy_MT_Daines.jpg)
MT,Tester (D-MT),Tester,Jon,D,"Judge Jameson Federal Building, 2900 4th Ave N",Suite 201,"Billings, MT 59101",(406) 252-0550,311 Hart Senate Office Building,(202) 224-2644,https://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/,Class I,T000464,MT_Tester.jpg (https://dl.airtable.com/NjcCiJJWRpulxKMbt0XC_MT_Tester.jpg)
