ARIZONA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
04,84531,01
04,84536,01
04,85003,07
04,85004,07
04,85006,07
04,85007,07
04,85008,07
04,85008,09
04,85009,07
04,85012,07
04,85012,09
04,85013,07
04,85013,09
04,85014,07
04,85014,09
04,85015,07
04,85016,06
04,85016,07
04,85016,09
04,85017,07
04,85018,06
04,85018,07
04,85018,09
04,85019,07
04,85020,06
04,85020,09
04,85021,06
04,85021,07
04,85021,09
04,85022,06
04,85023,06
04,85024,06
04,85027,06
04,85028,06
04,85029,06
04,85031,07
04,85032,06
04,85033,03
04,85033,07
04,85034,07
04,85034,09
04,85035,07
04,85037,03
04,85037,07
04,85037,08
04,85040,07
04,85040,09
04,85041,07
04,85042,07
04,85043,03
04,85043,07
04,85044,07
04,85044,09
04,85045,09
04,85048,07
04,85048,09
04,85050,06
04,85051,06
04,85051,07
04,85051,09
04,85053,06
04,85054,06
04,85083,06
04,85083,08
04,85085,06
04,85085,08
04,85086,06
04,85086,08
04,85087,04
04,85087,06
04,85087,08
04,85118,04
04,85119,04
04,85120,04
04,85120,05
04,85121,01
04,85122,01
04,85123,01
04,85123,03
04,85128,01
04,85128,04
04,85131,01
04,85132,01
04,85132,04
04,85135,01
04,85137,01
04,85137,04
04,85138,01
04,85139,01
04,85139,03
04,85140,04
04,85141,01
04,85142,04
04,85142,05
04,85143,04
04,85145,01
04,85147,01
04,85172,01
04,85173,01
04,85173,04
04,85192,01
04,85193,01
04,85193,03
04,85194,01
04,85201,05
04,85201,06
04,85201,09
04,85202,09
04,85203,05
04,85203,06
04,85203,09
04,85204,05
04,85204,09
04,85205,05
04,85206,05
04,85207,04
04,85207,05
04,85208,05
04,85209,05
04,85210,05
04,85210,09
04,85212,05
04,85213,05
04,85215,04
04,85215,05
04,85215,06
04,85224,05
04,85224,09
04,85225,05
04,85225,09
04,85226,01
04,85226,09
04,85233,05
04,85233,09
04,85234,05
04,85248,01
04,85248,05
04,85249,05
04,85250,06
04,85251,06
04,85251,09
04,85253,06
04,85253,09
04,85254,06
04,85255,06
04,85256,06
04,85256,09
04,85257,06
04,85257,09
04,85258,06
04,85259,06
04,85260,06
04,85262,04
04,85262,06
04,85263,04
04,85263,06
04,85264,04
04,85264,06
04,85266,06
04,85268,06
04,85281,06
04,85281,07
04,85281,09
04,85282,07
04,85282,09
04,85283,07
04,85283,09
04,85284,09
04,85286,05
04,85295,05
04,85296,05
04,85297,05
04,85298,05
04,85301,06
04,85301,07
04,85301,08
04,85302,06
04,85302,08
04,85303,07
04,85303,08
04,85304,08
04,85305,03
04,85305,07
04,85305,08
04,85306,08
04,85307,03
04,85307,08
04,85308,06
04,85308,08
04,85309,08
04,85310,06
04,85310,08
04,85320,04
04,85321,03
04,85322,03
04,85323,03
04,85323,07
04,85323,08
04,85324,04
04,85325,04
04,85326,03
04,85326,04
04,85328,04
04,85331,04
04,85331,06
04,85331,08
04,85332,04
04,85333,03
04,85333,04
04,85334,04
04,85335,08
04,85336,03
04,85337,03
04,85338,03
04,85338,08
04,85339,01
04,85339,03
04,85339,07
04,85340,03
04,85340,04
04,85340,08
04,85341,03
04,85342,04
04,85342,08
04,85343,03
04,85344,04
04,85345,08
04,85346,04
04,85347,03
04,85347,04
04,85348,04
04,85349,03
04,85350,03
04,85351,08
