ZCTA5,STATE,CD
601,72,98
602,72,98
603,72,98
606,72,98
610,72,98
612,72,98
616,72,98
617,72,98
622,72,98
623,72,98
624,72,98
627,72,98
631,72,98
637,72,98
638,72,98
641,72,98
646,72,98
647,72,98
650,72,98
652,72,98
653,72,98
656,72,98
659,72,98
660,72,98
662,72,98
664,72,98
667,72,98
669,72,98
670,72,98
674,72,98
676,72,98
677,72,98
678,72,98
680,72,98
682,72,98
683,72,98
685,72,98
687,72,98
688,72,98
690,72,98
692,72,98
693,72,98
694,72,98
698,72,98
703,72,98
704,72,98
705,72,98
707,72,98
714,72,98
715,72,98
716,72,98
717,72,98
718,72,98
719,72,98
720,72,98
723,72,98
725,72,98
727,72,98
728,72,98
729,72,98
730,72,98
731,72,98
735,72,98
736,72,98
738,72,98
739,72,98
740,72,98
741,72,98
745,72,98
751,72,98
754,72,98
757,72,98
765,72,98
766,72,98
767,72,98
769,72,98
771,72,98
772,72,98
773,72,98
775,72,98
777,72,98
778,72,98
780,72,98
782,72,98
783,72,98
784,72,98
786,72,98
791,72,98
794,72,98
795,72,98
901,72,98
906,72,98
907,72,98
909,72,98
911,72,98
912,72,98
913,72,98
915,72,98
917,72,98
918,72,98
920,72,98
921,72,98
923,72,98
924,72,98
925,72,98
926,72,98
927,72,98
934,72,98
936,72,98
949,72,98
950,72,98
951,72,98
952,72,98
953,72,98
956,72,98
957,72,98
959,72,98
960,72,98
961,72,98
962,72,98
965,72,98
966,72,98
968,72,98
969,72,98
971,72,98
976,72,98
979,72,98
982,72,98
983,72,98
985,72,98
987,72,98
1001,25,2
1002,25,1
1003,25,1
1005,25,1
1007,25,1
1008,25,1
1009,25,2
1010,25,2
1011,25,1
1012,25,1
1013,25,2
1020,25,2
1022,25,2
1026,25,1
1027,25,1
1028,25,2
1029,25,1
1030,25,2
1031,25,1
1032,25,1
1033,25,1
1034,25,1
1035,25,2
1036,25,2
1037,25,1
1038,25,1
1039,25,1
1040,25,1
1050,25,1
1053,25,2
1054,25,1
1056,25,2
1057,25,2
1060,25,2
1062,25,2
1063,25,2
1066,25,1
1068,25,1
1069,25,2
1070,25,1
1071,25,1
1072,25,1
1073,25,1
1074,25,1
1075,25,1
1075,25,2
1077,25,1
1079,25,2
1080,25,2
1081,25,2
1082,25,1
1083,25,2
1084,25,1
1085,25,1
1086,25,1
1088,25,1
1089,25,1
1092,25,2
1093,25,1
1094,25,1
1095,25,2
1096,25,1
1097,25,1
1098,25,1
1103,25,2
1104,25,2
1105,25,2
1106,25,2
1107,25,2
1108,25,2
1109,25,2
1118,25,2
1119,25,2
1128,25,2
1129,25,2
1151,25,2
1199,25,2
1201,25,1
1220,25,1
1222,25,1
1223,25,1
1224,25,1
1225,25,1
1226,25,1
1229,25,1
1230,25,1
1235,25,1
1236,25,1
1237,25,1
1238,25,1
1240,25,1
1242,25,1
1243,25,1
1244,25,1
1245,25,1
1247,25,1
1253,25,1
1254,25,1
1255,25,1
1256,25,1
1257,25,1
1258,25,1
1259,25,1
1260,25,1
1262,25,1
1264,25,1
1266,25,1
1267,25,1
1270,25,1
1301,25,1
1330,25,1
1331,25,1
1337,25,1
1338,25,1
1339,25,1
1340,25,1
1341,25,1
1342,25,1
1343,25,1
1344,25,1
1346,25,1
1347,25,1
1349,25,1
1350,25,1
1351,25,1
1354,25,1
1355,25,1
1360,25,1
1364,25,1
1366,25,1
1367,25,1
1368,25,1
1370,25,1
1373,25,1
1375,25,1
1376,25,1
1378,25,1
1379,25,1
1420,25,1
1430,25,1
1431,25,1
1432,25,5
1434,25,5
1436,25,1
1438,25,1
1440,25,1
1450,25,5
1451,25,5
1452,25,1
1453,25,1
1453,25,5
1460,25,5
1462,25,1
1463,25,1
1464,25,5
1467,25,5
1468,25,1
1469,25,1
1473,25,1
1474,25,1
1475,25,1
1501,25,3
1503,25,5
1504,25,2
1505,25,3
1506,25,2
1507,25,2
1510,25,3
1515,25,2
1516,25,2
1518,25,2
1519,25,2
1520,25,3
1521,25,2
1522,25,3
1523,25,5
1524,25,2
1525,25,2
1527,25,2
1527,25,3
1529,25,2
1531,25,1
1532,25,3
1534,25,2
1535,25,2
1536,25,2
1536,25,3
1537,25,2
1540,25,2
1541,25,3
1542,25,2
1543,25,3
1545,25,3
1550,25,2
1560,25,2
1561,25,5
1562,25,2
1564,25,1
1566,25,2
1568,25,2
1569,25,2
1570,25,2
1571,25,2
1581,25,3
1583,25,3
1585,25,1
1585,25,2
1588,25,2
1590,25,2
1602,25,3
1603,25,3
1604,25,2
1604,25,3
1605,25,3
1606,25,3
1607,25,2
1607,25,3
1608,25,3
1609,25,3
1610,25,3
1611,25,2
1612,25,3
1701,25,7
1702,25,7
1718,25,5
1719,25,5
1720,25,5
1721,25,3
1730,25,6
1730,25,7
1731,25,6
1731,25,7
1740,25,5
1741,25,5
1742,25,5
1745,25,3
1746,25,3
1747,25,2
1748,25,3
1749,25,5
1752,25,3
1754,25,5
1756,25,2
1757,25,2
1760,25,5
1760,25,7
1770,25,4
1772,25,3
1773,25,5
1773,25,7
1775,25,5
1776,25,5
1778,25,5
1778,25,7
1801,25,6
1801,25,7
1803,25,6
1810,25,5
1810,25,6
1821,25,5
1824,25,5
1826,25,5
1827,25,5
1830,25,5
1832,25,5
1833,25,6
1834,25,6
1835,25,5
1840,25,5
1841,25,5
1841,25,6
1843,25,5
1843,25,6
1844,25,5
1845,25,5
1845,25,6
1850,25,5
1851,25,5
1852,25,5
1854,25,5
1860,25,6
1862,25,5
1863,25,5
1864,25,6
1867,25,6
1876,25,5
1879,25,5
1880,25,6
1886,25,5
1887,25,6
1890,25,7
1901,25,6
1902,25,6
1904,25,6
1905,25,6
1906,25,6
1907,25,6
1908,25,6
1913,25,6
1915,25,6
1921,25,6
1922,25,6
1923,25,6
1929,25,6
1930,25,6
1937,25,6
1938,25,6
1940,25,6
1944,25,6
1945,25,6
1949,25,6
1950,25,6
1951,25,6
1952,25,6
1960,25,6
1966,25,6
1969,25,6
1970,25,6
1982,25,6
1983,25,6
1984,25,6
1985,25,6
2019,25,2
2021,25,9
2025,25,10
2026,25,9
2030,25,4
2032,25,9
2035,25,4
2038,25,3
2043,25,10
2045,25,10
2047,25,10
2048,25,4
2050,25,10
2052,25,9
