ARKANSAS CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
05,38769,01
05,65729,03
05,65733,03
05,65761,03
05,71601,04
05,71602,04
05,71603,01
05,71603,04
05,71630,01
05,71631,04
05,71635,04
05,71638,01
05,71638,04
05,71639,01
05,71640,01
05,71642,04
05,71643,01
05,71644,01
05,71644,04
05,71646,04
05,71647,04
05,71651,04
05,71652,04
05,71653,01
05,71654,01
05,71655,01
05,71655,04
05,71658,04
05,71659,04
05,71660,04
05,71661,01
05,71661,04
05,71662,01
05,71663,01
05,71663,04
05,71665,04
05,71666,01
05,71667,01
05,71667,04
05,71670,01
05,71670,04
05,71671,04
05,71674,01
05,71675,04
05,71676,01
05,71676,04
05,71677,04
05,71701,04
05,71711,04
05,71720,04
05,71722,04
05,71724,04
05,71725,04
05,71726,04
05,71730,04
05,71740,04
05,71742,04
05,71743,04
05,71744,04
05,71745,04
05,71747,04
05,71749,04
05,71751,04
05,71752,04
05,71753,04
05,71758,04
05,71759,04
05,71762,04
05,71763,04
05,71764,04
05,71765,04
05,71766,04
05,71770,04
05,71772,04
05,71801,04
05,71820,04
05,71822,04
05,71823,04
05,71825,04
05,71826,04
05,71827,04
05,71832,04
05,71833,04
05,71834,04
05,71835,04
05,71836,04
05,71837,04
05,71838,04
05,71839,04
05,71841,04
05,71842,04
05,71845,04
05,71846,04
05,71847,04
05,71851,04
05,71852,04
05,71853,04
05,71854,04
05,71855,04
05,71857,04
05,71858,04
05,71859,04
05,71860,04
05,71861,04
05,71862,04
05,71865,04
05,71866,04
05,71901,04
05,71909,02
05,71909,04
05,71913,04
05,71921,04
05,71922,04
05,71923,04
05,71929,04
05,71933,04
05,71935,04
05,71937,04
05,71940,04
05,71941,04
05,71943,04
05,71944,04
05,71945,04
05,71949,04
05,71950,04
05,71952,04
05,71953,04
05,71956,04
05,71957,04
05,71958,04
05,71959,04
05,71960,04
05,71961,04
05,71962,04
05,71964,04
05,71965,04
05,71968,04
05,71969,04
05,71970,04
05,71971,04
05,71972,04
05,71973,04
05,71998,04
05,71999,04
05,72001,02
05,72002,02
05,72003,01
05,72004,01
05,72004,04
05,72005,01
05,72006,01
05,72007,01
05,72010,02
05,72011,02
05,72012,02
05,72013,02
05,72014,01
05,72015,02
05,72015,04
05,72016,02
05,72017,01
05,72019,02
05,72020,01
05,72020,02
05,72021,01
05,72022,02
05,72023,01
05,72023,02
05,72024,01
05,72025,02
05,72025,04
05,72026,01
05,72027,02
05,72029,01
05,72030,02
05,72031,01
05,72031,02
05,72032,02
05,72034,02
05,72035,02
05,72036,01
05,72037,01
05,72038,01
05,72039,02
05,72040,01
05,72041,01
05,72042,01
05,72044,01
05,72045,02
05,72046,01
05,72046,02
05,72046,04
05,72047,02
05,72048,01
05,72051,01
05,72055,01
05,72057,04
05,72058,02
05,72059,01
05,72060,01
05,72060,02
05,72061,02
05,72063,02
05,72063,03
05,72064,01
05,72065,02
05,72065,04
05,72067,01
05,72067,02
05,72068,02
05,72069,01
05,72070,02
05,72072,01
05,72073,01
05,72074,01
05,72076,01
05,72076,02
05,72079,04
05,72080,02
05,72080,03
05,72081,02
05,72082,02
05,72083,01
05,72084,04
05,72085,02
05,72086,01
05,72087,02
05,72087,04
05,72088,01
05,72088,02
05,72099,02
05,72101,01
05,72102,02
05,72103,02
05,72104,02
05,72104,04
05,72106,02
05,72107,02
05,72108,01
05,72110,02
05,72111,02
05,72112,01
05,72113,02
05,72114,02
05,72116,02
05,72117,02
05,72118,02
05,72119,02
05,72120,02
05,72121,01
05,72121,02
05,72122,02
05,72123,01
05,72125,02
05,72126,02
05,72127,02
05,72128,04
05,72129,04
05,72130,01
05,72131,01
05,72131,02
05,72132,04
05,72134,01
05,72135,02
05,72136,02
05,72137,01
05,72137,02
05,72139,02
05,72140,01
05,72141,02
05,72142,01
05,72142,02
05,72143,01
05,72143,02
05,72149,02
05,72150,04
05,72152,01
05,72152,04
05,72153,01
05,72153,02
05,72156,02
05,72157,02
05,72160,01
05,72165,01
05,72166,01
05,72167,02
05,72167,04
05,72168,01
05,72168,04
05,72169,01
05,72170,01
05,72173,02
05,72175,01
05,72175,04
05,72176,01
05,72179,01
05,72181,02
05,72201,02
05,72202,02
05,72204,02
05,72205,02
05,72206,02
05,72207,02
05,72209,02
05,72210,02
05,72211,02
05,72212,02
05,72223,02
05,72227,02
05,72301,01
05,72311,01
05,72315,01
05,72320,01
05,72321,01
05,72322,01
05,72324,01
05,72325,01
05,72326,01
05,72327,01
05,72328,01
05,72329,01
05,72330,01
05,72331,01
05,72332,01
05,72333,01
05,72335,01
05,72338,01
05,72339,01
05,72340,01
05,72341,01
05,72342,01
05,72346,01
05,72347,01
05,72348,01
05,72350,01
05,72351,01
05,72353,01
05,72354,01
05,72355,01
05,72358,01
05,72359,01
05,72360,01
05,72364,01
05,72365,01
05,72366,01
05,72367,01
05,72368,01
05,72370,01
05,72372,01
05,72373,01
05,72374,01
05,72376,01
05,72377,01
05,72379,01
05,72383,01
05,72384,01
05,72386,01
05,72389,01
05,72390,01
05,72392,01
05,72394,01
05,72395,01
05,72396,01
05,72401,01
05,72404,01
05,72410,01
05,72411,01
05,72412,01
05,72413,01
05,72414,01
05,72415,01
05,72416,01
05,72417,01
05,72419,01
05,72421,01
05,72422,01
05,72424,01
05,72425,01
05,72426,01
05,72427,01
05,72428,01
05,72429,01
05,72430,01
05,72431,01
05,72432,01
05,72433,01
05,72434,01
05,72435,01
05,72436,01
05,72437,01
05,72438,01
05,72440,01
05,72441,01
05,72442,01
05,72443,01
05,72444,01
05,72445,01
05,72447,01
05,72449,01
05,72450,01
05,72453,01
05,72454,01
05,72455,01
05,72456,01
05,72457,01
05,72458,01
05,72459,01
05,72460,01
05,72461,01
05,72462,01
05,72464,01
05,72466,01
05,72467,01
05,72469,01
05,72470,01
05,72471,01
05,72472,01
05,72473,01
05,72476,01
05,72478,01
05,72479,01
05,72482,01
05,72501,01
05,72512,01
05,72513,01
05,72515,01
05,72517,01
05,72519,01
05,72520,01
05,72521,01
05,72522,01
05,72523,01
05,72524,01
05,72526,01
05,72527,01
05,72528,01
05,72529,01
05,72530,01
05,72531,01
05,72532,01
05,72533,01
05,72534,01
05,72536,01
05,72537,01
05,72538,01
05,72539,01
05,72540,01
05,72542,01
05,72543,01
05,72544,01
05,72546,01
05,72550,01
05,72553,01
05,72554,01
05,72555,01
05,72556,01
05,72560,01
05,72561,01
05,72562,01
05,72564,01
05,72565,01
05,72566,01
05,72567,01
05,72568,01
05,72569,01
05,72571,01
05,72572,01
05,72573,01
05,72576,01
05,72577,01
05,72578,01
05,72579,01
05,72581,01
05,72583,01
05,72584,01
05,72585,01
05,72587,01
05,72601,03
05,72601,04
05,72611,03
05,72616,03
05,72617,01
05,72619,03
05,72623,01
05,72624,03
05,72624,04
05,72626,01
05,72628,04
05,72629,02
05,72630,03
05,72631,03
05,72632,03
05,72632,04
05,72633,03
05,72634,03
05,72635,01
05,72636,01
05,72638,03
05,72638,04
05,72639,01
05,72640,03
05,72641,03
05,72641,04
05,72642,01
05,72644,03
05,72645,01
05,72645,02
05,72648,03
05,72648,04
05,72650,01
05,72651,01
05,72653,01
05,72653,03
05,72655,03
05,72655,04
05,72658,01
05,72660,03
05,72661,03
05,72662,03
05,72663,01
05,72666,04
05,72668,03
05,72669,03
05,72670,04
05,72672,03
05,72675,01
05,72675,03
05,72677,03
05,72679,01
05,72679,03
05,72680,01
05,72682,03
05,72683,03
05,72685,01
05,72685,03
05,72686,01
05,72687,03
05,72701,03
05,72703,03
05,72703,04
05,72704,03
05,72712,03
05,72714,03
05,72715,03
05,72717,03
05,72718,03
05,72719,03
05,72721,04
05,72722,03
05,72727,03
05,72727,04
05,72729,03
05,72730,03
05,72732,03
05,72734,03
05,72736,03
05,72738,03
05,72738,04
05,72739,03
05,72740,03
05,72740,04
05,72742,04
05,72744,03
05,72745,03
05,72747,03
05,72749,03
05,72751,03
05,72752,04
05,72753,03
05,72756,03
05,72756,04
05,72758,03
05,72760,04
05,72761,03
05,72762,03
05,72764,03
05,72768,03
05,72769,03
05,72773,03
05,72773,04
05,72774,03
05,72776,04
05,72801,03
05,72802,03
05,72821,04
05,72823,02
05,72823,03
05,72824,04
05,72826,04
05,72827,04
05,72828,04
05,72830,04
05,72832,04
05,72833,04
05,72834,04
05,72835,04
05,72837,03
05,72838,04
05,72839,03
05,72839,04
05,72840,04
05,72841,04
05,72842,04
05,72843,03
05,72845,04
05,72846,03
05,72846,04
05,72847,03
05,72847,04
05,72851,04
05,72852,04
05,72853,02
05,72853,04
05,72854,04
05,72855,04
05,72856,03
05,72856,04
05,72857,02
05,72857,04
05,72858,03
05,72860,04
05,72863,04
05,72865,04
05,72901,03
05,72903,03
05,72904,03
05,72908,03
05,72916,03
05,72921,03
05,72921,04
05,72923,03
05,72926,04
05,72927,03
05,72927,04
05,72928,04
05,72930,04
05,72932,03
05,72933,03
05,72933,04
05,72934,03
05,72934,04
05,72935,04
05,72936,03
05,72936,04
05,72937,03
05,72937,04
05,72938,04
05,72940,03
05,72940,04
05,72941,03
05,72941,04
05,72943,04
05,72944,04
05,72945,03
05,72945,04
05,72946,03
05,72946,04
05,72947,04
05,72948,03
05,72949,04
05,72950,04
05,72951,04
05,72952,03
05,72955,03
05,72956,03
05,72956,04
05,72958,04
05,72959,03
05,72959,04
05,75556,04
