CALIFORNIA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
06,89010,08
06,89019,08
06,89060,08
06,89061,08
06,89439,01
06,90001,40
06,90001,43
06,90001,44
06,90002,43
06,90002,44
06,90003,37
06,90003,40
06,90003,43
06,90004,28
06,90004,33
06,90004,34
06,90005,33
06,90005,34
06,90005,37
06,90006,34
06,90007,34
06,90007,37
06,90007,40
06,90008,37
06,90010,33
06,90010,34
06,90010,37
06,90011,37
06,90011,40
06,90012,34
06,90013,34
06,90014,34
06,90015,34
06,90015,37
06,90015,40
06,90016,37
06,90017,34
06,90018,34
06,90018,37
06,90019,34
06,90019,37
06,90020,33
06,90020,34
06,90021,34
06,90021,40
06,90022,27
06,90022,34
06,90022,38
06,90022,40
06,90023,34
06,90023,40
06,90024,33
06,90024,37
06,90025,33
06,90025,37
06,90026,28
06,90026,34
06,90027,28
06,90028,28
06,90029,28
06,90031,28
06,90031,34
06,90032,34
06,90033,34
06,90034,37
06,90035,33
06,90035,37
06,90036,28
06,90036,33
06,90036,37
06,90037,37
06,90037,40
06,90038,28
06,90038,34
06,90039,28
06,90040,40
06,90041,34
06,90042,27
06,90042,28
06,90042,34
06,90043,37
06,90044,37
06,90044,43
06,90044,44
06,90045,37
06,90045,43
06,90046,28
06,90046,30
06,90046,33
06,90047,37
06,90047,43
06,90048,28
06,90048,33
06,90048,37
06,90049,30
06,90049,33
06,90056,37
06,90057,34
06,90058,34
06,90058,40
06,90059,43
06,90059,44
06,90061,43
06,90061,44
06,90062,37
06,90063,34
06,90063,40
06,90064,33
06,90064,37
06,90065,28
06,90065,34
06,90066,33
06,90066,37
06,90066,43
06,90067,37
06,90068,28
06,90068,30
06,90069,28
06,90071,34
06,90073,33
06,90077,30
06,90077,33
06,90079,34
06,90089,34
06,90089,37
06,90090,34
06,90094,43
06,90095,33
06,90201,40
06,90210,28
06,90210,30
06,90210,33
06,90211,33
06,90212,33
06,90212,37
06,90220,44
06,90221,40
06,90221,44
06,90222,44
06,90230,37
06,90230,43
06,90232,37
06,90240,40
