COLORADO CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
08,80002,07
08,80003,07
08,80004,07
08,80005,07
08,80007,02
08,80007,07
08,80010,06
08,80011,06
08,80012,01
08,80012,06
08,80013,04
08,80013,06
08,80014,01
08,80014,06
08,80015,04
08,80015,06
08,80016,04
08,80016,06
08,80017,06
08,80018,04
08,80018,06
08,80019,06
08,80020,02
08,80020,07
08,80021,02
08,80021,07
08,80022,06
08,80022,07
08,80023,02
08,80023,06
08,80023,07
08,80024,07
08,80025,02
08,80026,02
08,80027,02
08,80030,07
08,80031,07
08,80033,07
08,80045,06
08,80101,04
08,80102,04
08,80102,06
08,80103,04
08,80104,04
08,80105,04
08,80106,04
08,80106,05
08,80107,04
08,80108,04
08,80109,04
08,80110,01
08,80110,06
08,80111,01
08,80111,06
08,80112,04
08,80112,06
08,80113,01
08,80113,06
08,80116,04
08,80117,04
08,80118,04
08,80120,01
08,80120,06
08,80121,01
08,80121,06
08,80122,06
08,80123,01
08,80123,06
08,80123,07
08,80124,04
08,80124,06
08,80125,04
08,80125,06
08,80126,04
08,80126,06
08,80127,01
08,80127,02
08,80127,07
08,80128,01
08,80128,02
08,80128,06
08,80129,06
08,80130,04
08,80130,06
08,80131,04
08,80132,05
08,80133,04
08,80133,05
08,80134,04
08,80135,02
08,80135,04
08,80136,04
08,80137,04
08,80137,06
08,80138,04
08,80138,06
08,80202,01
08,80203,01
08,80204,01
08,80205,01
08,80206,01
08,80207,01
08,80209,01
08,80210,01
08,80211,01
08,80212,01
08,80212,07
08,80214,01
08,80214,07
08,80215,07
08,80216,01
08,80216,07
08,80218,01
08,80219,01
08,80220,01
08,80220,06
08,80221,01
08,80221,07
08,80222,01
08,80223,01
08,80224,01
08,80224,06
08,80226,01
08,80226,07
08,80227,01
08,80227,07
08,80228,02
08,80228,07
08,80229,07
08,80230,01
08,80231,01
08,80231,06
08,80232,01
08,80232,07
08,80233,07
08,80234,02
08,80234,07
08,80235,01
08,80235,07
08,80236,01
08,80237,01
08,80238,01
08,80239,01
08,80239,07
08,80241,06
08,80241,07
08,80246,01
08,80247,01
08,80247,06
08,80249,01
08,80260,07
08,80264,01
08,80290,01
08,80293,01
08,80294,01
08,80301,02
08,80302,02
08,80303,02
08,80304,02
08,80305,02
08,80310,02
08,80401,02
08,80401,07
08,80403,02
08,80403,07
08,80419,07
08,80420,05
08,80421,02
08,80421,05
08,80422,02
08,80423,02
08,80423,03
08,80424,02
08,80425,02
08,80426,03
08,80427,02
08,80428,03
08,80432,05
08,80433,02
08,80434,03
08,80435,02
08,80436,02
08,80438,02
08,80439,02
08,80440,05
08,80442,02
08,80443,02
08,80444,02
08,80446,02
08,80447,02
08,80448,02
08,80448,05
08,80449,05
08,80451,02
08,80452,02
08,80453,02
08,80454,02
08,80455,02
08,80456,05
08,80457,02
08,80459,02
08,80461,03
08,80463,03
08,80465,02
08,80465,07
08,80466,02
08,80467,03
08,80468,02
08,80469,03
08,80470,02
08,80471,02
08,80473,03
08,80475,02
08,80476,02
08,80477,03
08,80478,02
08,80479,03
08,80480,03
08,80481,02
08,80482,02
08,80483,03
08,80487,03
08,80488,03
08,80497,02
08,80498,02
08,80501,04
08,80503,02
08,80503,04
08,80504,02
08,80504,04
08,80510,02
08,80511,02
08,80512,02
08,80513,02
08,80513,04
08,80514,04
08,80515,02
08,80516,02
08,80516,04
08,80517,02
08,80520,04
08,80521,02
08,80524,02
08,80524,04
08,80525,02
08,80526,02
08,80528,02
08,80530,04
08,80532,02
08,80534,02
08,80534,04
08,80535,02
08,80536,02
08,80537,02
08,80537,04
08,80538,02
08,80540,02
08,80542,04
08,80543,04
08,80544,02
08,80545,02
08,80546,04
08,80547,02
08,80549,02
08,80549,04
08,80550,02
08,80550,04
08,80601,06
08,80601,07
08,80602,06
08,80602,07
08,80603,04
08,80603,06
08,80603,07
