CONNECTICUT CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
09,06001,05
09,06002,01
09,06010,01
09,06013,01
09,06013,05
09,06016,01
09,06018,05
09,06019,05
09,06020,05
09,06021,01
09,06022,05
09,06023,01
09,06024,05
09,06026,01
09,06027,01
09,06029,02
09,06031,05
09,06032,05
09,06033,01
09,06033,02
09,06035,01
09,06037,01
09,06039,05
09,06040,01
09,06042,01
09,06043,02
09,06051,05
09,06052,01
09,06052,05
09,06053,05
09,06057,01
09,06058,01
09,06058,05
09,06059,01
09,06060,01
09,06061,01
09,06062,01
09,06062,05
09,06063,01
09,06065,01
09,06066,02
09,06067,01
09,06068,05
09,06069,05
09,06070,05
09,06071,02
09,06073,01
09,06074,01
09,06076,02
09,06078,02
09,06081,05
09,06082,02
09,06084,02
09,06085,05
09,06088,01
09,06089,05
09,06090,01
09,06091,01
09,06092,05
09,06093,02
09,06095,01
09,06096,01
09,06098,01
09,06103,01
09,06105,01
09,06106,01
09,06107,01
09,06107,05
09,06108,01
09,06109,01
09,06110,01
09,06111,01
09,06112,01
09,06114,01
09,06117,01
09,06118,01
09,06119,01
09,06120,01
09,06160,01
09,06226,02
09,06231,02
09,06232,02
09,06234,02
09,06235,02
09,06237,02
09,06238,02
09,06239,02
09,06241,02
09,06242,02
09,06243,02
09,06247,02
09,06248,02
09,06249,02
09,06250,02
09,06254,02
09,06255,02
09,06256,02
09,06259,02
09,06260,02
09,06262,02
09,06263,02
09,06264,02
09,06266,02
09,06268,02
09,06269,02
09,06277,02
09,06278,02
09,06279,02
09,06280,02
09,06281,02
09,06282,02
09,06320,02
09,06330,02
09,06331,02
09,06332,02
09,06333,02
09,06334,02
09,06335,02
09,06336,02
09,06339,02
09,06340,02
09,06350,02
09,06351,02
09,06353,02
09,06354,02
09,06355,02
09,06357,02
09,06359,02
09,06360,02
09,06365,02
09,06370,02
09,06371,02
09,06373,02
09,06374,02
09,06375,02
09,06376,02
09,06377,02
09,06378,02
09,06379,02
09,06380,02
09,06382,02
09,06384,02
09,06385,02
09,06387,02
09,06389,02
09,06401,03
09,06403,03
09,06405,03
09,06409,02
09,06410,03
09,06410,05
09,06412,02
09,06413,02
09,06414,02
09,06415,02
09,06416,01
09,06417,02
09,06418,03
09,06419,02
09,06420,02
09,06422,03
09,06423,02
09,06424,02
09,06426,02
09,06437,03
09,06438,02
09,06441,02
09,06442,02
09,06443,02
09,06444,01
09,06447,02
09,06450,05
09,06451,01
09,06451,05
09,06455,03
09,06456,02
09,06457,01
09,06457,03
09,06460,03
09,06461,03
09,06467,01
09,06468,04
09,06469,02
09,06470,05
09,06471,03
09,06472,03
09,06473,03
09,06475,02
09,06477,03
09,06478,04
09,06479,01
09,06480,01
09,06481,03
09,06482,05
09,06483,03
09,06484,03
09,06484,04
09,06488,05
09,06489,01
09,06492,03
09,06492,05
09,06498,02
09,06510,03
09,06511,03
09,06512,03
09,06513,03
09,06514,03
09,06515,03
09,06516,03
09,06517,03
09,06518,03
09,06519,03
09,06524,03
09,06525,03
09,06604,04
09,06605,04
09,06606,04
09,06607,03
09,06607,04
09,06608,04
09,06610,04
09,06611,03
09,06611,04
09,06612,04
09,06614,03
09,06615,03
09,06702,05
09,06704,05
09,06705,05
09,06706,03
09,06706,05
09,06708,03
09,06708,05
09,06710,05
09,06712,03
09,06716,05
09,06750,05
09,06751,05
09,06752,05
09,06754,05
09,06755,05
09,06756,05
09,06757,05
09,06758,05
09,06759,01
09,06759,05
09,06762,05
09,06763,05
09,06770,03
09,06770,05
09,06776,05
09,06777,05
09,06778,05
09,06779,05
09,06782,05
09,06783,05
09,06784,05
09,06785,05
09,06786,05
09,06787,05
09,06790,01
09,06790,05
09,06791,05
09,06793,05
09,06794,05
09,06795,05
09,06796,05
09,06798,05
09,06801,05
09,06804,05
09,06807,04
09,06810,05
09,06811,05
09,06812,05
09,06820,04
09,06824,04
09,06825,04
09,06830,04
09,06831,04
09,06840,04
09,06850,04
09,06851,04
09,06853,04
09,06854,04
09,06855,04
09,06856,04
09,06870,04
09,06877,04
09,06878,04
09,06880,04
09,06883,04
09,06890,04
09,06896,04
09,06897,04
09,06901,04
09,06902,04
09,06903,04
09,06905,04
09,06906,04
09,06907,04
