FLORIDA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
12,32003,03
12,32003,05
12,32008,03
12,32009,04
12,32011,04
12,32024,03
12,32025,03
12,32026,03
12,32033,06
12,32034,04
12,32038,03
12,32040,04
12,32043,03
12,32043,05
12,32044,03
12,32046,04
12,32052,03
12,32053,03
12,32054,03
12,32055,03
12,32058,03
12,32059,03
12,32060,03
12,32061,03
12,32062,03
12,32063,04
12,32064,03
12,32065,03
12,32066,03
12,32068,03
12,32071,03
12,32072,04
12,32073,03
12,32073,05
12,32079,03
12,32080,06
12,32081,06
12,32082,06
12,32083,03
12,32084,06
12,32086,06
12,32087,04
12,32091,03
12,32092,06
12,32094,03
12,32095,06
12,32096,03
12,32097,04
12,32102,05
12,32102,06
12,32110,06
12,32112,06
12,32113,05
12,32113,11
12,32114,06
12,32117,06
12,32118,06
12,32119,06
12,32124,06
12,32127,06
12,32128,06
12,32129,06
12,32130,06
12,32131,06
12,32132,06
12,32133,11
12,32134,05
12,32134,06
12,32134,11
12,32136,06
12,32137,06
12,32139,06
12,32140,05
12,32140,06
12,32141,06
12,32145,06
12,32147,06
12,32148,05
12,32148,06
12,32157,06
12,32159,10
12,32159,11
12,32162,11
12,32164,06
12,32168,06
12,32168,07
12,32169,06
12,32174,06
12,32176,06
12,32177,05
12,32177,06
12,32179,11
12,32180,06
12,32181,06
12,32187,06
12,32189,06
12,32190,06
12,32193,06
12,32195,11
12,32202,04
12,32202,05
12,32204,04
12,32204,05
12,32205,04
12,32205,05
12,32206,05
12,32207,04
12,32207,05
12,32208,05
12,32209,05
12,32210,04
12,32210,05
12,32211,04
12,32211,05
12,32212,04
12,32212,05
12,32216,04
12,32216,05
12,32217,04
12,32218,04
12,32218,05
12,32219,04
12,32219,05
12,32220,04
12,32220,05
12,32221,04
12,32221,05
12,32222,04
12,32222,05
12,32223,04
12,32224,04
12,32224,06
12,32225,04
12,32226,04
12,32227,04
12,32228,04
12,32233,04
12,32234,03
12,32234,04
12,32244,04
12,32244,05
12,32246,04
12,32250,04
12,32254,04
12,32254,05
12,32256,04
12,32257,04
12,32258,04
12,32259,06
12,32266,04
12,32277,04
12,32277,05
12,32301,02
12,32303,02
12,32304,02
12,32305,02
12,32308,02
12,32309,02
12,32310,02
12,32311,02
12,32312,02
12,32317,02
12,32320,02
12,32321,02
12,32322,02
12,32323,02
12,32324,02
12,32327,02
12,32328,02
12,32330,02
12,32331,02
12,32331,03
12,32332,02
12,32333,02
12,32334,02
12,32336,02
12,32340,02
12,32340,03
12,32343,02
12,32344,02
12,32346,02
12,32347,02
12,32348,02
12,32350,03
12,32351,02
12,32352,02
12,32355,02
12,32356,02
12,32358,02
12,32359,02
12,32359,03
12,32361,02
12,32399,02
12,32401,02
12,32403,02
12,32404,02
12,32405,02
12,32407,02
12,32408,02
12,32409,02
12,32410,02
12,32413,01
12,32413,02
12,32420,02
12,32421,02
12,32423,02
12,32424,02
12,32425,01
12,32425,02
12,32426,02
12,32427,02
12,32428,02
12,32430,02
12,32431,02
12,32432,02
12,32433,01
