GEORGIA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
13,30002,04
13,30004,06
13,30004,07
13,30004,11
13,30005,06
13,30005,07
13,30008,11
13,30008,13
13,30009,06
13,30011,10
13,30012,04
13,30012,10
13,30013,04
13,30014,04
13,30014,10
13,30016,04
13,30016,10
13,30017,04
13,30017,07
13,30019,07
13,30019,10
13,30021,04
13,30022,06
13,30024,06
13,30024,07
13,30025,10
13,30028,07
13,30028,09
13,30028,11
13,30030,04
13,30030,05
13,30032,04
13,30032,05
13,30033,04
13,30033,05
13,30033,06
13,30034,04
13,30034,05
13,30035,04
13,30038,04
13,30039,04
13,30040,07
13,30040,09
13,30040,11
13,30041,07
13,30041,09
13,30043,07
13,30043,10
13,30044,07
13,30045,07
13,30045,10
13,30046,07
13,30047,04
13,30047,07
13,30052,04
13,30052,07
13,30052,10
13,30054,04
13,30054,10
13,30055,10
13,30056,10
13,30058,04
13,30060,11
13,30060,13
13,30062,06
13,30062,11
13,30064,11
13,30064,13
13,30066,06
13,30066,11
13,30067,06
13,30067,11
13,30068,06
13,30068,11
13,30070,04
13,30071,07
13,30072,04
13,30075,06
13,30075,11
13,30076,06
13,30078,04
13,30078,07
13,30079,04
13,30080,11
13,30080,13
13,30082,11
13,30082,13
13,30083,04
13,30084,04
13,30084,06
13,30087,04
13,30088,04
13,30092,06
13,30092,07
13,30093,04
13,30093,07
13,30094,04
13,30096,07
13,30097,06
13,30097,07
13,30101,11
13,30101,14
13,30102,06
13,30102,11
13,30103,11
13,30103,14
13,30104,11
13,30104,14
13,30105,14
13,30106,13
13,30107,09
13,30107,11
13,30108,03
13,30110,03
13,30110,14
13,30113,14
13,30114,11
13,30115,11
13,30116,03
13,30117,03
13,30118,03
13,30120,11
13,30121,11
13,30122,13
13,30124,14
13,30125,14
13,30126,13
13,30127,11
13,30127,13
13,30127,14
13,30132,14
13,30134,13
13,30134,14
13,30135,13
13,30137,11
13,30139,11
13,30139,14
13,30141,13
13,30141,14
13,30143,09
13,30143,11
13,30143,14
13,30144,06
13,30144,11
13,30145,11
13,30145,14
13,30147,14
13,30148,09
13,30149,14
13,30152,11
13,30153,14
13,30157,11
13,30157,14
13,30161,11
13,30161,14
13,30164,10
13,30165,14
13,30168,13
13,30170,03
13,30171,11
13,30171,14
13,30173,14
13,30175,09
13,30175,14
13,30176,14
13,30177,09
13,30178,11
13,30178,14
13,30179,03
13,30179,14
13,30180,03
13,30180,13
13,30180,14
13,30182,03
13,30182,14
13,30183,11
13,30183,14
13,30184,11
13,30185,03
13,30185,13
13,30187,13
13,30188,06
13,30188,11
13,30189,11
13,30204,03
13,30204,08
13,30205,03
13,30206,03
13,30213,13
13,30214,03
13,30214,13
13,30215,03
13,30215,13
13,30216,10
13,30217,03
13,30218,03
13,30220,03
13,30222,03
13,30223,03
