HAWAII CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
15,96701,01
15,96703,02
15,96704,02
15,96705,02
15,96706,01
15,96707,01
15,96707,02
15,96708,02
15,96710,02
15,96712,02
15,96713,02
15,96714,02
15,96716,02
15,96717,02
15,96719,02
15,96720,02
15,96722,02
15,96725,02
15,96726,02
15,96727,02
15,96728,02
15,96729,02
15,96730,02
15,96731,02
15,96732,02
15,96734,02
15,96737,02
15,96738,02
15,96740,02
15,96741,02
15,96742,02
15,96743,02
15,96744,02
15,96746,02
15,96747,02
15,96748,02
15,96749,02
15,96750,02
15,96751,02
15,96752,02
15,96753,02
15,96754,02
15,96755,02
15,96756,02
15,96757,02
15,96759,02
15,96760,02
15,96761,02
15,96762,02
15,96763,02
15,96764,02
15,96765,02
15,96766,02
15,96768,02
15,96769,02
15,96770,02
15,96771,02
15,96772,02
15,96773,02
15,96774,02
15,96776,02
15,96777,02
15,96778,02
15,96779,02
15,96780,02
15,96781,02
15,96782,01
15,96783,02
15,96785,02
15,96786,02
15,96789,01
15,96789,02
15,96790,02
15,96791,02
15,96792,02
15,96793,02
15,96795,02
15,96796,02
15,96797,01
15,96797,02
15,96813,01
15,96814,01
15,96815,01
15,96816,01
15,96817,01
15,96818,01
15,96819,01
15,96821,01
15,96822,01
15,96825,01
15,96825,02
15,96826,01
15,96850,01
15,96853,01
15,96857,02
15,96859,01
15,96860,01
15,96863,02
