IDAHO CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
16,59847,01
16,83111,02
16,83120,02
16,83201,02
16,83202,02
16,83203,02
16,83204,02
16,83209,02
16,83210,02
16,83211,02
16,83212,02
16,83213,02
16,83214,02
16,83215,02
16,83217,02
16,83218,02
16,83220,02
16,83221,02
16,83223,02
16,83226,02
16,83227,02
16,83228,02
16,83232,02
16,83233,02
16,83234,02
16,83235,02
16,83236,02
16,83237,02
16,83238,02
16,83239,02
16,83241,02
16,83243,02
16,83244,02
16,83245,02
16,83246,02
16,83250,02
16,83251,02
16,83252,02
16,83253,02
16,83254,02
16,83255,02
16,83261,02
16,83262,02
16,83263,02
16,83271,02
16,83272,02
16,83274,02
16,83276,02
16,83277,02
16,83278,02
16,83281,02
16,83283,02
16,83285,02
16,83286,02
16,83287,02
16,83301,02
16,83302,01
16,83302,02
16,83311,02
16,83312,02
16,83313,02
16,83314,02
16,83316,01
16,83316,02
16,83318,02
16,83320,02
16,83321,02
16,83322,02
16,83323,02
16,83324,02
16,83325,02
16,83327,02
16,83328,02
16,83330,02
16,83332,02
16,83333,02
16,83334,02
16,83335,02
16,83336,02
16,83337,02
16,83338,02
16,83340,02
16,83341,02
16,83342,02
16,83344,02
16,83346,02
16,83347,02
16,83348,02
16,83349,02
16,83350,02
16,83352,02
16,83353,02
16,83354,02
16,83355,02
16,83401,02
16,83402,02
16,83404,02
16,83406,02
16,83420,02
16,83421,02
16,83422,02
16,83423,02
16,83424,02
16,83425,02
16,83427,02
16,83428,02
16,83429,02
16,83431,02
16,83433,02
16,83434,02
16,83435,02
16,83436,02
16,83440,02
16,83442,02
16,83443,02
16,83444,02
16,83445,02
16,83446,02
16,83448,02
16,83449,02
16,83450,02
16,83451,02
16,83452,02
16,83454,02
16,83455,02
16,83460,02
16,83462,02
16,83463,02
16,83464,02
16,83465,02
16,83466,02
16,83467,02
16,83468,02
16,83469,02
16,83501,01
16,83520,01
16,83522,01
16,83523,01
16,83524,01
16,83525,01
16,83526,01
16,83530,01
16,83533,01
16,83535,01
16,83536,01
16,83537,01
16,83539,01
16,83540,01
16,83541,01
16,83542,01
16,83543,01
16,83544,01
16,83545,01
16,83546,01
16,83547,01
16,83548,01
16,83549,01
16,83552,01
16,83553,01
16,83554,01
16,83555,01
16,83601,02
16,83602,01
16,83604,01
16,83605,01
16,83607,01
16,83610,01
16,83611,01
16,83612,01
16,83615,01
16,83616,01
16,83616,02
16,83617,01
16,83619,01
16,83622,01
16,83623,02
16,83624,01
16,83624,02
16,83626,01
16,83627,01
16,83627,02
16,83628,01
16,83629,01
16,83631,01
16,83632,01
16,83633,02
16,83634,01
16,83636,01
16,83637,01
16,83638,01
16,83639,01
16,83641,01
16,83642,01
16,83643,01
16,83644,01
16,83645,01
16,83646,01
16,83647,02
16,83648,02
16,83650,01
16,83651,01
16,83654,01
16,83655,01
16,83656,01
16,83657,01
16,83660,01
16,83661,01
16,83666,01
16,83669,01
16,83670,01
16,83671,01
16,83672,01
16,83676,01
16,83677,01
16,83686,01
16,83687,01
16,83702,01
16,83702,02
16,83703,02
16,83704,02
16,83705,01
16,83705,02
16,83706,02
16,83709,01
16,83709,02
16,83712,02
16,83713,01
16,83713,02
16,83714,01
16,83714,02
16,83716,01
16,83716,02
16,83801,01
16,83802,01
16,83803,01
16,83804,01
16,83805,01
16,83806,01
16,83808,01
16,83809,01
16,83810,01
16,83811,01
16,83812,01
16,83813,01
16,83814,01
16,83815,01
16,83821,01
16,83822,01
16,83823,01
16,83824,01
16,83825,01
16,83826,01
16,83827,01
16,83830,01
16,83832,01
16,83833,01
16,83834,01
16,83835,01
16,83836,01
16,83837,01
16,83839,01
16,83840,01
16,83841,01
16,83842,01
16,83843,01
16,83844,01
16,83845,01
16,83846,01
16,83847,01
16,83848,01
16,83849,01
16,83850,01
16,83851,01
16,83852,01
16,83854,01
16,83855,01
16,83856,01
16,83857,01
16,83858,01
16,83860,01
16,83861,01
16,83864,01
16,83866,01
16,83867,01
16,83868,01
16,83869,01
16,83870,01
16,83871,01
16,83872,01
16,83873,01
16,83874,01
16,83876,01
16,89832,01
16,97910,01
16,97913,01
16,99128,01
