ILLINOIS CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
17,60002,14
17,60004,08
17,60004,09
17,60004,10
17,60005,08
17,60005,09
17,60007,05
17,60007,08
17,60008,06
17,60008,08
17,60008,09
17,60010,06
17,60010,08
17,60010,14
17,60012,14
17,60013,06
17,60013,14
17,60014,06
17,60014,14
17,60015,10
17,60016,08
17,60016,09
17,60016,10
17,60018,05
17,60018,08
17,60018,09
17,60020,10
17,60020,14
17,60021,06
17,60022,10
17,60025,09
17,60025,10
17,60026,09
17,60026,10
17,60029,09
17,60030,10
17,60030,14
17,60031,10
17,60031,14
17,60033,14
17,60033,16
17,60034,14
17,60035,10
17,60040,10
17,60041,10
17,60042,14
17,60043,09
17,60044,10
17,60045,10
17,60046,10
17,60046,14
17,60047,06
17,60047,10
17,60047,14
17,60048,10
17,60048,14
17,60050,10
17,60050,14
17,60051,10
17,60051,14
17,60053,09
17,60053,10
17,60056,08
17,60056,09
17,60056,10
17,60060,06
17,60060,10
17,60060,14
17,60061,10
17,60062,09
17,60062,10
17,60064,10
17,60067,06
17,60067,08
17,60068,09
17,60068,10
17,60069,10
17,60070,09
17,60070,10
17,60071,14
17,60072,14
17,60073,10
17,60073,14
17,60074,06
17,60074,08
17,60074,09
17,60076,09
17,60077,09
17,60081,10
17,60081,14
17,60083,10
17,60083,14
17,60084,06
17,60084,14
17,60085,10
17,60085,14
17,60087,10
17,60087,14
17,60088,10
17,60089,08
17,60089,09
17,60089,10
17,60090,08
17,60090,09
17,60090,10
17,60091,09
17,60093,09
17,60093,10
17,60096,10
17,60097,14
17,60098,14
17,60099,10
17,60099,14
17,60101,05
17,60101,08
17,60102,06
17,60102,08
17,60102,14
17,60103,06
17,60103,08
17,60104,04
17,60104,07
17,60106,05
17,60106,08
17,60107,06
17,60107,08
17,60108,08
17,60109,14
17,60110,06
17,60110,08
17,60111,16
17,60112,14
17,60113,16
17,60115,14
17,60115,16
17,60118,06
17,60118,08
17,60119,14
17,60120,06
17,60120,08
17,60123,06
17,60123,08
17,60124,06
17,60124,14
17,60126,04
17,60126,05
17,60126,08
17,60129,16
17,60130,07
17,60131,05
17,60133,06
17,60133,08
17,60134,14
17,60135,14
17,60135,16
17,60136,06
17,60136,14
17,60137,06
17,60137,08
17,60139,06
17,60139,08
17,60140,14
17,60140,16
17,60141,07
17,60142,06
17,60142,14
17,60143,08
17,60144,14
17,60145,16
17,60146,16
17,60148,06
17,60148,08
17,60150,16
17,60151,14
17,60152,14
17,60152,16
17,60153,07
17,60154,04
17,60154,05
17,60154,07
17,60155,07
17,60156,06
17,60156,14
17,60157,08
17,60160,04
17,60160,05
17,60160,07
17,60162,04
17,60162,05
17,60162,07
17,60163,04
17,60163,07
17,60164,04
17,60164,05
17,60165,04
17,60169,08
17,60171,05
17,60172,08
17,60173,06
17,60173,08
17,60174,06
17,60174,14
17,60175,06
17,60175,14
17,60176,05
17,60177,06
17,60177,08
17,60178,14
17,60178,16
17,60180,14
17,60181,05
17,60181,06
17,60181,08
17,60184,06
17,60185,06
17,60185,14
17,60187,06
17,60188,06
17,60188,08
17,60189,06
17,60189,14
17,60190,06
17,60190,14
17,60191,05
17,60191,08
17,60192,06
17,60192,08
17,60193,08
17,60194,08
17,60195,06
17,60195,08
17,60201,09
17,60202,09
17,60203,09
17,60301,07
17,60302,07
17,60304,04
17,60304,07
17,60305,04
17,60305,07
17,60401,02
17,60402,03
17,60402,04
17,60402,07
17,60403,03
17,60403,11
17,60404,11
17,60404,14
17,60406,01
17,60406,02
17,60407,16
17,60408,16
17,60409,02
17,60410,11
17,60410,14
17,60410,16
17,60411,02
17,60415,03
17,60416,16
17,60417,02
17,60419,02
17,60420,16
17,60421,01
17,60421,11
17,60421,16
17,60422,02
17,60423,01
17,60423,02
17,60424,02
17,60424,16
17,60425,02
17,60426,01
17,60426,02
17,60428,01
17,60428,02
17,60429,02
17,60430,02
17,60431,11
17,60431,14
17,60432,03
17,60432,11
17,60433,01
17,60433,11
17,60435,03
17,60435,11
17,60436,11
17,60437,16
17,60438,02
17,60439,03
17,60439,11
17,60440,11
17,60441,03
17,60441,11
17,60442,01
17,60442,02
17,60442,11
17,60442,16
17,60443,02
17,60444,16
17,60445,01
17,60446,03
17,60446,11
17,60447,11
17,60447,14
17,60447,16
17,60448,01
17,60448,03
17,60448,11
17,60449,01
17,60449,02
17,60450,14
17,60450,16
17,60451,01
17,60451,11
17,60452,01
17,60452,02
17,60453,01
17,60453,03
17,60455,03
17,60456,03
17,60457,03
17,60458,03
17,60459,03
17,60460,16
17,60461,02
17,60462,01
17,60462,03
17,60463,01
17,60463,03
17,60464,01
17,60464,03
17,60465,03
17,60466,02
17,60467,01
17,60467,03
17,60468,01
17,60468,02
17,60469,01
17,60470,16
17,60471,02
17,60472,01
17,60473,02
17,60474,16
17,60475,02
17,60476,02
17,60477,01
17,60477,02
17,60477,03
17,60478,01
17,60478,02
17,60479,16
17,60480,03
17,60480,11
17,60481,02
17,60481,16
17,60482,01
17,60482,03
17,60484,02
17,60487,01
17,60487,03
17,60490,11
17,60490,14
17,60491,03
17,60501,03
17,60502,11
17,60502,14
17,60503,11
17,60503,14
17,60504,11
17,60505,11
17,60506,11
17,60506,14
17,60510,14
17,60511,14
17,60512,11
17,60512,14
17,60513,03
17,60513,04
17,60513,07
17,60514,06
17,60515,06
17,60515,11
17,60516,06
17,60516,11
17,60517,03
17,60517,11
17,60518,16
17,60519,11
17,60520,14
17,60520,16
17,60521,05
17,60521,06
17,60523,05
17,60523,06
17,60523,08
17,60525,03
17,60525,05
17,60525,11
17,60526,03
17,60526,04
17,60526,05
17,60526,07
17,60527,03
17,60527,06
17,60527,11
17,60530,16
17,60531,16
17,60532,06
17,60532,11
17,60534,03
17,60534,04
17,60536,14
17,60537,14
17,60537,16
17,60538,11
17,60538,14
17,60539,14
17,60540,06
17,60540,11
17,60541,14
17,60541,16
17,60542,11
17,60542,14
17,60543,11
17,60543,14
17,60544,11
17,60544,14
17,60545,14
17,60546,03
17,60546,04
17,60546,07
17,60548,14
17,60548,16
17,60549,16
17,60550,16
17,60551,16
17,60552,14
17,60552,16
17,60553,16
17,60554,14
17,60555,06
17,60555,14
17,60556,14
17,60556,16
17,60557,16
17,60558,03
17,60558,05
17,60559,05
17,60559,06
17,60560,11
17,60560,14
17,60561,03
17,60561,06
17,60561,11
17,60563,06
17,60563,11
17,60563,14
17,60564,11
17,60564,14
17,60565,11
17,60565,14
17,60585,14
17,60586,11
17,60601,07
17,60602,07
17,60603,07
17,60604,07
17,60605,07
17,60606,07
17,60607,07
17,60608,03
17,60608,04
17,60608,07
17,60609,01
17,60609,03
17,60609,04
17,60609,07
17,60610,05
17,60610,07
17,60611,07
17,60612,05
17,60612,07
17,60613,05
17,60613,09
17,60614,05
17,60614,07
17,60614,09
17,60615,01
17,60615,02
17,60615,07
17,60616,01
17,60616,03
17,60616,04
17,60616,07
17,60617,01
17,60617,02
17,60618,04
17,60618,05
17,60619,01
17,60620,01
17,60620,03
17,60621,01
17,60621,07
17,60622,04
17,60622,05
17,60622,07
17,60623,04
17,60623,07
17,60624,07
17,60625,04
17,60625,05
17,60626,09
17,60628,01
17,60628,02
17,60629,01
17,60629,03
17,60629,04
17,60629,07
17,60630,04
17,60630,05
17,60631,05
17,60631,09
17,60632,03
17,60632,04
17,60632,07
17,60633,02
17,60634,04
17,60634,05
17,60636,01
17,60636,07
17,60637,01
17,60637,02
17,60637,07
17,60638,03
17,60639,04
17,60639,07
17,60640,05
17,60640,09
17,60641,04
17,60641,05
17,60642,05
17,60642,07
17,60643,01
17,60643,03
17,60644,07
17,60645,09
17,60646,05
17,60646,09
17,60647,04
17,60647,05
17,60649,01
17,60649,02
17,60651,04
17,60651,07
17,60652,01
17,60652,03
17,60653,01
17,60653,07
17,60654,07
17,60655,01
17,60655,03
17,60656,05
17,60656,09
17,60657,05
17,60657,09
17,60659,05
17,60659,09
17,60660,05
17,60660,09
17,60661,07
17,60706,05
17,60707,04
17,60707,05
17,60707,07
17,60712,09
17,60714,05
17,60714,09
17,60714,10
17,60803,01
17,60803,03
17,60804,03
17,60804,04
17,60804,07
17,60805,01
17,60827,01
17,60827,02
17,60901,02
17,60910,02
17,60911,16
17,60912,16
17,60913,02
17,60914,02
17,60915,02
17,60917,02
17,60917,16
17,60918,16
17,60919,02
17,60919,16
17,60920,16
17,60921,16
17,60922,02
17,60922,16
17,60924,16
17,60926,16
17,60927,16
17,60928,16
17,60929,16
17,60930,16
17,60931,16
17,60932,15
17,60933,15
17,60934,16
17,60935,02
17,60936,15
17,60936,16
17,60936,18
17,60938,16
17,60940,02
17,60941,02
17,60941,16
17,60942,15
17,60942,16
17,60945,16
17,60946,16
17,60948,15
17,60948,16
17,60949,15
17,60950,02
17,60950,16
17,60951,16
17,60952,15
17,60952,16
17,60953,16
17,60954,02
17,60955,16
17,60957,15
17,60957,16
17,60958,02
17,60959,16
17,60960,15
17,60960,16
17,60961,02
17,60961,16
17,60962,16
17,60963,15
17,60964,02
17,60964,16
17,60966,16
17,60968,16
17,60969,02
17,60970,16
17,60973,16
17,60974,16
17,61001,17
17,61006,16
17,61007,16
17,61007,17
17,61008,16
17,61010,16
17,61011,16
17,61012,16
17,61013,17
17,61014,17
17,61015,16
17,61016,16
17,61018,17
17,61019,16
17,61019,17
17,61020,16
17,61020,17
17,61021,16
17,61024,16
17,61025,17
17,61027,17
17,61028,17
17,61030,16
17,61031,16
17,61032,17
17,61036,17
17,61037,17
17,61038,14
17,61038,16
17,61039,16
17,61039,17
17,61041,17
17,61042,16
17,61043,16
17,61044,17
17,61046,17
17,61047,16
17,61047,17
17,61048,17
17,61049,16
17,61050,17
17,61051,16
17,61051,17
17,61052,16
17,61053,17
17,61054,16
17,61057,16
17,61059,17
17,61060,17
17,61061,16
17,61062,17
17,61063,16
17,61063,17
17,61064,16
