INDIANA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
18,45053,06
18,46001,05
18,46001,06
18,46011,05
18,46012,05
18,46012,06
18,46013,05
18,46016,05
18,46017,05
18,46017,06
18,46030,05
18,46031,05
18,46032,05
18,46033,05
18,46034,05
18,46035,04
18,46036,05
18,46037,05
18,46038,05
18,46039,04
18,46040,05
18,46040,06
18,46041,04
18,46044,05
18,46045,05
18,46047,05
18,46048,05
18,46049,04
18,46049,05
18,46050,04
18,46050,05
18,46051,05
18,46052,04
18,46052,05
18,46055,05
18,46055,06
18,46056,05
18,46056,06
18,46057,04
18,46058,04
18,46060,05
18,46062,05
18,46063,05
18,46064,05
18,46064,06
18,46065,04
18,46068,05
18,46069,04
18,46069,05
18,46070,05
18,46071,04
18,46072,05
18,46074,05
18,46075,04
18,46075,05
18,46076,05
18,46077,04
18,46077,05
18,46103,04
18,46104,06
18,46105,04
18,46106,09
18,46107,07
18,46110,06
18,46111,09
18,46112,04
18,46112,05
18,46113,04
18,46113,07
18,46113,09
18,46115,06
18,46117,06
18,46118,04
18,46120,04
18,46120,08
18,46121,04
18,46122,04
18,46123,04
18,46124,06
18,46124,09
18,46125,04
18,46126,06
18,46127,06
18,46128,04
18,46130,06
18,46131,06
18,46131,09
18,46133,06
18,46135,04
18,46135,08
18,46140,06
18,46142,09
18,46143,09
18,46144,06
18,46146,06
18,46147,04
18,46148,06
18,46149,04
18,46150,06
18,46151,04
18,46151,09
18,46155,06
18,46156,06
18,46157,04
18,46158,04
18,46158,09
18,46160,09
18,46161,06
18,46162,06
18,46162,09
18,46163,06
18,46164,09
18,46165,04
18,46166,04
18,46166,08
18,46166,09
18,46167,04
18,46168,04
18,46171,04
18,46172,04
18,46173,06
18,46175,04
18,46175,08
18,46176,06
18,46180,04
18,46181,09
18,46182,06
18,46183,07
18,46184,09
18,46186,06
18,46201,07
18,46202,07
18,46203,07
18,46204,07
18,46205,05
18,46205,07
18,46208,05
18,46208,07
18,46214,07
18,46216,05
18,46216,07
18,46217,07
18,46218,07
18,46219,07
18,46220,05
18,46220,07
18,46221,07
18,46222,07
18,46224,07
18,46225,07
18,46226,05
18,46226,07
18,46227,07
18,46228,05
18,46228,07
18,46229,06
18,46229,07
18,46231,04
18,46231,07
18,46234,04
18,46234,05
18,46234,07
18,46235,05
18,46235,07
18,46236,05
18,46236,07
18,46237,07
18,46239,06
18,46239,07
18,46240,05
18,46241,07
18,46250,05
18,46254,05
18,46254,07
18,46256,05
18,46256,07
18,46259,06
18,46259,07
18,46259,09
18,46260,05
18,46260,07
18,46268,05
18,46268,07
18,46278,04
18,46278,05
18,46278,07
18,46280,05
18,46290,05
18,46301,01
18,46303,01
18,46304,01
18,46307,01
18,46310,04
18,46311,01
18,46312,01
18,46319,01
18,46320,01
18,46321,01
18,46322,01
18,46323,01
18,46324,01
18,46327,01
18,46340,01
18,46340,02
18,46341,01
18,46342,01
18,46345,02
