IOWA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
19,50001,03
19,50002,03
19,50003,03
19,50005,01
19,50006,04
19,50007,03
19,50008,02
19,50009,03
19,50010,04
19,50011,04
19,50012,04
19,50014,04
19,50020,03
19,50020,04
19,50021,03
19,50022,03
19,50022,04
19,50023,03
19,50025,04
19,50026,03
19,50026,04
19,50027,01
19,50027,02
19,50028,02
19,50029,03
19,50029,04
19,50032,03
19,50033,03
19,50034,04
19,50035,03
19,50036,04
19,50038,03
19,50039,03
19,50041,04
19,50042,04
19,50044,02
19,50046,03
19,50046,04
19,50047,03
19,50048,03
19,50049,02
19,50050,04
19,50051,01
19,50052,02
19,50054,02
19,50055,02
19,50055,04
19,50056,04
19,50057,02
19,50058,03
19,50058,04
19,50060,02
19,50061,03
19,50062,02
19,50063,03
19,50064,04
19,50065,02
19,50066,03
19,50067,02
19,50068,02
19,50069,03
19,50070,03
19,50071,04
19,50072,03
19,50073,03
19,50074,03
19,50075,04
19,50076,04
19,50078,01
19,50101,04
19,50102,04
19,50103,02
19,50104,02
19,50105,04
19,50106,01
19,50106,02
19,50107,04
19,50108,02
19,50109,03
19,50111,03
19,50112,01
19,50112,02
19,50115,03
19,50116,02
19,50117,04
19,50118,03
19,50119,02
19,50120,01
19,50122,04
19,50123,02
19,50124,03
19,50124,04
19,50125,03
19,50126,04
19,50127,02
19,50128,03
19,50128,04
19,50129,04
19,50130,04
19,50131,03
19,50132,04
19,50133,02
19,50133,03
19,50134,04
19,50135,02
19,50136,01
19,50136,02
19,50138,02
19,50139,02
19,50139,03
19,50140,02
19,50140,03
19,50141,01
19,50141,02
19,50142,01
19,50143,02
19,50144,02
19,50146,03
19,50147,02
19,50148,01
19,50149,03
19,50150,02
19,50151,02
19,50151,03
19,50153,01
19,50153,02
19,50154,04
19,50155,03
19,50156,03
19,50156,04
19,50157,01
19,50158,01
19,50160,03
19,50161,03
19,50161,04
19,50162,01
19,50163,02
19,50164,03
19,50165,02
19,50166,03
19,50167,03
19,50168,02
19,50169,02
19,50169,03
19,50170,02
19,50171,01
19,50173,01
19,50174,02
19,50174,03
19,50201,04
19,50206,01
19,50206,04
19,50207,01
19,50207,02
19,50208,02
19,50210,02
19,50210,03
19,50211,03
19,50212,04
19,50213,02
19,50214,02
19,50216,03
19,50217,04
19,50218,03
19,50219,02
19,50220,03
19,50220,04
19,50222,03
19,50223,04
19,50225,02
19,50225,03
19,50226,03
19,50226,04
19,50227,04
19,50228,02
19,50229,03
19,50230,04
19,50231,04
19,50232,02
19,50233,03
19,50234,01
19,50234,02
19,50235,03
19,50235,04
19,50236,04
19,50237,02
19,50237,03
19,50238,02
19,50239,01
19,50240,03
19,50242,01
19,50243,03
19,50243,04
19,50244,03
19,50244,04
19,50246,04
19,50247,01
19,50247,04
19,50248,04
19,50249,04
19,50250,03
19,50251,02
19,50252,02
19,50254,03
19,50255,02
19,50256,02
19,50257,02
19,50257,03
19,50258,01
19,50258,04
19,50261,03
19,50262,02
19,50263,03
19,50264,02
19,50265,03
19,50266,03
19,50268,02
19,50271,04
19,50272,02
19,50273,03
19,50274,03
19,50275,02
19,50276,03
19,50276,04
19,50277,03
19,50278,04
19,50309,03
19,50310,03
19,50311,03
19,50312,03
19,50313,03
19,50314,03
19,50315,03
19,50316,03
19,50317,03
19,50319,03
19,50320,03
19,50321,03
19,50322,03
19,50323,03
19,50324,03
19,50325,03
19,50327,03
19,50401,04
19,50420,04
19,50421,04
19,50423,04
19,50424,04
19,50426,01
19,50428,04
19,50430,04
19,50431,04
19,50432,04
19,50433,04
19,50434,01
19,50434,04
19,50435,04
19,50436,04
19,50438,04
19,50439,04
19,50440,01
19,50441,04
19,50444,01
19,50444,04
19,50446,01
19,50446,04
19,50447,04
19,50448,01
19,50449,04
19,50450,01
19,50450,04
19,50451,04
19,50452,04
19,50453,04
19,50454,01
19,50455,01
19,50456,01
19,50457,04
19,50458,01
19,50458,04
19,50459,01
19,50460,01
19,50460,04
19,50461,01
19,50461,04
19,50464,01
19,50464,04
19,50465,04
19,50466,01
19,50467,04
19,50468,04
19,50469,04
19,50470,04
19,50471,01
19,50471,04
19,50472,01
19,50473,04
19,50475,04
19,50476,01
19,50477,04
19,50478,04
19,50479,04
19,50480,04
19,50482,04
19,50483,04
19,50484,04
19,50501,04
19,50510,04
19,50511,04
19,50514,04
19,50515,04
19,50516,04
19,50517,04
19,50518,04
19,50519,04
19,50520,04
19,50521,04
19,50522,04
19,50523,04
19,50524,04
19,50525,04
19,50527,04
19,50528,04
19,50529,04
19,50530,04
19,50531,04
19,50532,04
19,50533,04
19,50535,04
19,50536,04
19,50538,04
19,50539,04
19,50540,04
19,50541,04
19,50542,04
19,50543,04
19,50544,04
19,50545,04
19,50546,04
19,50548,04
19,50551,04
19,50554,04
19,50556,04
19,50557,04
19,50558,04
19,50559,04
19,50560,04
19,50561,04
19,50562,04
19,50563,04
19,50565,04
19,50566,04
19,50567,04
19,50568,04
19,50569,04
19,50570,04
19,50571,04
19,50573,04
19,50574,04
19,50575,04
19,50576,04
19,50577,04
19,50578,04
19,50579,04
19,50581,04
19,50582,04
19,50583,04
19,50585,04
19,50586,04
19,50588,04
