KANSAS CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
20,66002,02
20,66006,02
20,66007,02
20,66008,02
20,66010,02
20,66012,02
20,66012,03
20,66013,03
20,66014,02
20,66015,02
20,66016,02
20,66017,02
20,66018,03
20,66019,03
20,66020,02
20,66021,02
20,66021,03
20,66023,02
20,66024,02
20,66025,02
20,66025,03
20,66026,02
20,66027,02
20,66030,03
20,66031,03
20,66032,02
20,66033,02
20,66035,02
20,66039,02
20,66040,02
20,66041,02
20,66042,02
20,66043,02
20,66044,02
20,66045,02
20,66046,02
20,66047,02
20,66048,02
20,66049,02
20,66050,02
20,66052,02
20,66053,02
20,66053,03
20,66054,02
20,66056,02
20,66058,02
20,66060,02
20,66061,03
20,66062,03
20,66064,02
20,66066,02
20,66067,02
20,66070,02
20,66071,02
20,66071,03
20,66072,02
20,66073,02
20,66075,02
20,66076,02
20,66078,02
20,66079,02
20,66080,02
20,66083,02
20,66083,03
20,66085,03
20,66086,02
20,66087,02
20,66088,02
20,66090,02
20,66091,02
20,66092,02
20,66093,02
20,66094,02
20,66095,02
20,66097,02
20,66101,03
20,66102,03
20,66103,03
20,66104,03
20,66105,03
20,66106,03
20,66109,02
20,66109,03
20,66111,03
20,66112,03
20,66115,03
20,66118,03
20,66202,03
20,66203,03
20,66204,03
20,66205,03
20,66206,03
20,66207,03
20,66208,03
20,66209,03
20,66210,03
20,66211,03
20,66212,03
20,66213,03
20,66214,03
20,66215,03
20,66216,03
20,66217,03
20,66218,03
20,66219,03
20,66220,03
20,66221,03
20,66223,03
20,66224,03
20,66226,03
20,66227,03
20,66401,01
20,66402,02
20,66403,01
20,66403,02
20,66404,02
20,66406,01
20,66406,02
20,66407,01
20,66408,02
20,66409,02
20,66411,01
20,66411,02
20,66412,01
20,66412,02
20,66413,01
20,66413,02
20,66414,02
20,66415,02
20,66416,02
20,66417,02
20,66418,02
20,66419,02
20,66422,01
20,66422,02
20,66423,01
20,66424,02
20,66425,02
20,66427,01
20,66427,02
20,66428,02
20,66429,02
20,66431,01
20,66431,02
20,66432,01
20,66432,02
20,66434,02
20,66436,02
20,66438,01
20,66438,02
20,66439,02
20,66440,02
20,66441,01
20,66442,01
20,66449,01
20,66451,02
20,66501,01
20,66502,01
20,66503,01
20,66506,01
20,66507,01
20,66508,01
20,66508,02
20,66509,02
20,66510,02
20,66512,02
20,66514,01
20,66515,02
20,66516,02
20,66517,01
20,66518,01
20,66520,01
20,66521,01
20,66521,02
20,66522,02
20,66523,01
20,66523,02
20,66524,02
20,66526,01
20,66527,02
20,66528,02
20,66531,01
20,66532,02
20,66533,02
20,66534,02
20,66535,01
20,66536,01
20,66536,02
20,66537,02
20,66538,02
20,66539,02
20,66540,02
20,66541,01
20,66541,02
20,66542,02
20,66543,02
20,66544,02
20,66546,02
20,66547,01
20,66548,01
20,66548,02
20,66549,01
20,66550,02
20,66552,02
20,66554,01
20,66603,02
20,66604,02
20,66605,02
20,66606,02
20,66607,02
20,66608,02
20,66609,02
