KENTUCKY CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
21,38079,01
21,40003,04
21,40003,06
21,40004,02
21,40006,04
21,40007,04
21,40008,02
21,40009,01
21,40010,04
21,40011,04
21,40012,02
21,40013,02
21,40014,04
21,40019,04
21,40020,02
21,40022,04
21,40023,04
21,40025,03
21,40026,04
21,40031,04
21,40033,01
21,40036,04
21,40037,01
21,40037,02
21,40040,02
21,40041,03
21,40045,04
21,40046,02
21,40046,04
21,40046,06
21,40047,02
21,40048,02
21,40049,01
21,40050,04
21,40051,02
21,40052,01
21,40052,02
21,40055,04
21,40056,04
21,40057,04
21,40058,04
21,40059,03
21,40059,04
21,40060,01
21,40062,01
21,40063,01
21,40065,04
21,40067,04
21,40068,04
21,40069,01
21,40069,02
21,40070,04
21,40071,02
21,40071,04
21,40075,04
21,40076,04
21,40076,06
21,40077,04
21,40078,02
21,40104,02
21,40107,02
21,40108,02
21,40109,02
21,40110,02
21,40111,02
21,40115,02
21,40117,02
21,40118,03
21,40119,01
21,40119,02
21,40121,02
21,40140,02
21,40142,02
21,40143,02
21,40144,02
21,40145,02
21,40146,02
21,40150,02
21,40152,02
21,40155,02
21,40157,02
21,40160,02
21,40161,02
21,40162,02
21,40165,02
21,40170,02
21,40171,02
21,40175,02
21,40176,02
21,40177,02
21,40177,03
21,40178,02
21,40202,03
21,40203,03
21,40204,03
21,40205,03
21,40206,03
21,40207,03
21,40208,03
21,40209,03
21,40210,03
21,40211,03
21,40212,03
21,40213,03
21,40214,03
21,40215,03
21,40216,03
21,40217,03
21,40218,03
21,40219,03
21,40220,03
21,40222,03
21,40223,03
21,40228,03
21,40229,02
21,40229,03
21,40231,03
21,40241,03
21,40241,04
21,40242,03
21,40243,03
21,40245,03
21,40245,04
21,40258,03
21,40272,02
21,40272,03
21,40280,03
21,40291,03
21,40291,04
21,40299,02
21,40299,03
21,40299,04
21,40310,02
21,40311,06
21,40312,06
21,40313,05
21,40316,06
21,40322,06
21,40324,06
21,40328,01
21,40328,02
21,40330,02
21,40334,06
21,40336,05
21,40336,06
21,40337,06
21,40339,02
21,40342,06
21,40346,06
21,40347,06
21,40348,06
21,40350,06
21,40351,05
21,40353,06
21,40356,02
21,40356,06
21,40358,06
21,40359,04
21,40360,06
21,40361,06
21,40363,04
21,40370,04
21,40370,06
