LOUISIANA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
22,70001,01
22,70001,02
22,70002,01
22,70003,01
22,70003,02
22,70005,01
22,70006,01
22,70030,01
22,70030,02
22,70030,06
22,70031,02
22,70032,01
22,70036,01
22,70037,01
22,70038,01
22,70039,02
22,70040,01
22,70041,01
22,70043,01
22,70047,02
22,70047,06
22,70049,02
22,70050,01
22,70051,02
22,70052,02
22,70053,02
22,70056,02
22,70057,02
22,70058,02
22,70062,01
22,70062,02
22,70065,01
22,70065,02
22,70067,01
22,70068,02
22,70068,06
22,70070,02
22,70071,02
22,70072,01
22,70072,02
22,70075,01
22,70076,02
22,70079,06
22,70080,02
22,70082,01
22,70083,01
22,70084,02
22,70085,01
22,70086,02
22,70087,02
22,70087,06
22,70090,02
22,70091,01
22,70092,01
22,70094,02
22,70112,02
22,70113,02
22,70114,02
22,70115,01
22,70115,02
22,70116,02
22,70117,02
22,70118,01
22,70118,02
22,70119,01
22,70119,02
22,70121,01
22,70121,02
22,70122,01
22,70122,02
22,70123,01
22,70123,02
22,70124,01
22,70124,02
22,70125,01
22,70125,02
22,70126,01
22,70126,02
22,70127,01
22,70127,02
22,70128,01
22,70128,02
22,70129,01
22,70129,02
22,70130,02
22,70131,02
22,70139,02
22,70163,02
22,70301,02
22,70301,06
22,70339,03
22,70339,06
22,70340,03
22,70341,02
22,70341,06
22,70342,03
22,70343,01
22,70344,01
22,70345,01
22,70346,02
22,70352,06
22,70353,01
22,70354,01
22,70355,01
22,70356,06
22,70357,01
22,70358,01
22,70359,06
22,70360,01
22,70360,06
22,70363,01
22,70364,01
22,70364,06
22,70372,02
22,70372,06
22,70373,01
22,70374,01
22,70375,06
22,70377,01
22,70380,03
22,70380,06
22,70390,02
22,70390,06
22,70391,02
22,70392,03
22,70393,02
22,70394,01
22,70394,06
22,70395,06
22,70397,01
22,70401,01
22,70401,05
22,70402,01
22,70403,01
22,70403,06
22,70420,01
22,70422,05
22,70422,06
22,70426,05
22,70427,01
22,70427,05
22,70431,01
22,70431,05
22,70433,01
22,70435,01
22,70435,05
22,70436,05
22,70437,01
22,70437,05
22,70438,05
22,70441,05
22,70441,06
22,70442,05
22,70443,01
22,70443,05
22,70443,06
22,70444,05
22,70444,06
22,70445,01
22,70446,05
22,70447,01
22,70448,01
22,70449,06
22,70450,05
22,70451,01
22,70451,05
22,70452,01
22,70453,06
22,70454,01
22,70455,01
22,70455,05
22,70456,05
22,70458,01
22,70460,01
22,70461,01
22,70462,01
22,70462,06
22,70463,01
22,70464,01
22,70465,05
22,70466,01
22,70466,05
22,70466,06
22,70471,01
22,70501,03
22,70503,03
22,70506,03
22,70507,03
22,70508,03
22,70510,03
22,70512,03
22,70512,04
22,70512,05
22,70513,03
22,70514,03
22,70515,03
22,70515,04
22,70516,03
22,70517,03
22,70518,03
22,70519,03
22,70520,03
22,70520,04
22,70523,03
22,70524,04
22,70525,03
22,70525,04
22,70526,03
22,70528,03
22,70529,03
22,70531,03
22,70532,03
22,70532,04
22,70533,03
22,70534,03
22,70535,03
22,70535,04
22,70537,03
22,70538,03
22,70541,04
22,70542,03
22,70543,03
22,70544,03
22,70546,03
22,70548,03
22,70549,03
22,70550,04
22,70552,03
22,70554,04
22,70555,03
22,70556,03
22,70558,03
22,70559,03
22,70560,03
22,70563,03
22,70570,04
22,70570,05
22,70575,03
22,70576,04
22,70577,04
22,70577,05
22,70578,03
22,70580,04
22,70581,03
22,70582,03
22,70583,03
22,70584,03
22,70584,04
22,70585,04
22,70586,04
22,70589,04
22,70589,05
22,70591,03
22,70592,03
22,70601,03
22,70605,03
22,70607,03
22,70611,03
22,70615,03
22,70630,03
22,70631,03
22,70632,03
22,70633,03
22,70633,04
22,70634,04
22,70637,04
22,70638,04
22,70639,04
22,70640,03
22,70643,03
22,70644,04
22,70645,03
22,70646,03
22,70647,03
22,70648,03
22,70648,04
22,70650,03
22,70651,04
22,70652,04
22,70653,04
22,70654,04
22,70655,04
22,70656,04
22,70656,05
22,70657,03
22,70657,04
22,70658,04
22,70659,04
22,70660,04
22,70661,03
22,70661,04
22,70662,04
22,70663,03
22,70665,03
22,70668,03
22,70669,03
22,70706,06
22,70710,02
22,70710,06
22,70711,06
22,70712,05
22,70714,02
22,70714,06
22,70715,06
22,70719,02
22,70719,06
22,70721,02
22,70722,05
22,70722,06
22,70723,02
22,70725,02
22,70725,06
22,70726,06
22,70729,06
22,70730,05
22,70730,06
22,70732,06
22,70733,06
22,70734,02
22,70734,06
22,70736,06
22,70737,02
22,70737,06
22,70739,06
22,70740,06
22,70743,02
22,70744,06
22,70747,06
22,70748,05
22,70748,06
22,70749,06
22,70750,05
22,70750,06
22,70752,06
22,70753,06
22,70754,06
22,70755,06
22,70756,06
22,70757,03
22,70757,06
22,70759,06
22,70760,06
22,70761,05
22,70762,06
22,70763,02
22,70764,02
22,70764,06
22,70767,02
22,70767,06
22,70769,06
22,70770,06
22,70772,06
22,70773,06
22,70774,06
22,70775,05
22,70776,02
22,70777,06
22,70778,06
22,70780,02
22,70782,05
22,70783,06
22,70785,06
22,70787,05
22,70788,02
22,70788,06
22,70789,05
22,70791,02
22,70791,06
22,70801,06
22,70802,02
22,70802,06
22,70803,06
22,70805,02
22,70806,02
22,70806,06
22,70807,02
22,70807,06
22,70808,06
22,70809,06
22,70810,06
22,70811,02
22,70811,06
22,70812,02
22,70814,02
22,70814,06
22,70815,02
22,70815,06
22,70816,06
22,70817,06
22,70818,06
22,70819,06
22,70820,06
22,70836,06
22,71001,04
22,71001,05
22,71003,04
22,71004,04
22,71006,04
22,71007,04
22,71008,04
22,71016,04
22,71018,04
22,71019,04
22,71021,04
22,71023,04
22,71024,04
22,71027,04
22,71028,04
22,71029,04
22,71030,04
22,71031,04
22,71031,05
22,71032,04
22,71033,04
22,71034,04
22,71037,04
22,71038,04
22,71039,04
22,71040,04
22,71043,04
22,71044,04
22,71045,04
22,71046,04
22,71047,04
22,71048,04
22,71049,04
22,71051,04
22,71052,04
22,71055,04
22,71060,04
22,71061,04
22,71063,04
22,71064,04
22,71065,04
22,71067,04
22,71068,04
22,71069,04
22,71070,04
22,71071,04
22,71072,04
22,71073,04
22,71075,04
22,71078,04
22,71079,04
22,71082,04
22,71101,04
22,71103,04
22,71104,04
22,71105,04
22,71106,04
22,71107,04
22,71108,04
22,71109,04
22,71110,04
22,71111,04
22,71112,04
22,71115,04
22,71118,04
22,71119,04
22,71129,04
22,71201,05
22,71202,05
22,71203,05
22,71209,05
22,71219,05
22,71220,05
22,71222,04
22,71223,05
22,71225,05
22,71226,05
22,71227,05
22,71229,05
22,71232,05
22,71233,05
22,71234,04
22,71234,05
22,71235,04
22,71235,05
22,71237,05
22,71238,05
22,71241,04
22,71243,05
22,71245,05
22,71247,05
22,71250,05
22,71251,04
22,71251,05
22,71253,05
22,71254,05
22,71256,04
22,71259,05
22,71260,04
22,71261,05
22,71263,05
22,71264,05
22,71266,05
22,71268,04
22,71268,05
22,71269,05
22,71270,05
22,71272,05
22,71275,04
22,71275,05
22,71276,05
22,71277,04
22,71279,05
22,71280,04
22,71280,05
22,71282,05
22,71286,05
22,71291,05
22,71292,05
22,71295,05
22,71301,05
22,71302,05
22,71303,05
22,71316,05
22,71322,04
22,71322,05
22,71323,05
22,71325,04
22,71325,05
22,71326,05
22,71327,05
22,71328,05
22,71331,05
22,71333,05
22,71334,05
22,71336,05
22,71339,05
22,71340,05
22,71341,05
22,71342,05
22,71343,05
22,71345,05
22,71346,05
22,71350,05
22,71351,05
22,71353,05
22,71354,05
22,71355,05
22,71356,04
22,71356,05
22,71357,05
22,71358,05
22,71360,05
22,71362,05
22,71366,05
22,71367,04
22,71367,05
22,71368,05
22,71369,05
22,71371,05
22,71373,05
22,71375,05
22,71377,05
22,71378,05
22,71401,05
22,71403,04
22,71404,05
22,71405,05
22,71406,04
22,71407,05
22,71409,05
22,71410,05
22,71411,04
22,71414,04
22,71416,04
22,71417,05
22,71418,05
22,71419,04
22,71422,05
22,71423,05
22,71424,05
22,71425,05
22,71426,04
22,71427,04
22,71427,05
22,71429,04
22,71430,05
22,71432,05
22,71433,05
22,71435,05
22,71438,04
22,71438,05
22,71439,04
22,71441,05
22,71446,04
22,71447,04
22,71447,05
22,71449,04
22,71450,04
22,71452,04
22,71454,05
22,71455,04
22,71455,05
22,71456,04
22,71457,04
22,71457,05
22,71459,04
22,71461,04
22,71462,04
22,71463,04
22,71463,05
22,71465,05
22,71466,05
22,71467,05
22,71468,04
22,71469,04
22,71472,05
22,71473,05
22,71474,04
22,71479,05
22,71480,05
22,71483,05
22,71485,05
22,71486,04
22,71749,04
