MAINE CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
23,03579,02
23,03901,01
23,03902,01
23,03903,01
23,03904,01
23,03905,01
23,03906,01
23,03907,01
23,03908,01
23,03909,01
23,03910,01
23,03911,01
23,04001,01
23,04002,01
23,04003,01
23,04005,01
23,04006,01
23,04008,01
23,04009,01
23,04010,02
23,04011,01
23,04015,01
23,04017,01
23,04019,01
23,04020,01
23,04021,01
23,04022,02
23,04024,01
23,04027,01
23,04029,01
23,04030,01
23,04032,01
23,04037,02
23,04038,01
23,04039,01
23,04040,01
23,04040,02
23,04041,02
23,04042,01
23,04043,01
23,04046,01
23,04047,01
23,04048,01
23,04049,01
23,04050,01
23,04051,02
23,04055,01
23,04056,01
23,04057,01
23,04061,01
23,04062,01
23,04063,01
23,04064,01
23,04066,01
23,04068,02
23,04069,01
23,04071,01
23,04072,01
23,04073,01
23,04074,01
23,04076,01
23,04079,01
23,04083,01
23,04084,01
23,04085,01
23,04086,01
23,04087,01
23,04088,02
23,04090,01
23,04091,01
23,04092,01
23,04093,01
23,04095,01
23,04096,01
23,04097,01
23,04101,01
23,04102,01
23,04103,01
23,04105,01
23,04106,01
23,04107,01
23,04108,01
23,04109,01
23,04110,01
23,04210,02
23,04216,02
23,04217,02
23,04219,02
23,04220,02
23,04221,02
23,04222,02
23,04224,02
23,04226,02
23,04227,02
23,04228,02
23,04231,02
23,04234,02
23,04236,02
23,04237,02
23,04238,02
23,04239,02
23,04240,02
23,04250,02
23,04252,02
23,04253,02
23,04254,02
23,04255,02
23,04256,02
23,04257,02
23,04258,02
23,04259,01
23,04259,02
23,04260,01
23,04261,02
23,04263,02
23,04265,02
23,04267,02
23,04268,02
23,04270,02
23,04271,02
23,04274,02
23,04275,02
23,04276,02
23,04280,02
23,04281,02
23,04282,02
23,04284,02
23,04285,02
23,04286,02
23,04287,01
23,04289,02
23,04290,02
23,04292,02
23,04294,02
23,04330,01
23,04330,02
23,04342,01
23,04343,01
23,04344,01
23,04345,01
23,04345,02
23,04346,02
23,04347,01
23,04348,01
23,04349,02
23,04350,02
23,04351,01
23,04352,02
23,04353,01
23,04354,02
23,04355,01
23,04357,01
23,04358,01
23,04359,02
23,04360,02
23,04363,01
23,04364,01
23,04401,02
23,04406,02
23,04408,02
23,04410,02
23,04411,02
23,04412,02
