MARYLAND CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
24,20601,05
24,20602,05
24,20603,05
24,20606,05
24,20607,05
24,20608,05
24,20609,05
24,20611,05
24,20612,05
24,20613,05
24,20615,05
24,20616,05
24,20617,05
24,20618,05
24,20619,05
24,20620,05
24,20621,05
24,20622,05
24,20623,05
24,20624,05
24,20625,05
24,20626,05
24,20628,05
24,20629,05
24,20630,05
24,20632,05
24,20634,05
24,20636,05
24,20637,05
24,20639,05
24,20640,05
24,20645,05
24,20646,05
24,20650,05
24,20653,05
24,20657,05
24,20658,05
24,20659,05
24,20660,05
24,20662,05
24,20664,05
24,20667,05
24,20670,05
24,20674,05
24,20675,05
24,20676,05
24,20677,05
24,20678,05
24,20680,05
24,20684,05
24,20685,05
24,20686,05
24,20687,05
24,20688,05
24,20689,05
24,20690,05
24,20692,05
24,20693,05
24,20695,05
24,20701,02
24,20705,03
24,20705,04
24,20705,05
24,20706,04
24,20706,05
24,20707,03
24,20707,04
24,20707,05
24,20708,04
24,20708,05
24,20710,04
24,20711,05
24,20712,04
24,20714,05
24,20715,05
24,20716,05
24,20720,04
24,20720,05
24,20721,04
24,20721,05
24,20722,04
24,20723,02
24,20723,03
24,20724,02
24,20724,03
24,20724,04
24,20732,05
24,20733,05
24,20735,04
24,20735,05
24,20736,05
24,20737,04
24,20737,05
24,20740,04
24,20740,05
24,20742,05
24,20743,04
24,20744,04
24,20744,05
24,20745,04
24,20746,04
24,20746,05
24,20747,04
24,20748,04
24,20748,05
24,20751,05
24,20754,05
24,20755,02
24,20755,03
24,20758,05
24,20759,03
24,20762,04
24,20762,05
24,20763,02
24,20764,05
24,20765,05
24,20769,04
24,20769,05
24,20770,05
24,20772,04
24,20772,05
24,20774,04
24,20774,05
24,20776,05
24,20777,03
24,20777,07
24,20778,05
24,20779,05
24,20781,04
24,20781,05
24,20782,04
24,20782,05
24,20783,04
24,20783,05
24,20784,04
24,20784,05
24,20785,04
24,20794,02
24,20812,08
24,20814,08
24,20815,08
24,20816,08
24,20817,06
24,20817,08
24,20818,08
24,20832,03
24,20833,03
24,20833,07
24,20833,08
24,20837,06
24,20838,06
24,20839,06
24,20841,06
24,20842,06
24,20850,06
24,20850,08
24,20851,06
24,20851,08
24,20852,08
24,20853,03
24,20853,06
24,20853,08
24,20854,06
24,20854,08
24,20855,06
24,20855,08
24,20860,03
24,20861,03
24,20862,03
24,20866,03
24,20868,03
24,20871,06
24,20871,08
24,20872,06
24,20872,08
24,20874,06
24,20876,06
24,20877,06
24,20877,08
24,20878,06
24,20878,08
24,20879,06
24,20880,06
24,20882,03
24,20882,06
24,20882,08
24,20886,06
24,20895,08
24,20896,08
24,20899,06
24,20901,03
24,20901,08
24,20902,08
24,20903,03
24,20903,04
24,20903,08
24,20904,03
24,20904,04
24,20904,08
24,20905,03
24,20905,08
24,20906,03
24,20906,06
24,20906,08
24,20910,08
24,20912,04
24,20912,08
24,21001,01
24,21001,02
24,21005,02
24,21009,01
24,21009,02
24,21010,02
24,21012,03
24,21012,04
24,21013,01
24,21013,07
24,21014,01
24,21015,01
24,21015,02
24,21017,02
24,21028,01
24,21029,03
24,21029,07
24,21030,01
24,21030,02
24,21030,07
24,21031,02
24,21031,07
24,21032,04
24,21034,01
24,21035,04
24,21035,05
24,21036,07
24,21037,03
24,21037,04
24,21037,05
24,21040,01
24,21040,02
24,21042,07
24,21043,02
24,21043,03
24,21043,07
24,21044,03
24,21044,07
24,21045,03
24,21045,07
24,21046,03
24,21047,01
24,21048,01
24,21048,08
24,21050,01
24,21051,07
24,21052,02
24,21053,01
24,21054,04
24,21054,05
24,21056,03
24,21057,01
24,21057,02
24,21057,07
24,21060,02
24,21060,03
24,21061,02
24,21061,03
24,21061,04
24,21071,02
24,21074,01
24,21074,07
24,21075,02
24,21075,03
24,21075,07
24,21076,02
24,21076,03
24,21077,02
24,21077,03
24,21078,01
24,21078,02
24,21082,01
24,21082,07
24,21084,01
24,21085,01
24,21085,02
24,21087,01
24,21090,02
24,21090,03
24,21093,02
24,21093,03
24,21093,07
24,21102,01
24,21102,07
24,21104,07
24,21104,08
24,21105,01
24,21108,03
24,21108,04
24,21111,01
24,21111,07
24,21113,02
24,21113,03
24,21113,04
24,21113,05
24,21114,04
24,21114,05
24,21117,02
24,21117,03
24,21117,07
24,21120,01
24,21120,07
24,21122,03
24,21122,04
24,21128,01
24,21128,02
24,21130,02
24,21131,01
24,21131,07
24,21132,01
24,21133,02
24,21133,07
24,21136,01
24,21136,02
24,21136,07
24,21140,04
24,21144,02
24,21144,03
24,21144,04
24,21146,04
24,21152,07
24,21153,03
24,21154,01
24,21155,01
24,21155,07
24,21156,01
24,21157,01
24,21157,08
24,21158,01
24,21158,08
24,21160,01
24,21161,01
24,21161,07
24,21162,01
24,21162,02
24,21163,02
24,21163,07
24,21201,03
24,21201,07
24,21202,03
24,21202,07
24,21204,02
24,21204,03
24,21205,03
24,21205,07
24,21206,02
24,21206,03
24,21207,07
24,21208,02
24,21208,03
24,21208,07
24,21209,03
24,21209,07
24,21210,03
24,21210,07
24,21211,03
24,21211,07
24,21212,02
24,21212,03
24,21212,07
24,21213,02
24,21213,03
24,21213,07
24,21214,02
24,21214,03
24,21214,07
24,21215,03
24,21215,07
24,21216,07
24,21217,07
24,21218,03
24,21218,07
24,21219,02
24,21220,02
24,21221,02
24,21222,02
24,21223,03
24,21223,07
24,21224,02
24,21224,03
24,21224,07
24,21225,02
24,21225,03
24,21226,02
24,21226,03
24,21227,02
24,21227,03
24,21227,07
24,21228,07
24,21229,03
24,21229,07
24,21230,02
24,21230,03
24,21230,07
24,21231,02
24,21231,03
24,21231,07
24,21234,01
24,21234,02
24,21234,03
24,21236,01
24,21236,02
24,21236,03
24,21237,02
24,21237,03
24,21239,02
24,21239,03
24,21239,07
24,21240,02
24,21240,03
24,21244,02
24,21244,07
24,21250,07
24,21251,07
24,21252,02
24,21252,03
24,21286,01
24,21286,02
24,21401,03
24,21401,04
24,21402,03
24,21403,03
24,21405,04
24,21409,03
24,21409,04
24,21502,06
24,21520,06
24,21521,06
24,21522,06
24,21523,06
24,21524,06
24,21529,06
24,21530,06
24,21531,06
24,21532,06
24,21536,06
24,21538,06
24,21539,06
24,21540,06
24,21541,06
24,21542,06
24,21543,06
24,21545,06
24,21550,06
24,21555,06
24,21557,06
24,21561,06
24,21562,06
24,21601,01
24,21607,01
24,21610,01
24,21612,01
24,21613,01
24,21617,01
24,21619,01
24,21620,01
24,21622,01
24,21623,01
24,21624,01
24,21625,01
24,21626,01
24,21627,01
24,21628,01
24,21629,01
24,21631,01
24,21632,01
24,21634,01
24,21635,01
24,21636,01
24,21638,01
24,21639,01
24,21640,01
24,21641,01
24,21643,01
24,21644,01
24,21645,01
24,21647,01
24,21648,01
24,21649,01
24,21650,01
24,21651,01
24,21652,01
24,21653,01
24,21654,01
24,21655,01
24,21657,01
24,21658,01
24,21659,01
24,21660,01
24,21661,01
24,21662,01
