MASSACHUSETTS CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
25,01001,01
25,01002,02
25,01003,02
25,01005,02
25,01007,02
25,01008,01
25,01009,01
25,01010,01
25,01011,01
25,01012,01
25,01013,01
25,01020,01
25,01022,01
25,01026,01
25,01027,01
25,01028,01
25,01029,01
25,01030,01
25,01031,02
25,01032,01
25,01033,01
25,01034,01
25,01035,02
25,01036,01
25,01037,02
25,01038,02
25,01039,01
25,01039,02
25,01040,01
25,01050,01
25,01053,02
25,01054,02
25,01056,01
25,01057,01
25,01060,02
25,01062,02
25,01063,02
25,01066,02
25,01068,02
25,01069,01
25,01069,02
25,01070,01
25,01071,01
25,01072,02
25,01073,01
25,01074,02
25,01075,01
25,01077,01
25,01079,01
25,01080,01
25,01081,01
25,01082,02
25,01083,01
25,01084,01
25,01085,01
25,01086,01
25,01088,02
25,01089,01
25,01092,01
25,01093,02
25,01094,02
25,01095,01
25,01096,01
25,01097,01
25,01098,01
25,01103,01
25,01104,01
25,01105,01
25,01106,01
25,01107,01
25,01108,01
25,01109,01
25,01118,01
25,01119,01
25,01128,01
25,01129,01
25,01151,01
25,01199,01
25,01201,01
25,01220,01
25,01222,01
25,01223,01
25,01224,01
25,01225,01
25,01226,01
25,01229,01
25,01230,01
25,01235,01
25,01236,01
25,01237,01
25,01238,01
25,01240,01
25,01242,01
25,01243,01
25,01244,01
25,01245,01
25,01247,01
25,01253,01
25,01254,01
25,01255,01
25,01256,01
25,01257,01
25,01258,01
25,01259,01
25,01260,01
25,01262,01
25,01264,01
25,01266,01
25,01267,01
25,01270,01
25,01301,01
25,01301,02
25,01330,01
25,01331,02
25,01337,01
25,01338,01
25,01339,01
25,01340,01
25,01341,01
25,01342,02
25,01343,01
25,01344,02
25,01346,01
25,01347,02
25,01349,02
25,01350,01
25,01351,02
25,01354,02
25,01355,02
25,01360,02
25,01364,02
25,01366,02
25,01367,01
25,01368,02
25,01370,01
25,01370,02
25,01373,02
25,01375,02
25,01376,02
25,01378,02
25,01379,02
25,01420,02
25,01420,03
25,01430,03
25,01431,03
25,01432,03
25,01434,03
25,01436,02
25,01438,02
25,01440,02
25,01440,03
25,01450,03
25,01451,03
25,01452,02
25,01453,02
25,01453,03
25,01460,03
25,01462,03
25,01463,03
25,01464,03
25,01467,03
25,01468,02
25,01469,03
25,01473,03
25,01474,03
25,01475,02
25,01475,03
25,01501,02
25,01503,03
25,01504,02
25,01505,02
25,01506,01
25,01507,01
25,01510,03
25,01515,01
25,01516,02
25,01518,01
25,01519,02
25,01520,02
25,01521,01
25,01522,02
25,01523,03
25,01524,02
25,01525,02
25,01527,02
25,01529,02
25,01531,02
25,01532,02
25,01534,02
25,01535,02
25,01536,02
25,01537,02
25,01540,02
25,01541,02
25,01542,02
25,01543,02
25,01545,02
25,01550,01
25,01560,02
25,01561,03
25,01562,02
25,01564,02
25,01566,01
25,01568,02
25,01569,02
25,01570,02
25,01571,01
25,01581,02
25,01581,05
25,01583,02
25,01585,01
25,01585,02
25,01588,02
25,01590,02
25,01602,02
25,01603,02
25,01604,02
25,01605,02
25,01606,02
25,01607,02
25,01608,02
25,01609,02
25,01610,02
25,01611,02
25,01612,02
25,01701,05
25,01702,05
25,01718,03
25,01719,03
25,01720,03
25,01721,05
25,01730,05
25,01730,06
25,01731,05
25,01731,06
25,01740,03
25,01741,03
25,01742,03
25,01745,05
25,01746,05
25,01747,04
25,01748,04
25,01749,03
25,01752,03
25,01754,03
25,01756,02
25,01757,02
25,01757,04
25,01760,05
25,01770,05
25,01772,05
25,01773,03
25,01773,05
25,01775,03
25,01776,03
25,01776,05
25,01778,05
25,01801,05
25,01801,06
25,01803,06
25,01810,03
25,01810,06
25,01821,06
25,01824,03
25,01826,03
25,01827,03
25,01830,03
25,01832,03
25,01833,06
25,01834,06
25,01835,03
25,01840,03
25,01841,03
25,01843,03
25,01844,03
25,01845,06
25,01850,03
25,01851,03
25,01852,03
25,01854,03
25,01860,06
25,01862,06
25,01863,03
25,01864,06
25,01867,06
25,01876,06
25,01879,03
25,01880,06
25,01886,03
25,01887,06
25,01890,05
25,01901,06
25,01902,06
25,01904,06
25,01905,06
25,01906,06
25,01907,06
25,01908,06
25,01913,06
25,01915,06
25,01921,06
25,01922,06
25,01923,06
25,01929,06
25,01930,06
25,01937,06
25,01938,06
25,01940,06
25,01944,06
25,01945,06
25,01949,06
25,01950,06
25,01951,06
25,01952,06
25,01960,06
25,01966,06
25,01969,06
25,01970,06
25,01982,06
25,01983,06
25,01984,06
25,01985,06
25,02019,02
25,02019,04
25,02021,08
25,02025,08
25,02026,08
25,02030,04
25,02032,08
25,02035,04
25,02038,04
25,02043,08
25,02045,08
25,02047,08
25,02048,04
25,02050,08
25,02050,09
25,02052,04
25,02053,04
25,02054,04
25,02056,04
25,02061,09
