MICHIGAN CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
26,48001,10
26,48002,10
26,48003,10
26,48005,10
26,48006,10
26,48009,09
26,48009,11
26,48014,10
26,48015,09
26,48017,09
26,48017,11
26,48021,09
26,48022,10
26,48023,10
26,48025,09
26,48025,14
26,48026,09
26,48027,10
26,48028,10
26,48030,09
26,48032,10
26,48033,14
26,48034,09
26,48034,14
26,48035,09
26,48036,09
26,48036,10
26,48038,09
26,48039,10
26,48040,10
26,48041,10
26,48042,10
26,48043,09
26,48044,10
26,48045,09
26,48045,10
26,48047,10
26,48048,10
26,48049,10
26,48050,10
26,48051,10
26,48054,10
26,48059,10
26,48060,10
26,48062,10
26,48063,10
26,48064,10
26,48065,10
26,48066,09
26,48067,09
26,48069,09
26,48070,09
26,48070,14
26,48071,09
26,48072,09
26,48073,09
26,48073,11
26,48074,10
26,48075,14
26,48076,14
26,48079,10
26,48080,09
26,48081,09
26,48082,09
26,48083,11
26,48084,09
26,48084,11
26,48085,11
26,48088,09
26,48089,09
26,48091,09
26,48092,09
26,48093,09
26,48094,10
26,48095,10
26,48096,10
26,48097,10
26,48098,11
26,48101,12
26,48103,07
26,48103,12
26,48104,12
26,48105,07
26,48105,12
26,48108,07
26,48108,12
26,48109,12
26,48111,07
26,48111,12
26,48114,08
26,48116,08
26,48117,07
26,48118,07
26,48120,12
26,48122,12
26,48122,13
26,48124,12
26,48125,12
26,48125,13
26,48126,12
26,48126,13
26,48127,13
26,48128,12
26,48130,07
26,48130,12
26,48131,07
26,48133,07
26,48134,07
26,48134,12
26,48135,13
26,48137,07
26,48137,08
26,48138,12
26,48139,08
26,48140,07
26,48141,13
26,48143,08
26,48144,07
26,48145,07
26,48146,12
26,48150,11
26,48152,11
26,48154,11
26,48157,07
26,48158,07
26,48159,07
26,48160,07
26,48161,07
26,48162,07
26,48164,07
26,48164,12
26,48165,11
26,48166,07
26,48167,07
26,48167,11
26,48167,14
26,48168,07
26,48168,11
26,48169,07
26,48169,08
26,48170,07
26,48170,11
26,48170,12
26,48173,12
26,48174,12
26,48174,13
26,48176,07
26,48176,12
26,48177,07
26,48178,07
26,48178,08
26,48178,11
26,48179,07
26,48180,12
26,48182,07
26,48183,12
26,48184,12
26,48184,13
26,48185,13
26,48186,13
26,48187,11
26,48188,11
26,48188,12
26,48189,07
26,48189,08
26,48190,07
26,48191,07
26,48192,12
26,48193,12
26,48195,12
26,48197,07
26,48197,12
26,48198,12
26,48201,13
26,48202,13
26,48203,13
26,48203,14
26,48204,13
26,48205,14
26,48206,13
26,48207,13
26,48207,14
26,48208,13
26,48209,13
26,48209,14
26,48210,13
26,48210,14
26,48211,13
26,48211,14
26,48212,13
26,48212,14
26,48213,13
26,48213,14
26,48214,13
26,48214,14
26,48215,13
26,48215,14
26,48216,13
26,48216,14
26,48217,12
26,48217,13
26,48218,13
26,48219,13
26,48220,09
26,48220,14
26,48221,13
26,48221,14
26,48223,13
26,48224,14
26,48225,14
26,48226,13
26,48226,14
26,48227,13
26,48227,14
26,48228,13
26,48229,12
26,48229,13
26,48230,14
26,48233,14
26,48234,14
26,48235,13
26,48235,14
26,48236,09
26,48236,14
26,48237,09
26,48237,14
26,48238,13
26,48238,14
26,48239,13
26,48240,13
26,48242,13
26,48243,14
26,48301,09
26,48301,14
26,48302,09
26,48302,14
26,48304,09
26,48304,11
26,48306,08
26,48306,10
26,48307,08
26,48309,08
26,48309,11
26,48310,09
26,48310,10
26,48312,09
26,48312,10
26,48313,09
26,48313,10
26,48314,10
26,48315,10
26,48316,10
26,48317,10
26,48320,09
26,48320,11
26,48320,14
26,48322,14
26,48323,09
26,48323,11
26,48323,14
26,48324,11
26,48324,14
26,48326,08
26,48326,11
26,48326,14
26,48327,11
26,48328,11
26,48328,14
26,48329,08
26,48329,11
26,48331,14
26,48334,14
26,48335,11
26,48335,14
26,48336,11
26,48336,14
26,48340,14
26,48341,09
26,48341,11
26,48341,14
26,48342,14
26,48346,08
26,48346,11
26,48348,08
26,48350,08
26,48353,08
26,48356,11
26,48357,11
26,48359,08
26,48359,11
26,48360,08
26,48362,08
26,48363,08
26,48367,08
26,48370,08
26,48371,08
26,48371,10
26,48374,11
26,48375,11
26,48377,11
26,48380,08
26,48380,11
26,48381,11
26,48382,11
26,48383,11
26,48386,08
26,48386,11
26,48390,11
26,48393,11
26,48397,09
26,48401,10
26,48411,05
26,48412,10
26,48413,10
26,48414,04
26,48415,04
26,48415,05
26,48416,10
26,48417,04
26,48418,04
26,48418,05
26,48418,08
26,48419,10
26,48420,04
26,48420,05
26,48421,05
26,48421,10
26,48422,10
26,48423,05
26,48423,10
26,48426,10
26,48427,10
26,48428,08
26,48428,10
26,48429,04
26,48429,05
26,48430,05
26,48430,08
26,48432,10
26,48433,04
26,48433,05
26,48434,10
26,48435,10
26,48436,04
26,48436,05
26,48437,05
26,48438,05
26,48438,10
26,48439,05
26,48439,08
26,48440,10
26,48441,10
26,48442,05
26,48442,08
26,48442,11
26,48444,10
26,48445,10
26,48446,10
26,48449,04
26,48449,05
26,48450,10
26,48451,05
26,48451,08
26,48453,10
26,48454,10
26,48455,10
26,48456,10
26,48457,04
26,48457,05
26,48458,05
26,48460,04
26,48461,10
26,48462,05
26,48462,08
26,48462,10
26,48463,05
26,48464,05
26,48464,10
26,48465,10
26,48466,10
26,48467,10
26,48468,10
26,48469,10
26,48470,10
26,48471,10
26,48472,10
26,48473,05
26,48475,10
26,48476,04
26,48502,05
26,48503,05
26,48504,05
26,48505,05
26,48506,05
26,48507,05
26,48509,05
26,48519,05
26,48529,05
26,48532,05
26,48551,05
26,48553,05
26,48554,05
26,48601,04
26,48601,05
26,48602,05
26,48603,04
26,48603,05
26,48604,04
26,48604,05
26,48607,05
26,48609,04
26,48610,04
26,48610,05
26,48611,05
26,48612,04
26,48613,04
26,48613,05
26,48614,04
26,48615,04
26,48616,04
26,48617,04
26,48618,04
26,48619,01
26,48621,01
26,48622,04
26,48623,04
26,48623,05
26,48624,04
26,48625,04
26,48626,04
26,48627,04
26,48628,04
26,48629,04
26,48630,04
26,48631,05
26,48632,04
26,48633,04
26,48634,05
26,48635,04
26,48636,01
26,48637,04
26,48638,05
26,48640,04
26,48642,04
26,48642,05
26,48647,01
26,48649,04
26,48650,05
26,48651,04
26,48652,04
26,48652,05
26,48653,01
26,48653,04
26,48654,01
26,48654,04
26,48655,04
26,48656,04
26,48657,04
26,48658,05
26,48659,05
26,48661,04
26,48662,04
26,48667,04
26,48701,10
26,48703,05
26,48705,01
26,48706,05
26,48708,05
26,48710,05
26,48720,10
26,48721,01
26,48722,04
26,48722,05
26,48723,10
26,48724,05
26,48725,10
26,48726,10
26,48727,10
26,48728,01
26,48729,10
26,48730,05
26,48731,10
26,48732,05
26,48733,05
26,48733,10
26,48734,04
26,48734,05
26,48735,10
26,48737,01
26,48737,05
26,48738,01
26,48738,05
26,48739,04
26,48739,05
26,48740,01
26,48741,10
26,48742,01
26,48743,05
26,48744,10
26,48745,01
26,48745,05
26,48746,05
26,48746,10
26,48747,05
26,48748,05
26,48749,05
26,48750,01
26,48750,05
26,48754,10
26,48755,10
26,48756,04
26,48757,05
26,48757,10
26,48759,10
26,48760,10
26,48761,01
26,48761,04
26,48761,05
26,48762,01
26,48763,05
26,48765,05
26,48766,05
26,48767,10
26,48768,05
26,48768,10
26,48770,05
26,48801,04
26,48806,04
26,48807,04
26,48808,04
26,48809,03
26,48809,04
26,48811,04
26,48813,03
26,48813,07
26,48815,03
26,48816,08
26,48817,04
26,48818,04
26,48819,08
26,48820,04
26,48821,07
26,48821,08
26,48822,04
26,48823,04
26,48823,08
26,48825,08
26,48827,07
26,48827,08
26,48829,04
26,48831,04
26,48832,04
26,48834,03
26,48834,04
26,48835,04
26,48836,08
26,48837,03
26,48837,04
26,48837,07
26,48838,03
26,48838,04
26,48840,04
26,48840,08
26,48841,04
26,48842,08
26,48843,08
26,48845,03
26,48845,04
26,48846,03
26,48847,04
26,48848,04
26,48849,03
26,48849,07
26,48850,04
26,48851,03
26,48852,04
26,48853,04
26,48854,08
26,48855,08
26,48856,04
26,48857,04
26,48858,04
26,48860,03
26,48861,03
26,48861,07
26,48864,08
26,48865,03
26,48866,04
26,48867,04
26,48870,03
26,48871,04
26,48872,04
26,48872,08
26,48873,03
26,48873,04
26,48874,04
26,48875,03
26,48875,04
26,48876,07
26,48877,04
26,48878,04
26,48879,04
26,48880,04
26,48881,03
26,48883,04
26,48884,04
26,48885,04
26,48886,04
26,48888,04
26,48889,04
26,48890,03
26,48890,07
26,48891,04
26,48892,08
26,48893,04
26,48894,04
26,48895,08
26,48896,04
26,48897,03
26,48897,07
26,48906,04
26,48906,07
26,48906,08
26,48910,08
26,48911,07
26,48911,08
26,48912,08
26,48915,08
26,48917,07
26,48917,08
26,48921,08
26,48933,08
26,49001,06
26,49002,06
26,49004,06
26,49006,06
26,49007,06
26,49008,06
26,49009,06
26,49010,06
26,49011,03
26,49011,06
26,49011,07
26,49012,03
26,49012,06
26,49013,06
26,49014,03
26,49015,03
26,49017,03
26,49021,03
26,49021,07
26,49022,06
26,49024,06
26,49026,06
26,49027,06
26,49028,07
26,49029,03
26,49030,06
26,49030,07
26,49031,06
26,49032,06
26,49033,03
26,49034,03
26,49034,06
26,49036,07
26,49037,03
26,49038,06
26,49040,06
26,49040,07
26,49042,06
26,49043,06
26,49045,06
26,49046,03
26,49047,06
26,49048,06
26,49050,03
26,49051,03
26,49052,03
26,49052,06
26,49053,06
26,49055,06
26,49056,06
26,49057,06
26,49058,03
26,49060,03
26,49060,06
26,49061,06
26,49064,06
