MINNESOTA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
27,51360,01
27,55001,02
27,55001,04
27,55003,04
27,55005,06
27,55006,08
27,55007,08
27,55008,08
27,55009,02
27,55011,06
27,55012,08
27,55013,08
27,55014,06
27,55016,02
27,55017,08
27,55018,02
27,55019,01
27,55019,02
27,55020,02
27,55021,01
27,55021,02
27,55024,02
27,55025,06
27,55025,08
27,55026,02
27,55027,02
27,55029,08
27,55030,08
27,55031,02
27,55032,08
27,55033,02
27,55036,08
27,55037,08
27,55038,04
27,55038,06
27,55040,08
27,55041,02
27,55042,04
27,55043,04
27,55044,02
27,55045,08
27,55046,01
27,55047,06
27,55049,01
27,55049,02
27,55051,08
27,55052,01
27,55053,02
27,55054,02
27,55055,04
27,55056,08
27,55057,01
27,55057,02
27,55060,01
27,55063,08
27,55065,02
27,55066,02
27,55068,02
27,55069,08
27,55070,06
27,55070,08
27,55071,02
27,55071,04
27,55072,08
27,55073,06
27,55073,08
27,55074,08
27,55075,02
27,55076,02
27,55077,02
27,55079,06
27,55079,08
27,55080,08
27,55082,04
27,55082,06
27,55084,08
27,55085,02
27,55087,01
27,55088,01
27,55088,02
27,55089,02
27,55090,04
27,55092,06
27,55092,08
27,55101,04
27,55102,04
27,55103,04
27,55104,04
27,55105,04
27,55106,04
27,55107,04
27,55108,04
27,55109,04
27,55110,04
27,55110,06
27,55111,05
27,55112,04
27,55112,05
27,55113,04
27,55114,04
27,55115,04
27,55116,04
27,55117,04
27,55118,02
27,55118,04
27,55119,04
27,55120,02
27,55121,02
27,55122,02
27,55123,02
27,55124,02
27,55125,04
27,55126,04
27,55126,06
27,55127,04
27,55128,04
27,55129,04
27,55130,04
27,55150,02
27,55155,04
27,55301,06
27,55302,06
27,55303,06
27,55304,03
27,55304,06
27,55305,03
27,55305,05
27,55306,02
27,55307,07
27,55308,06
27,55309,06
27,55310,07
27,55311,03
27,55312,07
27,55313,06
27,55314,07
27,55315,06
27,55316,03
27,55317,03
27,55318,03
27,55318,06
27,55319,06
27,55320,06
27,55321,06
27,55322,06
27,55324,07
27,55325,07
27,55327,03
27,55327,06
27,55328,03
27,55328,06
27,55329,06
27,55329,07
27,55330,06
27,55331,03
27,55332,01
27,55332,07
27,55333,01
27,55333,07
27,55334,01
27,55334,07
27,55335,01
27,55335,07
27,55336,07
27,55337,02
27,55338,07
27,55339,06
27,55339,07
27,55340,03
27,55341,06
27,55342,07
27,55343,03
27,55343,05
27,55344,03
27,55345,03
27,55346,03
27,55347,03
27,55349,06
27,55350,07
27,55352,02
27,55353,06
27,55353,07
27,55354,07
27,55355,07
27,55356,03
27,55357,03
27,55357,06
27,55358,06
27,55359,03
27,55360,06
27,55362,06
27,55363,06
27,55364,03
27,55366,07
27,55367,06
27,55368,06
27,55369,03
27,55370,07
27,55371,06
27,55371,08
27,55372,02
27,55373,03
27,55373,06
27,55374,03
27,55374,06
27,55375,03
27,55375,06
27,55376,06
27,55378,02
27,55379,02
27,55381,07
27,55382,06
27,55382,07
27,55384,03
27,55385,07
27,55386,03
27,55387,03
27,55387,06
27,55388,03
27,55388,06
27,55389,06
27,55389,07
27,55390,06
27,55391,03
27,55395,06
27,55395,07
27,55396,07
27,55397,06
27,55397,07
27,55398,06
27,55398,08
27,55401,05
27,55402,05
27,55403,05
27,55404,05
27,55405,05
27,55406,05
27,55407,05
27,55408,05
27,55409,05
27,55410,05
27,55411,05
27,55412,05
27,55413,05
27,55414,05
27,55415,05
27,55416,05
27,55417,05
27,55418,04
27,55418,05
27,55419,05
27,55420,03
27,55421,05
27,55422,05
27,55423,03
27,55423,05
27,55424,05
27,55425,03
27,55426,03
27,55426,05
27,55427,05
27,55428,03
27,55428,05
27,55429,03
27,55429,05
27,55430,03
27,55430,05
27,55431,03
27,55432,04
27,55432,05
27,55433,03
27,55434,06
27,55435,03
27,55436,03
27,55436,05
27,55437,03
27,55438,03
27,55439,03
27,55441,03
27,55441,05
27,55442,03
27,55443,03
27,55444,03
27,55444,05
27,55445,03
27,55446,03
27,55447,03
27,55448,03
27,55448,06
27,55449,04
27,55449,06
27,55450,05
27,55454,05
27,55455,05
27,55601,08
27,55602,08
27,55603,08
27,55604,08
27,55605,08
27,55606,08
27,55607,08
27,55609,08
