MISSISSIPPI CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
28,38326,01
28,38601,01
28,38603,01
28,38606,01
28,38606,02
28,38610,01
28,38611,01
28,38614,02
28,38617,02
28,38618,01
28,38619,01
28,38619,02
28,38620,02
28,38621,02
28,38622,02
28,38623,02
28,38625,01
28,38626,02
28,38627,01
28,38629,01
28,38630,02
28,38631,02
28,38632,01
28,38633,01
28,38635,01
28,38637,01
28,38639,02
28,38641,01
28,38642,01
28,38643,02
28,38644,02
28,38645,02
28,38646,02
28,38647,01
28,38650,01
28,38651,01
28,38652,01
28,38654,01
28,38655,01
28,38658,02
28,38659,01
28,38661,01
28,38663,01
28,38664,02
28,38665,01
28,38665,02
28,38666,02
28,38668,01
28,38670,02
28,38671,01
28,38672,01
28,38673,01
28,38674,01
28,38676,02
28,38677,01
28,38680,01
28,38683,01
28,38685,01
28,38701,02
28,38702,02
28,38703,02
28,38704,02
28,38720,02
28,38721,02
28,38722,02
28,38723,02
28,38725,02
28,38726,02
28,38730,02
28,38731,02
28,38732,02
28,38736,02
28,38737,02
28,38738,02
28,38740,02
28,38744,02
28,38745,02
28,38746,02
28,38748,02
28,38749,02
28,38751,02
28,38753,02
28,38754,02
28,38756,02
28,38759,02
28,38760,02
28,38761,02
28,38762,02
28,38764,02
28,38765,02
28,38767,02
28,38768,02
28,38769,02
28,38771,02
28,38772,02
28,38773,02
28,38774,02
28,38778,02
28,38781,02
28,38801,01
28,38804,01
28,38821,01
28,38824,01
28,38826,01
28,38827,01
28,38828,01
28,38829,01
28,38833,01
28,38834,01
28,38838,01
28,38841,01
28,38843,01
28,38844,01
28,38846,01
28,38847,01
28,38848,01
28,38849,01
28,38850,01
28,38851,01
28,38852,01
28,38855,01
28,38856,01
28,38857,01
28,38858,01
28,38859,01
28,38860,01
28,38862,01
28,38863,01
28,38864,01
28,38865,01
28,38866,01
28,38868,01
28,38869,01
28,38870,01
28,38871,01
28,38873,01
28,38876,01
28,38878,01
28,38879,01
28,38901,02
28,38913,01
28,38914,01
28,38914,02
28,38915,01
28,38916,01
28,38917,02
28,38920,02
28,38921,02
28,38922,02
28,38923,02
28,38924,02
28,38925,01
28,38925,02
28,38927,02
28,38928,02
28,38929,01
28,38929,02
28,38930,02
28,38940,02
28,38941,02
28,38943,02
28,38944,02
28,38945,02
28,38946,02
28,38947,02
28,38948,02
28,38949,01
28,38950,02
28,38951,01
28,38952,02
28,38953,02
28,38954,02
28,38957,02
28,38958,02
28,38961,02
28,38962,02
28,38963,02
28,38964,02
28,38965,01
28,38965,02
28,38966,02
28,38967,02
28,39038,02
28,39039,02
28,39040,02
28,39041,02
28,39042,03
28,39044,03
28,39045,02
28,39046,02
28,39046,03
28,39047,03
28,39051,02
28,39051,03
28,39054,02
28,39056,02
28,39057,03
28,39059,02
28,39061,02
28,39062,03
28,39063,02
28,39066,02
28,39067,02
28,39069,02
28,39071,02
28,39071,03
28,39073,03
28,39074,03
28,39078,02
28,39079,02
28,39082,03
28,39083,02
28,39086,02
28,39088,02
28,39090,02
28,39092,03
28,39094,02
28,39094,03
28,39095,02
28,39096,02
28,39097,02
28,39108,01
28,39108,02
28,39110,02
28,39110,03
28,39111,03
28,39113,02
28,39114,03
28,39115,02
28,39116,03
28,39117,03
28,39119,03
28,39120,02
28,39120,03
28,39140,03
28,39144,02
28,39145,03
28,39146,02
28,39149,03
28,39150,02
28,39152,03
28,39153,03
28,39154,02
28,39156,02
28,39157,02
28,39157,03
28,39159,02
28,39160,02
28,39162,02
28,39166,02
28,39167,03
28,39168,03
28,39168,04
28,39169,02
28,39170,02
28,39174,02
28,39175,02
28,39176,02
28,39177,02
28,39179,02
28,39180,02
28,39183,02
28,39189,02
28,39189,03
28,39191,02
28,39191,03
28,39192,02
28,39193,03
28,39194,02
28,39201,02
28,39201,03
28,39202,02
28,39202,03
28,39203,02
28,39203,03
28,39204,02
28,39204,03
28,39206,02
28,39206,03
28,39208,03
28,39209,02
28,39209,03
28,39211,02
28,39211,03
28,39212,02
28,39212,03
28,39213,02
28,39213,03
28,39216,02
28,39216,03
28,39217,02
28,39218,03
28,39232,03
28,39269,03
28,39272,02
28,39301,03
28,39305,03
28,39307,03
28,39309,03
28,39320,03
28,39322,04
28,39323,03
28,39325,03
28,39326,03
28,39327,03
28,39328,03
28,39330,03
28,39332,03
28,39335,03
28,39336,03
28,39337,03
28,39338,03
28,39339,01
28,39341,01
28,39341,03
28,39342,03
28,39345,03
28,39346,01
28,39346,03
28,39347,03
28,39348,03
28,39350,01
28,39350,02
28,39350,03
28,39352,03
28,39354,01
28,39354,03
28,39355,03
28,39355,04
28,39356,03
28,39358,03
28,39359,03
28,39360,03
28,39360,04
28,39361,03
28,39362,04
28,39363,03
28,39364,03
28,39365,02
28,39365,03
28,39366,03
28,39366,04
28,39367,04
28,39401,03
28,39401,04
28,39402,03
28,39402,04
28,39406,04
28,39421,03
28,39421,04
28,39422,03
28,39423,04
28,39425,04
28,39426,04
28,39427,03
28,39428,03
28,39429,03
28,39429,04
28,39437,04
28,39439,03
28,39439,04
28,39440,04
28,39443,03
28,39443,04
28,39451,04
28,39452,04
28,39455,04
28,39456,04
28,39459,04
28,39461,04
28,39462,04
28,39464,04
28,39465,04
28,39466,04
28,39470,04
28,39474,03
28,39475,04
28,39476,04
28,39477,04
28,39478,03
28,39478,04
28,39479,03
28,39479,04
28,39480,03
28,39480,04
28,39481,03
28,39482,03
28,39482,04
28,39483,03
28,39483,04
28,39501,04
28,39503,04
28,39507,04
28,39520,04
28,39525,04
28,39530,04
28,39531,04
28,39532,04
28,39534,04
28,39540,04
28,39553,04
28,39556,04
28,39560,04
28,39561,04
28,39562,04
28,39563,04
28,39564,04
28,39565,04
28,39567,04
28,39571,04
28,39572,04
28,39573,04
28,39574,04
28,39576,04
28,39577,04
28,39581,04
28,39601,03
28,39629,03
28,39630,03
28,39631,03
28,39633,03
28,39635,03
28,39638,03
28,39641,03
28,39643,03
28,39643,04
28,39645,03
28,39647,03
28,39648,03
28,39652,03
28,39653,02
28,39653,03
28,39654,03
28,39656,03
28,39657,03
28,39661,03
28,39662,03
28,39663,03
28,39664,03
28,39665,03
28,39666,03
28,39667,03
28,39667,04
28,39668,02
28,39668,03
28,39669,03
28,39701,01
28,39702,01
28,39705,01
28,39730,01
28,39735,01
28,39736,01
28,39737,01
28,39739,03
28,39740,01
28,39741,01
28,39743,01
28,39743,03
28,39744,01
