MISSOURI CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
29,51640,06
29,52542,06
29,52573,06
29,52626,06
29,63005,02
29,63010,02
29,63010,03
29,63011,02
29,63012,03
29,63012,08
29,63013,03
29,63014,03
29,63015,03
29,63015,08
29,63016,03
29,63016,08
29,63017,02
29,63019,03
29,63019,08
29,63020,08
29,63021,02
29,63023,03
29,63023,08
29,63025,02
29,63025,03
29,63026,02
29,63026,03
29,63028,03
29,63028,08
29,63030,08
29,63031,01
29,63033,01
29,63034,01
29,63036,08
29,63037,03
29,63038,02
29,63039,03
29,63040,02
29,63041,03
29,63041,08
29,63042,01
29,63043,01
29,63043,02
29,63044,01
29,63044,02
29,63045,01
29,63047,08
29,63048,03
29,63049,02
29,63049,03
29,63050,03
29,63050,08
29,63051,03
29,63052,03
29,63053,03
29,63055,03
29,63056,03
29,63057,03
29,63060,03
29,63061,03
29,63068,03
29,63069,02
29,63069,03
29,63070,03
29,63070,08
29,63071,08
29,63072,03
29,63072,08
29,63073,03
29,63074,01
29,63074,02
29,63077,03
29,63079,03
29,63080,03
29,63080,08
29,63084,03
29,63087,08
29,63088,02
29,63089,03
29,63090,03
29,63091,03
29,63101,01
29,63102,01
29,63103,01
29,63104,01
29,63105,01
29,63105,02
29,63106,01
29,63107,01
29,63108,01
29,63109,01
29,63110,01
29,63111,01
29,63112,01
29,63113,01
29,63114,01
29,63114,02
29,63115,01
29,63116,01
29,63117,01
29,63117,02
29,63118,01
29,63119,01
29,63119,02
29,63120,01
29,63121,01
29,63122,01
29,63122,02
29,63123,01
29,63123,02
29,63124,01
29,63124,02
29,63125,01
29,63125,02
29,63126,02
29,63127,02
29,63128,02
29,63129,02
29,63130,01
29,63130,02
29,63131,02
29,63132,01
29,63132,02
29,63133,01
29,63134,01
29,63135,01
29,63136,01
29,63137,01
29,63138,01
29,63139,01
29,63140,01
29,63141,01
29,63141,02
29,63143,01
29,63144,01
29,63144,02
29,63146,01
29,63146,02
29,63147,01
29,63155,01
29,63301,02
29,63301,03
29,63303,02
29,63303,03
29,63304,02
29,63304,03
29,63330,06
29,63332,03
29,63333,03
29,63334,03
29,63334,06
29,63336,06
29,63339,06
29,63341,02
29,63341,03
29,63343,03
29,63343,06
29,63344,03
29,63344,06
29,63345,06
29,63347,03
29,63348,03
29,63349,03
29,63350,03
29,63351,03
29,63352,04
29,63352,06
29,63353,06
29,63357,03
29,63359,03
29,63359,06
29,63361,03
29,63362,03
29,63363,03
29,63366,02
29,63366,03
29,63367,03
29,63368,02
29,63368,03
29,63369,03
29,63370,03
29,63373,03
29,63376,02
29,63376,03
29,63377,03
29,63379,03
29,63381,03
29,63382,06
29,63383,03
29,63384,03
29,63384,06
29,63385,02
29,63385,03
29,63386,03
29,63387,03
29,63388,03
29,63389,03
29,63390,03
29,63401,06
29,63430,06
29,63431,06
29,63432,06
29,63433,06
29,63434,06
29,63435,06
29,63436,06
29,63437,06
29,63438,06
29,63439,06
29,63440,06
29,63441,06
29,63443,06
29,63445,06
29,63446,06
29,63447,06
29,63448,06
29,63450,06
29,63451,06
29,63452,06
29,63453,06
29,63454,06
29,63456,06
29,63457,06
29,63458,06
29,63459,06
29,63460,06
29,63461,06
29,63462,06
29,63463,06
29,63464,06
29,63465,06
29,63467,06
29,63468,06
29,63469,06
29,63471,06
29,63472,06
29,63473,06
29,63474,06
29,63501,06
29,63530,06
29,63531,06
29,63532,06
29,63533,06
29,63534,06
29,63535,06
29,63536,06
29,63537,06
29,63538,06
29,63539,06
29,63540,06
29,63541,06
29,63543,06
29,63544,06
29,63545,06
29,63546,06
29,63547,06
29,63548,06
29,63549,06
29,63551,06
29,63552,06
29,63555,06
29,63556,06
29,63557,06
29,63558,06
29,63559,06
29,63560,06
29,63561,06
29,63563,06
29,63565,06
29,63566,06
29,63567,06
29,63601,08
29,63620,08
29,63621,08
29,63622,08
29,63623,08
29,63624,08
29,63625,08
29,63626,08
29,63627,08
29,63628,08
29,63629,08
29,63630,08
29,63631,08
29,63633,08
29,63636,08
29,63637,08
29,63638,08
29,63640,08
29,63645,08
29,63648,08
29,63650,08
29,63653,08
29,63654,08
29,63655,08
29,63656,08
29,63660,08
29,63662,08
29,63663,08
29,63664,08
29,63665,08
29,63666,08
29,63670,08
29,63673,08
29,63674,08
29,63675,08
29,63701,08
29,63703,08
29,63730,08
29,63732,08
29,63735,08
29,63736,08
29,63738,08
29,63739,08
29,63740,08
29,63742,08
29,63743,08
29,63744,08
29,63745,08
29,63746,08
29,63747,08
29,63748,08
29,63750,08
29,63751,08
29,63755,08
29,63758,08
29,63760,08
29,63763,08
29,63764,08
29,63766,08
29,63767,08
29,63769,08
29,63770,08
29,63771,08
29,63774,08
29,63775,08
29,63780,08
29,63781,08
29,63782,08
29,63783,08
29,63784,08
29,63785,08
29,63787,08
29,63801,08
29,63820,08
29,63821,08
29,63822,08
29,63823,08
29,63824,08
29,63825,08
29,63826,08
29,63827,08
29,63828,08
29,63829,08
29,63830,08
29,63833,08
29,63834,08
29,63837,08
29,63839,08
29,63841,08
29,63845,08
29,63846,08
29,63847,08
29,63848,08
29,63849,08
29,63851,08
29,63852,08
29,63853,08
29,63855,08
29,63857,08
29,63860,08
29,63862,08
29,63863,08
29,63866,08
29,63867,08
29,63868,08
29,63869,08
29,63870,08
29,63873,08
29,63874,08
29,63876,08
29,63877,08
29,63878,08
29,63879,08
29,63880,08
29,63882,08
29,63901,08
29,63902,08
29,63932,08
29,63933,08
29,63934,08
29,63935,08
29,63936,08
29,63937,08
29,63939,08
29,63940,08
29,63941,08
29,63942,08
29,63943,08
29,63944,08
29,63945,08
29,63951,08
29,63952,08
29,63953,08
29,63954,08
29,63955,08
29,63956,08
29,63957,08
29,63960,08
29,63961,08
29,63962,08
29,63964,08
29,63965,08
29,63966,08
29,63967,08
29,64001,05
29,64011,04
29,64011,05
29,64012,04
29,64014,05
29,64014,06
29,64015,05
29,64015,06
29,64016,06
29,64017,05
29,64018,06
29,64019,04
29,64020,04
29,64020,05
29,64021,05
29,64022,05
29,64024,05
29,64024,06
29,64029,05
29,64029,06
29,64030,05
29,64034,04
29,64034,05
29,64035,05
29,64035,06
29,64036,05
29,64037,05
29,64040,04
29,64048,06
29,64050,05
29,64052,05
29,64053,05
29,64054,05
29,64055,05
29,64055,06
29,64056,05
29,64056,06
29,64057,05
29,64057,06
29,64058,05
29,64058,06
29,64060,06
29,64061,04
29,64062,05
29,64062,06
29,64063,05
29,64063,06
29,64064,05
29,64064,06
29,64065,05
29,64066,06
29,64067,05
29,64068,05
29,64068,06
29,64070,04
29,64070,05
29,64071,05
29,64072,06
29,64074,05
29,64075,05
29,64075,06
29,64076,04
29,64076,05
29,64077,05
29,64077,06
29,64078,04
29,64079,06
29,64080,04
29,64080,05
29,64081,05
29,64082,04
29,64082,05
29,64083,04
29,64084,05
29,64085,05
29,64086,05
29,64086,06
29,64088,06
29,64089,06
29,64090,04
29,64092,06
29,64093,04
29,64093,05
29,64096,05
29,64097,05
29,64098,06
29,64101,05
29,64102,05
29,64105,05
29,64106,05
29,64108,05
29,64109,05
29,64110,05
29,64111,05
29,64112,05
29,64113,05
29,64114,05
29,64116,05
29,64116,06
29,64117,05
29,64118,05
29,64118,06
29,64119,05
29,64119,06
29,64120,05
29,64123,05
29,64124,05
29,64125,05
29,64126,05
29,64127,05
29,64128,05
29,64129,05
29,64130,05
29,64131,05
29,64132,05
29,64133,05
29,64134,05
29,64136,05
29,64137,05
29,64138,05
29,64139,05
29,64145,05
29,64146,05
29,64147,04
29,64147,05
29,64149,05
29,64150,06
29,64151,06
29,64152,06
29,64153,06
29,64154,06
29,64155,06
29,64156,06
29,64157,06
29,64158,06
29,64161,05
29,64161,06
29,64163,06
29,64164,06
29,64165,06
29,64166,06
29,64167,06
29,64192,05
29,64401,06
29,64402,06
29,64420,06
29,64421,06
29,64422,06
29,64423,06
29,64424,06
29,64426,06
29,64427,06
29,64428,06
29,64429,06
29,64430,06
29,64431,06
29,64432,06
29,64433,06
29,64434,06
29,64436,06
29,64437,06
29,64438,06
29,64439,06
29,64440,06
29,64441,06
29,64442,06
29,64443,06
29,64444,06
29,64445,06
29,64446,06
29,64448,06
29,64449,06
29,64451,06
29,64453,06
29,64454,06
29,64455,06
29,64456,06
29,64457,06
29,64458,06
29,64459,06
29,64461,06
29,64463,06
29,64465,06
29,64466,06
29,64467,06
29,64468,06
29,64469,06
29,64470,06
29,64471,06
29,64473,06
29,64474,06
29,64475,06
29,64476,06
29,64477,06
29,64479,06
29,64480,06
29,64481,06
29,64482,06
29,64483,06
29,64484,06
29,64485,06
29,64486,06
29,64487,06
29,64489,06
29,64490,06
29,64491,06
29,64492,06
29,64493,06
29,64494,06
29,64496,06
29,64497,06
29,64498,06
29,64499,06
29,64501,06
29,64503,06
29,64504,06
29,64505,06
29,64506,06
29,64507,06
29,64601,06
29,64620,06
29,64622,06
29,64623,06
29,64624,05
29,64624,06
29,64625,06
29,64628,06
29,64630,06
29,64631,06
29,64632,06
29,64633,06
29,64635,06
29,64636,06
29,64637,05
29,64637,06
29,64638,06
29,64639,06
29,64640,06
29,64641,06
29,64642,06
29,64643,06
29,64644,06
29,64645,06
29,64646,06
29,64647,06
29,64648,06
29,64649,06
29,64650,06
29,64651,06
29,64652,06
29,64653,06
29,64654,06
29,64655,06
29,64656,06
29,64657,06
29,64658,06
29,64659,06
29,64660,06
29,64661,06
29,64664,06
29,64667,06
29,64668,05
29,64668,06
29,64670,06
29,64671,05
29,64671,06
29,64672,06
29,64673,06
29,64674,06
29,64676,06
29,64679,06
29,64681,06
29,64682,06
29,64683,06
29,64686,06
29,64688,06
29,64689,06
29,64701,04
29,64720,04
29,64722,04
29,64723,04
29,64724,04
29,64725,04
29,64726,04
29,64728,04
29,64730,04
29,64733,04
29,64734,04
29,64735,04
29,64738,04
29,64739,04
29,64740,04
29,64741,04
29,64742,04
29,64743,04
29,64744,04
29,64745,04
29,64746,04
29,64747,04
29,64748,04
29,64748,07
29,64750,04
29,64752,04
29,64755,04
29,64755,07
29,64756,04
29,64759,04
29,64761,04
29,64762,04
29,64763,04
29,64765,04
29,64767,04
29,64769,04
29,64770,04
29,64771,04
29,64772,04
29,64776,04
29,64778,04
29,64779,04
29,64780,04
29,64781,04
29,64783,04
29,64784,04
29,64788,04
29,64790,04
29,64801,07
29,64804,07
29,64830,07
29,64831,07
29,64832,04
29,64832,07
29,64833,07
29,64834,07
29,64835,07
29,64836,07
29,64840,07
29,64841,07
29,64842,07
29,64843,07
29,64844,07
29,64847,07
29,64848,07
29,64849,07
29,64850,07
29,64854,07
29,64855,04
29,64855,07
29,64856,07
29,64857,07
29,64858,07
29,64859,07
29,64861,07
29,64862,07
29,64863,07
29,64865,07
29,64866,07
29,64867,07
29,64870,07
29,64873,07
29,64874,07
29,65001,03
29,65010,04
29,65011,04
29,65013,03
29,65014,03
29,65016,03
29,65017,03
29,65018,04
29,65020,03
29,65020,04
29,65023,03
29,65023,04
29,65024,03
29,65025,04
29,65026,03
29,65026,04
29,65032,03
29,65034,04
29,65035,03
29,65037,04
29,65039,03
29,65039,04
29,65040,03
29,65041,03
29,65043,03
29,65046,04
29,65047,03
29,65048,03
29,65049,03
29,65050,04
29,65051,03
29,65052,03
29,65053,03
29,65054,03
29,65058,03
29,65059,03
29,65061,03
29,65062,03
29,65063,03
29,65064,03
29,65065,03
29,65066,03
29,65066,08
29,65067,03
29,65068,04
29,65069,03
29,65072,03
29,65072,04
29,65074,03
29,65074,04
29,65075,03
29,65076,03
29,65077,03
