MISSOURI CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA),,
State,ZCTA,CongressionalDistrict
29,51640,6
29,52542,6
29,52573,6
29,52626,6
29,63005,2
29,63010,2
29,63010,3
29,63011,2
29,63012,3
29,63012,8
29,63013,3
29,63014,3
29,63015,3
29,63015,8
29,63016,3
29,63016,8
29,63017,2
29,63019,3
29,63019,8
29,63020,8
29,63021,2
29,63023,3
29,63023,8
29,63025,2
29,63025,3
29,63026,2
29,63026,3
29,63028,3
29,63028,8
29,63030,8
29,63031,1
29,63033,1
29,63034,1
29,63036,8
29,63037,3
29,63038,2
29,63039,3
29,63040,2
29,63041,3
29,63041,8
29,63042,1
29,63043,1
29,63043,2
29,63044,1
29,63044,2
29,63045,1
29,63047,8
29,63048,3
29,63049,2
29,63049,3
29,63050,3
29,63050,8
29,63051,3
29,63052,3
29,63053,3
29,63055,3
29,63056,3
29,63057,3
29,63060,3
29,63061,3
29,63068,3
29,63069,2
29,63069,3
29,63070,3
29,63070,8
29,63071,8
29,63072,3
29,63072,8
29,63073,3
29,63074,1
29,63074,2
29,63077,3
29,63079,3
29,63080,3
29,63080,8
29,63084,3
29,63087,8
29,63088,2
29,63089,3
29,63090,3
29,63091,3
29,63101,1
29,63102,1
29,63103,1
29,63104,1
29,63105,1
29,63105,2
29,63106,1
29,63107,1
29,63108,1
29,63109,1
29,63110,1
29,63111,1
29,63112,1
29,63113,1
29,63114,1
29,63114,2
29,63115,1
29,63116,1
29,63117,1
29,63117,2
29,63118,1
29,63119,1
29,63119,2
29,63120,1
29,63121,1
29,63122,1
29,63122,2
29,63123,1
29,63123,2
29,63124,1
29,63124,2
29,63125,1
29,63125,2
29,63126,2
29,63127,2
29,63128,2
29,63129,2
29,63130,1
29,63130,2
29,63131,2
29,63132,1
29,63132,2
29,63133,1
29,63134,1
29,63135,1
29,63136,1
29,63137,1
29,63138,1
29,63139,1
29,63140,1
29,63141,1
29,63141,2
29,63143,1
29,63144,1
29,63144,2
29,63146,1
29,63146,2
29,63147,1
29,63155,1
29,63301,2
29,63301,3
29,63303,2
29,63303,3
29,63304,2
29,63304,3
29,63330,6
29,63332,3
29,63333,3
29,63334,3
29,63334,6
29,63336,6
29,63339,6
29,63341,2
29,63341,3
29,63343,3
29,63343,6
29,63344,3
29,63344,6
29,63345,6
29,63347,3
29,63348,3
29,63349,3
29,63350,3
29,63351,3
29,63352,4
29,63352,6
29,63353,6
29,63357,3
29,63359,3
29,63359,6
29,63361,3
29,63362,3
29,63363,3
29,63366,2
29,63366,3
29,63367,3
29,63368,2
29,63368,3
29,63369,3
29,63370,3
29,63373,3
29,63376,2
29,63376,3
29,63377,3
29,63379,3
29,63381,3
29,63382,6
29,63383,3
29,63384,3
29,63384,6
29,63385,2
29,63385,3
29,63386,3
29,63387,3
29,63388,3
29,63389,3
29,63390,3
29,63401,6
29,63430,6
29,63431,6
29,63432,6
29,63433,6
29,63434,6
29,63435,6
29,63436,6
29,63437,6
29,63438,6
29,63439,6
29,63440,6
29,63441,6
29,63443,6
29,63445,6
29,63446,6
29,63447,6
29,63448,6
29,63450,6
29,63451,6
29,63452,6
29,63453,6
29,63454,6
29,63456,6
29,63457,6
29,63458,6
29,63459,6
29,63460,6
29,63461,6
29,63462,6
29,63463,6
29,63464,6
29,63465,6
29,63467,6
29,63468,6
29,63469,6
29,63471,6
29,63472,6
29,63473,6
29,63474,6
29,63501,6
29,63530,6
29,63531,6
29,63532,6
29,63533,6
29,63534,6
29,63535,6
29,63536,6
29,63537,6
29,63538,6
29,63539,6
29,63540,6
29,63541,6
29,63543,6
29,63544,6
29,63545,6
29,63546,6
29,63547,6
29,63548,6
29,63549,6
29,63551,6
29,63552,6
29,63555,6
29,63556,6
29,63557,6
29,63558,6
29,63559,6
29,63560,6
29,63561,6
29,63563,6
29,63565,6
29,63566,6
29,63567,6
29,63601,8
29,63620,8
29,63621,8
29,63622,8
29,63623,8
29,63624,8
29,63625,8
29,63626,8
29,63627,8
29,63628,8
29,63629,8
29,63630,8
29,63631,8
29,63633,8
29,63636,8
29,63637,8
29,63638,8
29,63640,8
29,63645,8
29,63648,8
