NEBRASKA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
31,51557,01
31,57078,03
31,66541,03
31,68001,01
31,68002,01
31,68003,01
31,68004,01
31,68005,01
31,68007,01
31,68007,02
31,68008,01
31,68010,02
31,68014,01
31,68015,01
31,68016,01
31,68017,01
31,68018,01
31,68019,01
31,68020,01
31,68022,02
31,68023,01
31,68025,01
31,68028,02
31,68029,01
31,68030,03
31,68031,01
31,68033,01
31,68034,01
31,68036,01
31,68037,01
31,68038,01
31,68039,01
31,68040,01
31,68041,01
31,68042,01
31,68044,01
31,68045,01
31,68046,02
31,68047,01
31,68047,03
31,68048,01
31,68050,01
31,68055,01
31,68057,01
31,68058,01
31,68059,02
31,68061,01
31,68062,01
31,68063,01
31,68064,01
31,68064,02
31,68065,01
31,68066,01
31,68067,01
31,68068,01
31,68069,02
31,68070,01
31,68071,01
31,68072,01
31,68073,01
31,68102,02
31,68104,02
31,68105,02
31,68106,02
31,68107,02
31,68108,02
31,68110,02
31,68111,02
31,68112,01
31,68112,02
31,68113,01
31,68114,02
31,68116,02
31,68117,02
31,68118,02
31,68122,01
31,68122,02
31,68123,01
31,68123,02
31,68124,02
31,68127,02
31,68128,02
31,68130,02
31,68131,02
31,68132,02
31,68133,01
31,68133,02
31,68134,02
31,68135,02
31,68136,02
31,68137,02
31,68138,02
31,68142,01
31,68142,02
31,68144,02
31,68147,01
31,68147,02
31,68152,01
31,68152,02
31,68154,02
31,68157,01
31,68157,02
31,68164,02
31,68178,02
31,68301,01
31,68301,03
31,68303,03
31,68304,01
31,68305,03
31,68307,01
31,68309,03
31,68310,03
31,68313,01
31,68314,01
31,68315,03
31,68316,01
31,68316,03
31,68317,01
31,68318,03
31,68319,03
31,68320,03
31,68321,03
31,68322,03
31,68323,03
31,68324,01
31,68325,03
31,68326,03
31,68327,03
31,68328,03
31,68329,01
31,68329,03
31,68331,03
31,68332,03
31,68333,01
31,68333,03
31,68335,03
31,68336,01
31,68337,03
31,68338,03
31,68339,01
31,68340,03
31,68341,03
31,68342,03
31,68343,01
31,68343,03
31,68344,01
31,68345,03
31,68346,01
31,68347,01
31,68348,03
31,68349,01
31,68350,03
31,68351,03
31,68352,03
31,68354,03
31,68355,03
31,68357,03
31,68358,01
31,68358,03
31,68359,01
31,68359,03
31,68360,01
31,68361,03
31,68362,03
31,68364,01
31,68365,03
31,68366,01
31,68367,01
31,68367,03
31,68368,01
31,68370,03
31,68371,03
31,68372,01
31,68375,03
31,68376,03
31,68377,03
31,68378,03
31,68379,03
31,68380,03
31,68381,03
31,68382,01
31,68401,03
31,68402,01
31,68403,01
31,68404,01
31,68405,01
31,68406,03
31,68407,01
31,68409,01
31,68410,01
31,68413,01
31,68414,03
31,68415,03
31,68416,03
31,68417,01
31,68418,01
31,68419,01
31,68420,03
