NEVADA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
32,84034,04
32,89001,04
32,89002,03
32,89003,04
32,89004,03
32,89004,04
32,89005,03
32,89005,04
32,89007,04
32,89008,04
32,89010,04
32,89011,01
32,89011,03
32,89012,03
32,89013,04
32,89014,01
32,89014,03
32,89015,03
32,89017,04
32,89018,04
32,89019,03
32,89020,04
32,89021,04
32,89022,04
32,89025,04
32,89026,03
32,89027,04
32,89029,03
32,89030,01
32,89030,04
32,89031,04
32,89032,04
32,89039,03
32,89040,04
32,89042,04
32,89043,04
32,89044,03
32,89045,04
32,89046,03
32,89047,04
32,89048,04
32,89049,04
32,89052,03
32,89054,03
32,89060,04
32,89061,04
32,89074,03
32,89081,04
32,89084,04
32,89085,04
32,89086,04
32,89101,01
32,89102,01
32,89103,01
32,89104,01
32,89106,01
32,89106,04
32,89107,01
32,89108,01
32,89108,04
32,89109,01
32,89110,01
32,89110,04
32,89113,01
32,89113,03
32,89115,01
32,89115,04
32,89117,01
32,89117,03
32,89118,01
32,89118,03
32,89119,01
32,89119,03
32,89120,01
32,89120,03
32,89121,01
32,89122,01
32,89122,03
32,89123,03
32,89124,03
32,89124,04
32,89128,01
32,89128,04
32,89129,04
32,89130,04
32,89131,04
32,89134,03
32,89134,04
32,89135,03
32,89138,03
32,89139,03
32,89141,03
32,89142,01
32,89142,04
32,89143,04
32,89144,03
32,89144,04
32,89145,01
32,89145,03
32,89146,01
32,89147,01
32,89147,03
32,89148,03
32,89149,04
32,89156,01
32,89156,03
32,89156,04
32,89161,03
32,89166,04
32,89169,01
32,89178,03
32,89179,03
32,89183,03
32,89191,04
32,89301,04
32,89310,02
32,89310,04
32,89311,04
32,89314,04
32,89316,02
32,89316,04
32,89317,04
32,89318,04
32,89319,04
32,89402,02
32,89403,02
32,89404,02
32,89405,02
32,89406,02
32,89408,02
32,89409,04
32,89410,02
32,89411,02
32,89412,02
32,89413,02
32,89414,02
32,89415,04
32,89418,02
32,89419,02
32,89420,04
32,89421,02
32,89422,04
32,89423,02
32,89424,02
32,89425,02
32,89426,02
32,89427,04
32,89428,02
32,89429,02
32,89430,04
32,89431,02
32,89433,02
32,89434,02
32,89436,02
32,89438,02
32,89439,02
32,89440,02
32,89441,02
32,89442,02
32,89444,02
32,89444,04
32,89445,02
32,89446,02
32,89447,02
32,89447,04
32,89448,02
32,89449,02
32,89450,02
32,89451,02
32,89460,02
32,89501,02
32,89502,02
32,89503,02
32,89506,02
32,89508,02
32,89509,02
32,89510,02
32,89511,02
32,89512,02
32,89519,02
32,89521,02
32,89523,02
32,89701,02
32,89702,02
32,89703,02
32,89704,02
32,89705,02
32,89706,02
32,89801,02
32,89815,02
32,89820,02
32,89821,02
32,89822,02
32,89823,02
32,89825,02
32,89826,02
32,89828,02
32,89830,02
32,89831,02
32,89832,02
32,89833,02
32,89834,02
32,89835,02
32,89883,02
