NEW HAMPSHIRE CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
33,03031,01
33,03031,02
33,03032,01
33,03033,02
33,03034,01
33,03034,02
33,03036,01
33,03037,02
33,03038,01
33,03042,01
33,03043,02
33,03044,01
33,03045,01
33,03046,02
33,03047,02
33,03048,02
33,03049,02
33,03051,02
33,03052,02
33,03053,01
33,03054,01
33,03055,02
33,03057,02
33,03060,02
33,03062,02
33,03063,02
33,03064,02
33,03070,02
33,03071,02
33,03076,02
33,03077,01
33,03079,02
33,03082,02
33,03084,02
33,03086,02
33,03087,02
33,03101,01
33,03102,01
33,03103,01
33,03104,01
33,03106,01
33,03109,01
33,03110,01
33,03215,02
33,03216,02
33,03217,02
33,03218,01
33,03220,01
33,03220,02
33,03221,02
33,03222,02
33,03223,01
33,03223,02
33,03224,02
33,03225,01
33,03226,01
33,03226,02
33,03227,01
33,03229,02
33,03230,02
33,03231,02
33,03233,02
33,03234,02
33,03235,02
33,03237,01
33,03238,02
33,03240,02
33,03241,02
33,03242,02
33,03243,02
33,03244,02
33,03245,02
33,03246,01
33,03249,01
33,03251,02
33,03253,01
33,03254,01
33,03255,02
33,03256,01
33,03257,02
33,03258,02
33,03259,01
33,03260,02
33,03261,01
33,03261,02
33,03262,02
33,03263,02
33,03264,02
33,03266,02
33,03268,02
33,03269,01
33,03273,02
33,03275,02
33,03276,01
33,03276,02
33,03278,02
33,03279,02
33,03280,02
33,03281,02
33,03282,02
33,03284,02
33,03285,02
33,03287,02
33,03290,01
33,03290,02
33,03291,01
33,03293,02
33,03301,02
33,03303,02
33,03304,02
33,03307,02
33,03431,02
33,03440,02
33,03441,02
33,03442,02
33,03443,02
33,03444,02
33,03445,02
33,03446,02
33,03447,02
33,03448,02
33,03449,02
33,03450,02
33,03451,02
33,03452,02
33,03455,02
33,03456,02
33,03457,02
33,03458,02
33,03461,02
33,03462,02
33,03464,02
33,03465,02
33,03466,02
33,03467,02
33,03470,02
33,03561,02
33,03570,02
33,03574,02
33,03575,02
33,03576,02
33,03579,02
33,03580,02
33,03581,02
33,03582,02
33,03583,02
33,03584,02
33,03585,02
33,03586,02
33,03588,02
33,03590,02
33,03592,02
33,03593,02
33,03595,02
33,03597,02
33,03598,02
33,03601,02
33,03602,02
33,03603,02
33,03604,02
33,03605,02
33,03607,02
33,03608,02
33,03609,02
33,03740,02
33,03741,02
33,03743,02
33,03745,02
33,03746,02
33,03748,02
33,03750,02
33,03751,02
33,03752,02
33,03753,02
33,03754,02
33,03755,02
33,03765,02
33,03766,02
33,03768,02
33,03770,02
33,03771,02
33,03773,02
33,03774,02
33,03777,02
33,03779,02
33,03780,02
33,03781,02
33,03782,02
33,03784,02
33,03785,02
33,03801,01
33,03809,01
33,03810,01
33,03811,01
33,03811,02
33,03812,01
33,03813,01
33,03814,01
33,03816,01
33,03817,01
33,03818,01
33,03819,01
33,03820,01
33,03823,01
33,03824,01
33,03825,01
33,03826,01
33,03827,01
33,03830,01
33,03832,01
33,03833,01
33,03835,01
33,03836,01
33,03837,01
33,03838,01
33,03839,01
33,03840,01
33,03841,01
33,03842,01
33,03844,01
33,03845,01
33,03846,01
33,03847,01
33,03848,01
33,03849,01
33,03850,01
33,03851,01
33,03852,01
33,03853,01
33,03854,01
33,03855,01
33,03856,01
33,03857,01
33,03858,01
33,03860,01
33,03861,01
33,03862,01
33,03864,01
33,03865,01
33,03865,02
33,03867,01
33,03868,01
33,03869,01
33,03870,01
33,03871,01
33,03872,01
33,03873,01
33,03874,01
33,03875,01
33,03878,01
33,03882,01
33,03883,01
33,03884,01
33,03885,01
33,03886,01
33,03887,01
33,03890,01
33,03894,01
