NEW JERSEY CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
34,07001,06
34,07002,08
34,07002,10
34,07003,08
34,07003,10
34,07003,11
34,07004,11
34,07005,11
34,07006,11
34,07008,06
34,07009,11
34,07010,09
34,07011,09
34,07012,09
34,07013,09
34,07014,09
34,07016,07
34,07017,08
34,07017,10
34,07018,10
34,07020,09
34,07021,11
34,07022,08
34,07023,12
34,07024,09
34,07026,09
34,07027,07
34,07028,10
34,07029,08
34,07030,08
34,07031,09
34,07032,08
34,07032,09
34,07033,07
34,07034,11
34,07035,11
34,07036,07
34,07036,10
34,07039,07
34,07039,11
34,07040,10
34,07041,07
34,07041,10
34,07042,10
34,07043,09
34,07043,10
34,07043,11
34,07044,10
34,07044,11
34,07045,11
34,07046,11
34,07047,08
34,07050,10
34,07052,10
34,07052,11
34,07054,11
34,07055,09
34,07057,09
34,07058,11
34,07059,07
34,07060,07
34,07060,12
34,07062,07
34,07062,12
34,07063,07
34,07063,12
34,07064,06
34,07065,10
34,07066,07
34,07067,06
34,07068,11
34,07069,07
34,07070,09
34,07071,09
34,07072,09
34,07073,09
34,07074,09
34,07075,09
34,07076,07
34,07076,12
34,07077,06
34,07078,07
34,07079,10
34,07080,06
34,07081,07
34,07082,11
34,07083,07
34,07083,08
34,07083,10
34,07086,08
34,07087,08
34,07088,10
34,07090,07
34,07090,12
34,07092,07
34,07093,08
34,07094,09
34,07095,06
34,07102,08
34,07102,10
34,07103,10
34,07104,08
34,07104,10
34,07105,08
34,07105,10
34,07106,10
34,07107,08
34,07107,10
34,07108,10
34,07109,08
34,07109,11
34,07110,09
34,07110,11
34,07111,10
34,07112,10
34,07114,08
34,07114,10
34,07201,08
34,07202,08
34,07203,10
34,07204,10
34,07205,10
34,07206,08
34,07208,08
34,07208,10
34,07302,08
34,07302,10
34,07304,08
34,07304,10
34,07305,08
34,07305,10
34,07306,08
34,07306,10
34,07307,08
34,07310,08
34,07311,08
34,07401,05
34,07403,11
34,07405,11
34,07407,09
34,07410,05
34,07416,05
34,07417,05
34,07418,05
34,07419,05
34,07420,11
34,07421,05
34,07422,05
34,07423,05
