NEW MEXICO CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
35,79837,02
35,81137,03
35,86504,03
35,86515,03
35,87001,01
35,87001,03
35,87002,02
35,87004,01
35,87004,03
35,87005,02
35,87006,02
35,87007,02
35,87008,01
35,87010,03
35,87011,02
35,87012,03
35,87013,03
35,87014,02
35,87014,03
35,87015,01
35,87015,03
35,87016,01
35,87017,03
35,87018,03
35,87020,02
35,87021,02
35,87022,02
35,87023,02
35,87024,03
35,87025,03
35,87026,01
35,87026,02
35,87027,03
35,87028,02
35,87029,03
35,87031,01
35,87031,02
35,87032,01
35,87034,02
35,87035,01
35,87035,03
35,87036,01
35,87036,02
35,87037,03
35,87038,02
35,87040,02
35,87041,03
35,87042,02
35,87043,01
35,87043,03
35,87044,03
35,87045,02
35,87045,03
35,87046,03
35,87047,01
35,87047,03
35,87048,01
35,87048,03
35,87049,02
35,87051,02
35,87052,03
35,87053,03
35,87056,03
35,87059,01
35,87059,02
35,87061,01
35,87062,02
35,87063,01
35,87064,03
35,87068,02
35,87070,01
35,87072,03
35,87083,03
35,87102,01
35,87104,01
35,87105,01
35,87105,02
35,87106,01
35,87107,01
35,87108,01
35,87109,01
35,87110,01
35,87111,01
35,87112,01
35,87113,01
35,87114,01
35,87114,03
35,87116,01
35,87117,01
35,87117,02
35,87120,01
35,87121,01
35,87121,02
35,87121,03
35,87122,01
35,87123,01
35,87124,03
35,87144,01
35,87144,03
35,87301,03
35,87305,02
35,87305,03
35,87310,03
35,87311,03
35,87312,03
35,87313,03
35,87315,02
35,87316,03
35,87317,03
35,87319,03
35,87320,03
35,87321,02
35,87321,03
35,87322,03
35,87323,02
35,87323,03
35,87325,03
35,87326,03
35,87327,02
35,87327,03
35,87328,03
35,87347,03
35,87357,02
35,87364,03
35,87375,03
35,87401,03
35,87402,03
35,87410,03
35,87412,03
35,87413,03
35,87415,03
35,87416,03
35,87417,03
35,87418,03
35,87419,03
35,87420,03
35,87421,03
35,87455,03
35,87461,03
35,87499,03
35,87501,03
35,87505,03
35,87506,03
35,87507,03
35,87508,03
35,87510,03
35,87511,03
35,87512,03
35,87513,03
35,87514,03
35,87515,03
35,87516,03
35,87517,03
35,87518,03
35,87519,03
35,87520,03
35,87521,03
35,87522,03
35,87523,03
35,87524,03
35,87525,03
35,87527,03
35,87528,03
35,87529,03
35,87530,03
35,87531,03
35,87532,03
35,87533,03
35,87535,03
35,87537,03
35,87538,03
35,87539,03
35,87540,03
35,87543,03
35,87544,03
35,87548,03
35,87549,03
35,87551,03
35,87552,03
35,87553,03
35,87554,03
35,87556,03
35,87557,03
35,87558,03
35,87560,03
35,87562,03
35,87564,03
35,87565,03
35,87566,03
35,87567,03
35,87569,03
35,87571,03
35,87573,03
35,87574,03
35,87575,03
35,87577,03
35,87578,03
35,87579,03
35,87580,03
35,87581,03
35,87582,03
35,87583,03
35,87701,03
35,87710,03
35,87711,02
35,87711,03
35,87712,03
35,87713,03
35,87714,03
35,87715,03
35,87718,03
35,87722,03
35,87723,03
35,87724,02
35,87728,03
35,87729,03
35,87730,03
35,87731,03
35,87732,03
35,87733,03
35,87734,03
35,87735,03
35,87736,03
35,87740,03
35,87742,03
35,87743,03
35,87745,03
35,87746,03
35,87747,03
35,87749,03
35,87750,03
35,87752,03
35,87753,03
35,87801,02
35,87820,02
35,87821,02
35,87823,02
35,87824,02
35,87825,02
35,87827,02
35,87828,02
35,87829,02
35,87830,02
35,87831,02
35,87832,02
35,87901,02
35,87930,02
35,87931,02
35,87933,02
35,87935,02
35,87936,02
35,87937,02
35,87939,02
35,87940,02
35,87941,02
35,87942,02
35,87943,02
35,88001,02
35,88002,02
35,88003,02
35,88004,02
35,88005,02
35,88007,02
35,88008,02
35,88009,02
35,88011,02
35,88012,02
35,88020,02
35,88021,02
35,88022,02
35,88023,02
35,88024,02
35,88025,02
35,88026,02
35,88027,02
35,88028,02
35,88029,02
35,88030,02
35,88032,02
35,88033,02
35,88034,02
35,88038,02
35,88039,02
35,88040,02
35,88041,02
35,88042,02
35,88043,02
35,88044,02
35,88045,02
35,88046,02
35,88047,02
35,88048,02
35,88049,02
35,88051,02
35,88052,02
35,88053,02
35,88055,02
35,88056,02
35,88061,02
35,88063,02
35,88065,02
35,88072,02
35,88081,02
35,88101,03
35,88103,03
35,88112,03
35,88113,02
35,88114,02
35,88115,02
35,88116,02
35,88118,02
35,88119,02
35,88120,03
35,88121,03
35,88124,02
35,88124,03
35,88125,02
35,88126,02
35,88130,02
35,88130,03
35,88132,02
35,88134,02
35,88135,03
35,88136,02
35,88201,02
35,88203,02
35,88210,02
35,88220,02
35,88230,02
35,88231,02
35,88232,02
35,88240,02
35,88242,02
35,88250,02
35,88252,02
35,88253,02
35,88254,02
35,88255,02
35,88256,02
35,88260,02
35,88262,02
35,88263,02
35,88264,02
35,88265,02
35,88267,02
35,88268,02
35,88301,01
35,88301,02
35,88310,02
35,88311,02
35,88312,02
35,88314,02
35,88316,02
35,88317,02
35,88318,01
35,88318,02
35,88321,01
35,88321,02
35,88323,02
35,88324,02
35,88325,02
35,88330,02
35,88336,02
35,88337,02
35,88338,02
35,88339,02
35,88340,02
35,88341,02
35,88342,02
35,88343,02
35,88344,02
35,88345,02
35,88346,02
35,88347,02
35,88348,02
35,88349,02
35,88350,02
35,88351,02
35,88352,02
35,88353,02
35,88354,02
35,88355,02
35,88401,03
35,88410,03
35,88411,03
35,88414,03
35,88415,03
35,88416,03
35,88417,02
35,88418,03
35,88419,03
35,88421,03
35,88422,03
35,88424,03
35,88426,03
35,88427,03
35,88430,03
35,88431,02
35,88431,03
35,88434,03
35,88435,02
35,88436,03
