NEW YORK CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
36,06390,01
36,10001,10
36,10001,12
36,10002,07
36,10002,12
36,10003,10
36,10003,12
36,10004,07
36,10004,10
36,10005,10
36,10006,10
36,10007,07
36,10007,10
36,10009,07
36,10009,12
36,10010,12
36,10011,10
36,10011,12
36,10012,07
36,10012,10
36,10012,12
36,10013,07
36,10013,10
36,10014,10
36,10016,12
36,10017,12
36,10018,10
36,10018,12
36,10019,10
36,10019,12
36,10020,12
36,10021,12
36,10022,12
36,10023,10
36,10024,10
36,10024,13
36,10025,10
36,10025,13
36,10026,10
36,10026,13
36,10027,10
36,10027,13
36,10028,12
36,10029,12
36,10029,13
36,10030,13
36,10031,13
36,10032,13
36,10033,13
36,10034,13
36,10035,12
36,10035,13
36,10036,10
36,10036,12
36,10037,13
36,10038,07
36,10038,10
36,10039,13
36,10040,13
36,10044,12
36,10065,12
36,10069,10
36,10075,12
36,10103,12
36,10110,12
36,10111,12
36,10112,12
36,10115,10
36,10119,12
36,10128,12
36,10128,13
36,10152,12
36,10153,12
36,10154,12
36,10162,12
36,10165,12
36,10167,12
36,10168,12
36,10169,12
36,10170,12
36,10171,12
36,10172,12
36,10173,12
36,10174,12
36,10177,12
36,10199,10
36,10271,10
36,10278,10
36,10279,10
36,10280,10
36,10282,10
36,10301,11
36,10302,11
36,10303,11
36,10304,11
36,10305,11
36,10306,11
36,10307,11
36,10308,11
36,10309,11
36,10310,11
36,10311,11
36,10312,11
36,10314,11
36,10451,15
36,10452,15
36,10453,13
36,10453,15
36,10454,15
36,10455,15
36,10456,15
36,10457,15
36,10458,13
36,10458,14
36,10458,15
36,10459,15
36,10460,14
36,10460,15
36,10461,14
36,10462,14
36,10462,15
36,10463,13
36,10463,16
36,10464,14
36,10465,14
36,10465,15
36,10466,14
36,10466,16
36,10467,13
36,10467,14
36,10467,16
36,10468,13
36,10468,15
36,10469,14
36,10469,16
36,10470,16
36,10471,16
36,10472,15
36,10473,15
36,10474,15
36,10475,14
36,10475,16
36,10501,18
36,10502,16
36,10502,17
36,10503,17
36,10504,17
36,10504,18
36,10505,18
36,10506,18
36,10507,18
36,10509,18
36,10510,17
36,10511,17
36,10512,18
36,10514,17
36,10516,18
36,10517,17
36,10518,18
36,10519,18
36,10520,17
36,10522,17
36,10523,17
36,10524,18
36,10526,18
36,10527,18
36,10528,16
36,10528,17
36,10530,16
36,10530,17
36,10532,17
36,10533,17
36,10535,17
36,10536,18
