OHIO CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
39,43001,12
39,43002,12
39,43002,15
39,43003,12
39,43004,03
39,43004,12
39,43005,07
39,43006,07
39,43008,12
39,43009,04
39,43010,08
39,43011,07
39,43011,12
39,43013,12
39,43014,07
39,43015,04
39,43015,12
39,43016,04
39,43016,12
39,43016,15
39,43017,04
39,43017,12
39,43017,15
39,43019,07
39,43019,12
39,43021,12
39,43022,07
39,43023,12
39,43025,12
39,43026,03
39,43026,12
39,43026,15
39,43028,07
39,43029,04
39,43029,15
39,43030,12
39,43031,12
39,43032,12
39,43033,12
39,43035,12
39,43036,04
39,43037,07
39,43040,04
39,43040,12
39,43044,04
39,43044,08
39,43044,15
39,43045,04
39,43046,12
39,43046,15
39,43050,07
39,43050,12
39,43054,03
39,43054,12
39,43055,12
39,43056,12
39,43060,04
39,43061,04
39,43061,12
39,43062,12
39,43062,15
39,43064,04
39,43064,12
39,43064,15
39,43065,12
39,43066,12
39,43067,04
39,43068,03
39,43068,12
39,43068,15
39,43070,04
39,43071,12
39,43072,04
39,43074,12
39,43076,12
39,43076,15
39,43077,04
39,43078,04
39,43078,08
39,43080,07
39,43080,12
39,43081,03
39,43081,12
39,43082,12
39,43084,04
39,43085,03
39,43085,12
39,43101,15
39,43102,15
39,43103,15
39,43105,15
39,43106,10
39,43107,15
39,43109,03
39,43110,03
39,43110,15
39,43111,15
39,43112,15
39,43113,15
39,43115,15
39,43116,15
39,43117,15
39,43119,03
39,43119,15
39,43123,03
39,43123,15
39,43125,03
39,43125,15
39,43126,15
39,43127,15
39,43128,10
39,43130,15
39,43135,15
39,43136,15
39,43137,03
39,43137,15
39,43138,15
39,43140,08
39,43140,15
39,43142,10
39,43143,10
39,43143,15
39,43144,15
39,43145,10
39,43145,15
39,43146,03
39,43146,15
39,43147,03
39,43147,12
39,43147,15
39,43148,15
39,43149,15
39,43150,15
39,43151,15
39,43152,15
39,43153,08
39,43153,10
39,43153,15
39,43154,15
39,43155,15
39,43156,15
39,43157,15
39,43158,15
39,43160,10
39,43160,15
39,43162,15
39,43164,15
39,43201,03
39,43201,12
39,43201,15
39,43202,03
39,43202,12
39,43203,03
39,43204,03
39,43204,15
39,43205,03
39,43206,03
39,43206,15
39,43207,03
39,43207,15
39,43209,03
39,43210,03
39,43210,15
39,43211,03
39,43212,03
39,43212,15
39,43213,03
39,43214,03
39,43214,12
39,43215,03
39,43215,15
39,43217,03
39,43217,15
39,43219,03
39,43220,15
39,43221,03
39,43221,12
39,43221,15
39,43222,03
39,43222,15
39,43223,03
39,43223,15
39,43224,03
39,43227,03
39,43228,03
39,43228,15
39,43229,03
39,43229,12
39,43230,03
39,43230,12
39,43231,03
39,43231,12
39,43232,03
39,43235,12
39,43235,15
39,43240,12
39,43302,04
39,43302,12
39,43310,04
39,43310,05
39,43311,04
39,43314,04
39,43314,12
39,43315,12
39,43316,04
39,43316,05
39,43317,12
39,43318,04
39,43319,04
39,43320,12
39,43321,12
39,43322,04
39,43323,05
39,43324,04
39,43326,05
39,43330,05
39,43331,04
39,43331,05
39,43332,04
39,43332,05
39,43333,04
39,43334,12
39,43336,04
39,43337,04
39,43337,05
39,43338,12
39,43340,04
39,43340,05
39,43341,04
39,43342,04
39,43342,12
39,43343,04
39,43344,04
39,43344,12
39,43345,04
39,43345,05
39,43347,04
39,43347,05
39,43348,04
39,43351,05
39,43356,12
39,43357,04
39,43358,04
39,43359,05
39,43360,04
39,43402,05
39,43403,05
39,43406,04
39,43406,05
39,43407,04
39,43408,05
39,43410,04
39,43412,05
39,43412,09
39,43413,05
39,43416,04
39,43416,05
39,43420,04
39,43430,04
39,43430,05
39,43431,04
39,43432,05
39,43433,09
39,43434,09
39,43435,04
39,43437,05
39,43438,09
39,43439,09
39,43440,09
39,43442,04
39,43443,05
39,43445,05
39,43445,09
39,43446,09
39,43447,05
39,43449,04
39,43449,05
39,43449,09
39,43450,05
39,43451,05
39,43452,05
39,43452,09
39,43456,09
39,43457,04
39,43457,05
39,43458,05
39,43460,05
39,43462,05
39,43463,05
39,43464,04
39,43464,09
39,43465,05
39,43466,05
39,43467,05
39,43468,05
39,43469,04
39,43469,05
39,43501,05
39,43502,05
39,43504,05
39,43505,05
39,43506,05
39,43511,05
39,43512,05
39,43515,05
39,43516,05
39,43517,05
39,43518,05
39,43519,05
39,43521,05
39,43522,05
39,43523,05
39,43524,05
39,43525,05
39,43526,05
39,43527,05
39,43528,05
39,43529,05
39,43531,05
39,43532,05
39,43533,05
39,43534,05
39,43535,05
39,43536,05
39,43537,05
39,43540,05
39,43541,05
39,43542,05
39,43543,05
39,43545,05
39,43547,05
39,43548,05
39,43549,05
39,43551,05
39,43553,05
39,43554,05
39,43555,05
39,43556,05
39,43557,05
39,43558,05
39,43560,05
39,43565,05
39,43566,05
39,43567,05
39,43569,05
39,43570,05
39,43571,05
39,43604,09
39,43605,05
39,43605,09
39,43606,05
39,43606,09
39,43607,09
39,43608,09
39,43609,09
39,43610,09
39,43611,09
39,43612,09
39,43613,05
39,43613,09
39,43614,05
39,43614,09
39,43615,05
39,43615,09
39,43616,09
39,43617,05
39,43619,05
39,43620,09
39,43623,05
39,43701,06
39,43701,12
39,43711,06
39,43713,06
39,43716,06
39,43717,06
39,43718,06
39,43719,06
39,43720,12
39,43721,12
39,43722,06
39,43723,06
39,43724,06
39,43724,15
39,43725,06
39,43727,12
39,43728,15
39,43730,15
39,43731,15
39,43732,06
39,43732,12
39,43733,06
39,43734,12
39,43735,12
39,43736,06
39,43738,12
39,43739,12
39,43739,15
39,43740,12
39,43746,12
39,43747,06
39,43748,15
39,43749,06
39,43749,07
39,43750,06
39,43754,06
39,43755,06
39,43756,15
39,43758,15
39,43759,06
39,43760,12
39,43760,15
39,43761,15
39,43762,06
39,43762,12
39,43764,15
39,43766,15
39,43767,06
39,43767,12
39,43768,06
39,43771,12
39,43772,06
39,43773,06
39,43777,12
39,43777,15
39,43778,06
39,43779,06
39,43780,06
39,43782,15
39,43783,15
39,43786,06
39,43787,06
39,43787,15
39,43788,06
39,43793,06
39,43802,06
39,43804,07
39,43805,07
39,43811,07
39,43812,06
39,43812,07
39,43821,06
