OKLAHOMA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
40,67950,03
40,73002,04
40,73003,05
40,73004,04
40,73005,03
40,73006,03
40,73006,04
40,73007,03
40,73007,05
40,73008,05
40,73009,03
40,73010,04
40,73011,04
40,73012,05
40,73013,05
40,73014,03
40,73015,03
40,73016,03
40,73017,03
40,73017,04
40,73018,04
40,73019,04
40,73020,04
40,73020,05
40,73021,03
40,73024,03
40,73025,03
40,73025,05
40,73026,04
40,73027,03
40,73028,03
40,73029,03
40,73030,04
40,73032,04
40,73033,03
40,73034,03
40,73034,05
40,73036,03
40,73038,03
40,73040,03
40,73041,03
40,73042,03
40,73043,03
40,73044,03
40,73045,03
40,73045,05
40,73047,03
40,73048,03
40,73049,05
40,73050,03
40,73051,04
40,73052,04
40,73053,03
40,73054,03
40,73054,05
40,73055,04
40,73056,03
40,73057,04
40,73058,03
40,73059,03
40,73059,04
40,73061,03
40,73062,03
40,73063,03
40,73064,03
40,73064,04
40,73065,04
40,73066,04
40,73066,05
40,73067,04
40,73068,04
40,73069,04
40,73071,04
40,73072,04
40,73073,03
40,73074,04
40,73075,04
40,73077,03
40,73078,03
40,73078,05
40,73079,03
40,73079,04
40,73080,04
40,73082,04
40,73084,05
40,73086,04
40,73089,04
40,73090,03
40,73092,03
40,73092,04
40,73093,04
40,73095,04
40,73096,03
40,73097,05
40,73098,04
40,73099,03
40,73102,05
40,73103,05
40,73104,05
40,73105,05
40,73106,05
40,73107,05
40,73108,05
40,73109,05
40,73110,04
40,73110,05
40,73111,05
40,73112,05
40,73114,05
40,73115,05
40,73116,05
40,73117,05
40,73118,05
40,73119,05
40,73120,05
40,73121,05
40,73122,05
40,73127,03
40,73127,05
40,73128,03
40,73128,05
40,73129,05
40,73130,04
40,73130,05
40,73131,05
40,73132,05
40,73134,05
40,73135,04
40,73135,05
40,73139,04
40,73139,05
40,73141,04
40,73141,05
40,73142,05
40,73145,04
40,73149,04
40,73149,05
40,73150,04
40,73150,05
40,73151,05
40,73159,04
40,73159,05
40,73160,04
40,73162,05
40,73165,04
40,73169,04
40,73169,05
40,73170,04
40,73173,04
40,73179,03
40,73179,05
40,73401,02
40,73401,04
40,73425,04
40,73430,04
40,73432,02
40,73433,04
40,73434,04
40,73437,04
40,73438,04
40,73439,02
40,73440,02
40,73441,04
40,73442,04
40,73443,04
40,73444,04
40,73446,02
40,73447,02
40,73448,04
40,73449,02
40,73450,02
40,73453,04
40,73455,02
40,73456,04
40,73458,04
40,73459,04
40,73460,02
40,73461,02
40,73463,04
40,73481,04
40,73487,04
40,73491,04
40,73501,04
40,73503,04
40,73505,04
40,73507,04
40,73520,04
40,73521,03
40,73526,03
40,73527,04
40,73528,04
40,73529,04
40,73530,04
40,73531,04
40,73532,03
40,73533,04
40,73537,03
40,73538,04
40,73539,03
40,73540,04
40,73541,04
40,73542,04
40,73543,04
40,73544,03
40,73546,04
40,73547,03
40,73548,04
40,73549,03
40,73550,03
40,73551,04
40,73552,04
40,73553,04
40,73554,03
40,73555,04
40,73556,03
40,73557,04
40,73559,03
40,73559,04
40,73560,03
40,73562,04
40,73564,03
40,73564,04
40,73565,04
40,73566,03
40,73566,04
40,73567,04
40,73568,04
40,73569,04
40,73570,04
40,73571,03
40,73572,04
40,73573,04
40,73601,03
40,73620,03
40,73622,03
40,73624,03
40,73625,03
40,73626,03
40,73627,03
40,73628,03
40,73632,03
40,73638,03
40,73639,03
40,73641,03
40,73642,03
40,73644,03
40,73645,03
40,73646,03
40,73647,03
40,73650,03
40,73651,03
40,73654,03
40,73655,03
40,73658,03
40,73659,03
40,73660,03
40,73661,03
40,73662,03
40,73663,03
40,73664,03
40,73666,03
40,73667,03
40,73669,03
40,73673,03
40,73701,03
40,73703,03
40,73705,03
40,73716,03
40,73717,03
40,73718,03
40,73719,03
40,73720,03
40,73722,03
40,73724,03
40,73726,03
40,73727,03
40,73728,03
40,73729,03
40,73730,03
40,73731,03
40,73733,03
40,73734,03
40,73735,03
40,73736,03
40,73737,03
40,73738,03
40,73739,03
40,73741,03
40,73742,03
40,73743,03
40,73744,03
40,73746,03
40,73747,03
40,73749,03
40,73750,03
40,73753,03
40,73754,03
40,73755,03
40,73756,03
40,73757,03
40,73758,03
40,73759,03
40,73760,03
40,73761,03
40,73762,03
40,73763,03
40,73764,03
40,73766,03
40,73768,03
40,73771,03
40,73772,03
40,73773,03
40,73801,03
40,73832,03
40,73834,03
40,73835,03
40,73838,03
40,73840,03
40,73841,03
40,73842,03
40,73843,03
40,73844,03
40,73848,03
40,73851,03
40,73852,03
40,73853,03
40,73855,03
40,73857,03
40,73858,03
40,73859,03
40,73860,03
40,73901,03
40,73931,03
40,73932,03
40,73933,03
40,73937,03
40,73938,03
40,73939,03
40,73942,03
40,73944,03
40,73945,03
40,73946,03
40,73947,03
40,73949,03
40,73950,03
40,73951,03
40,74001,03
40,74002,03
40,74003,01
40,74003,03
40,74006,01
40,74008,01
40,74010,02
40,74010,03
40,74011,01
40,74012,01
40,74014,01
40,74015,01
40,74015,02
40,74016,02
40,74017,02
40,74019,02
40,74020,03
40,74021,01
40,74021,02
40,74022,01
40,74022,03
40,74023,03
40,74026,03
40,74027,02
40,74028,03
40,74029,01
40,74030,03
40,74032,03
40,74033,01
40,74034,03
40,74035,03
40,74036,01
40,74036,02
40,74037,01
40,74038,03
40,74039,03
40,74041,01
40,74042,02
40,74044,03
40,74045,03
40,74046,03
40,74047,01
40,74047,02
40,74048,02
40,74050,01
