OREGON CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
41,89421,02
41,97001,02
41,97002,05
41,97004,03
41,97005,01
41,97006,01
41,97007,01
41,97008,01
41,97009,03
41,97011,03
41,97013,05
41,97014,02
41,97014,03
41,97015,03
41,97015,05
41,97016,01
41,97017,03
41,97017,05
41,97018,01
41,97019,03
41,97020,05
41,97021,02
41,97022,03
41,97023,03
41,97023,05
41,97024,03
41,97026,05
41,97027,05
41,97028,03
41,97029,02
41,97030,03
41,97031,02
41,97032,05
41,97033,02
41,97034,03
41,97034,05
41,97035,01
41,97035,03
41,97035,05
41,97037,02
41,97038,03
41,97038,05
41,97039,02
41,97040,02
41,97041,02
41,97042,03
41,97042,05
41,97045,03
41,97045,05
41,97048,01
41,97049,03
41,97050,02
41,97051,01
41,97053,01
41,97054,01
41,97055,03
41,97056,01
41,97057,02
41,97058,02
41,97060,03
41,97062,01
41,97062,05
41,97063,02
41,97064,01
41,97065,02
41,97067,03
41,97068,05
41,97070,01
41,97070,05
41,97071,05
41,97080,03
41,97086,03
41,97086,05
41,97089,03
41,97101,01
41,97101,05
41,97102,01
41,97102,05
41,97103,01
41,97106,01
41,97107,05
41,97108,05
41,97109,01
41,97110,01
41,97111,01
41,97112,05
41,97113,01
41,97114,01
41,97115,01
41,97116,01
41,97117,01
41,97118,05
41,97119,01
41,97121,01
41,97122,05
41,97123,01
41,97124,01
41,97125,01
41,97127,01
41,97128,01
41,97130,05
41,97131,01
41,97131,05
41,97132,01
41,97132,05
41,97133,01
41,97134,05
41,97135,05
41,97136,05
41,97137,05
41,97138,01
41,97140,01
41,97140,05
41,97141,05
41,97144,01
41,97145,01
41,97146,01
41,97147,05
41,97148,01
41,97149,05
41,97201,03
41,97202,03
41,97202,05
41,97203,01
41,97203,03
41,97204,03
41,97205,01
41,97205,03
41,97206,03
41,97206,05
41,97208,01
41,97209,01
41,97209,03
41,97210,01
41,97210,03
41,97211,03
41,97212,03
41,97213,03
41,97214,03
41,97215,03
41,97216,03
41,97217,03
41,97218,03
41,97219,01
41,97219,03
41,97219,05
41,97220,03
41,97221,01
41,97221,03
41,97222,03
41,97222,05
41,97223,01
41,97224,01
41,97225,01
41,97225,03
41,97227,03
41,97229,01
41,97230,03
41,97231,01
41,97232,03
41,97233,03
41,97236,03
41,97239,01
41,97239,03
41,97266,03
41,97266,05
41,97267,05
41,97301,05
41,97302,05
41,97303,05
41,97304,01
41,97304,05
41,97305,05
41,97306,05
41,97317,05
41,97321,04
41,97321,05
41,97322,04
41,97324,04
41,97324,05
41,97325,05
41,97326,04
41,97326,05
41,97327,04
41,97329,04
41,97330,04
41,97330,05
41,97331,04
41,97333,04
41,97338,05
41,97341,05
41,97342,05
41,97343,05
41,97344,05
41,97345,04
41,97346,04
41,97346,05
41,97347,01
41,97347,05
41,97348,04
41,97350,04
41,97350,05
41,97351,05
41,97352,04
41,97352,05
41,97355,04
41,97357,05
41,97358,04
41,97358,05
41,97360,04
41,97360,05
41,97361,04
41,97361,05
41,97362,05
41,97364,05
41,97365,05
41,97366,05
41,97367,05
41,97368,05
41,97369,05
41,97370,04
41,97370,05
41,97371,05
41,97373,05
41,97374,04
