PENNSYLVANIA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
42,15001,12
42,15003,12
42,15003,18
42,15004,18
42,15005,12
42,15006,12
42,15007,12
42,15009,12
42,15010,12
42,15012,09
42,15012,18
42,15014,14
42,15015,12
42,15017,18
42,15018,18
42,15019,18
42,15020,18
42,15021,18
42,15022,09
42,15024,12
42,15024,14
42,15025,14
42,15025,18
42,15026,12
42,15026,18
42,15027,12
42,15028,18
42,15030,12
42,15030,14
42,15031,18
42,15033,09
42,15034,14
42,15035,14
42,15037,14
42,15037,18
42,15038,18
42,15042,12
42,15043,12
42,15044,03
42,15044,12
42,15045,14
42,15046,18
42,15047,18
42,15049,14
42,15050,12
42,15051,12
42,15052,12
42,15053,18
42,15054,18
42,15055,18
42,15056,18
42,15057,18
42,15059,12
42,15060,18
42,15061,12
42,15062,09
42,15062,18
42,15063,09
42,15063,18
42,15064,18
42,15065,12
42,15065,14
42,15066,12
42,15067,09
42,15067,18
42,15068,12
42,15068,14
42,15071,18
42,15072,18
42,15074,12
42,15075,12
42,15076,12
42,15077,12
42,15078,18
42,15081,12
42,15082,18
42,15083,18
42,15084,12
42,15084,14
42,15085,14
42,15085,18
42,15086,03
42,15086,12
42,15087,18
42,15088,18
42,15089,18
42,15090,12
42,15101,12
42,15102,18
42,15104,14
42,15106,14
42,15106,18
42,15108,14
42,15108,18
42,15110,14
42,15112,14
42,15116,12
42,15120,14
42,15122,14
42,15122,18
42,15126,18
42,15129,18
42,15131,14
42,15131,18
42,15132,14
42,15133,14
42,15135,14
42,15135,18
42,15136,14
42,15136,18
42,15137,14
42,15137,18
42,15139,12
42,15139,14
42,15140,14
42,15142,18
42,15143,12
42,15143,14
42,15143,18
42,15144,14
42,15145,14
42,15146,12
42,15146,14
42,15146,18
42,15147,12
42,15147,14
42,15148,14
42,15201,14
42,15202,12
42,15202,14
42,15203,14
42,15204,14
42,15205,14
42,15205,18
42,15206,14
42,15207,14
42,15208,14
42,15209,12
42,15209,14
42,15210,14
42,15211,14
42,15212,12
42,15212,14
42,15213,14
42,15214,12
42,15214,14
42,15215,12
42,15215,14
42,15216,14
42,15216,18
42,15217,14
42,15218,14
42,15219,14
42,15220,14
42,15220,18
42,15221,14
42,15222,14
42,15223,12
42,15223,14
42,15224,14
42,15225,14
42,15226,14
42,15226,18
42,15227,14
42,15227,18
42,15228,14
42,15228,18
42,15229,12
42,15232,14
42,15233,14
42,15234,14
42,15234,18
42,15235,12
42,15235,14
42,15236,14
42,15236,18
42,15237,12
42,15238,12
42,15238,14
42,15239,12
42,15241,18
42,15243,18
42,15260,14
42,15290,14
42,15301,18
42,15310,18
42,15311,18
42,15312,18
42,15313,18
42,15314,09
42,15314,18
42,15315,09
42,15316,18
42,15317,18
42,15320,09
42,15321,18
42,15322,09
42,15322,18
42,15323,18
42,15324,18
42,15325,09
42,15327,09
42,15329,18
42,15330,18
42,15331,18
42,15332,09
42,15332,18
42,15333,09
42,15333,18
42,15334,09
42,15337,18
42,15338,09
42,15340,18
42,15341,18
42,15342,18
42,15344,09
42,15344,18
42,15345,18
42,15346,09
42,15347,18
42,15348,09
42,15349,09
42,15349,18
42,15350,18
42,15351,09
42,15352,18
42,15353,18
42,15357,09
42,15358,09
42,15359,18
42,15360,18
42,15361,18
42,15362,18
42,15363,18
42,15364,18
42,15366,09
42,15367,18
