RHODE ISLAND CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
44,02802,01
44,02804,02
44,02806,01
44,02807,02
44,02808,02
44,02809,01
44,02812,02
44,02813,02
44,02814,01
44,02814,02
44,02815,02
44,02816,02
44,02817,02
44,02818,02
44,02822,02
44,02825,02
44,02826,02
44,02827,02
44,02828,01
44,02828,02
44,02830,02
44,02831,02
44,02832,02
44,02833,02
44,02835,01
44,02836,02
44,02837,01
44,02838,01
44,02839,02
44,02840,01
44,02841,01
44,02842,01
44,02852,02
44,02857,02
44,02858,02
44,02859,02
44,02860,01
44,02861,01
44,02863,01
44,02864,01
44,02865,01
44,02871,01
44,02872,01
44,02873,02
44,02874,02
44,02875,02
44,02876,01
44,02878,01
44,02879,02
44,02881,02
44,02882,02
44,02885,01
44,02886,02
44,02888,02
44,02889,02
44,02891,02
44,02892,02
44,02893,02
44,02894,02
44,02895,01
44,02896,01
44,02898,02
44,02903,01
44,02903,02
44,02904,01
44,02904,02
44,02905,01
44,02905,02
44,02906,01
44,02907,01
44,02907,02
44,02908,01
44,02908,02
44,02909,01
44,02909,02
44,02910,01
44,02910,02
44,02911,01
44,02911,02
44,02912,01
44,02914,01
44,02915,01
44,02916,01
44,02917,01
44,02919,02
44,02920,02
44,02921,02
