SOUTH CAROLINA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
45,29001,06
45,29003,06
45,29006,02
45,29006,03
45,29009,05
45,29009,07
45,29010,05
45,29014,05
45,29015,05
45,29016,02
45,29016,05
45,29016,06
45,29018,06
45,29020,05
45,29030,06
45,29031,05
45,29032,05
45,29033,02
45,29036,02
45,29036,05
45,29037,03
45,29038,02
45,29039,02
45,29039,06
45,29040,05
45,29042,06
45,29044,02
45,29044,06
45,29045,02
45,29045,05
45,29046,05
45,29047,06
45,29048,06
45,29051,06
45,29052,06
45,29053,02
45,29053,06
45,29054,02
45,29055,05
45,29056,06
45,29058,05
45,29059,06
45,29061,06
45,29062,05
45,29063,02
45,29065,05
45,29067,05
45,29069,05
45,29069,07
45,29070,02
45,29070,03
45,29072,02
45,29073,02
45,29074,05
45,29075,02
45,29075,05
45,29078,02
45,29078,05
45,29078,06
45,29079,07
45,29080,05
45,29080,06
45,29081,06
45,29082,06
45,29101,07
45,29102,06
45,29104,05
45,29104,06
45,29105,02
45,29105,03
45,29107,02
45,29107,06
45,29108,03
45,29108,05
45,29111,06
45,29112,02
45,29112,06
45,29113,02
45,29114,06
45,29115,02
45,29115,06
45,29117,06
45,29118,06
45,29122,05
45,29123,02
45,29125,05
45,29125,06
45,29126,05
45,29127,03
45,29127,05
45,29128,05
45,29129,02
45,29129,03
45,29130,02
45,29130,05
45,29133,02
45,29133,06
45,29135,06
45,29137,02
45,29138,03
45,29142,06
45,29145,03
45,29146,02
45,29147,06
45,29148,06
45,29150,05
45,29150,06
45,29152,05
45,29153,05
45,29153,06
45,29154,05
45,29160,02
45,29160,06
45,29161,07
45,29162,06
45,29163,06
45,29164,02
45,29166,03
45,29168,05
45,29169,02
45,29170,02
45,29172,02
45,29175,05
45,29178,03
45,29178,05
45,29180,02
45,29180,05
45,29201,06
45,29202,06
45,29203,02
45,29203,06
45,29204,02
45,29204,06
45,29205,02
45,29205,06
45,29206,02
45,29206,06
45,29207,02
45,29208,06
45,29209,02
45,29209,06
45,29210,02
45,29210,06
45,29212,02
45,29212,06
45,29223,02
45,29223,06
45,29225,06
45,29229,02
45,29229,06
45,29301,04
45,29302,04
45,29303,04
45,29303,05
45,29306,04
45,29307,04
45,29307,05
45,29316,04
45,29316,05
45,29320,04
45,29321,05
45,29322,04
45,29322,05
45,29323,05
45,29324,04
45,29325,03
45,29329,04
45,29330,04
45,29330,05
45,29331,04
45,29332,03
45,29333,04
45,29334,04
45,29335,03
45,29335,04
45,29335,05
45,29338,05
45,29340,05
45,29341,05
45,29346,04
45,29349,04
45,29349,05
45,29351,03
45,29353,05
45,29355,03
45,29355,05
45,29356,04
45,29360,03
45,29364,05
45,29365,04
45,29368,05
45,29369,04
45,29370,03
45,29372,04
45,29372,05
45,29373,04
45,29374,04
45,29374,05
45,29375,04
45,29376,04
45,29377,04
45,29378,04
45,29379,05
45,29384,03
45,29385,04
45,29388,03
45,29388,04
45,29401,01
45,29401,06
45,29403,01
45,29403,06
45,29404,06
45,29405,06
45,29406,01
45,29406,06
45,29407,01
45,29409,06
45,29410,01
45,29410,06
45,29412,01
45,29414,01
45,29418,01
45,29418,06
45,29420,01
45,29420,06
45,29423,01
45,29424,01
45,29426,06
45,29429,01
45,29431,01
45,29431,06
45,29432,06
45,29434,06
45,29435,06
45,29436,01
45,29436,06
45,29437,06
45,29438,01
45,29439,01
45,29440,07
45,29445,01
45,29445,06
45,29446,01
45,29446,06
45,29448,06
