TENNESSEE CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
47,37010,06
47,37010,07
47,37012,06
47,37013,05
47,37014,04
47,37014,07
47,37015,05
47,37015,06
47,37015,07
47,37016,06
47,37018,04
47,37018,06
47,37019,04
47,37020,04
47,37022,06
47,37023,07
47,37025,05
47,37025,07
47,37026,06
47,37027,05
47,37027,07
47,37028,07
47,37029,05
47,37030,06
47,37031,06
47,37032,05
47,37032,06
47,37033,07
47,37034,04
47,37035,05
47,37035,06
47,37036,05
47,37037,04
47,37040,07
47,37042,07
47,37043,05
47,37043,07
47,37046,04
47,37046,07
47,37047,04
47,37047,07
47,37048,06
47,37049,06
47,37050,07
47,37051,05
47,37051,07
47,37052,07
47,37055,05
47,37055,07
47,37057,06
47,37058,07
47,37059,06
47,37060,04
47,37060,07
47,37061,07
47,37062,05
47,37062,07
47,37064,05
47,37064,07
47,37066,06
47,37067,07
47,37069,07
47,37072,05
47,37072,06
47,37073,06
47,37074,06
47,37075,06
47,37076,05
47,37076,06
47,37078,07
47,37079,07
47,37080,05
47,37080,06
47,37082,05
47,37083,06
47,37085,04
47,37085,06
47,37086,04
47,37086,05
47,37087,06
47,37090,06
47,37091,04
47,37095,06
47,37096,07
47,37097,07
47,37098,07
47,37101,07
47,37110,04
47,37110,06
47,37115,05
47,37118,04
47,37118,06
47,37122,04
47,37122,05
47,37122,06
47,37127,04
47,37128,04
47,37129,04
47,37130,04
47,37132,04
47,37134,07
47,37135,04
47,37135,05
47,37135,07
47,37137,07
47,37138,05
47,37138,06
47,37140,07
47,37141,06
47,37142,07
47,37143,05
47,37144,04
47,37144,07
47,37145,06
47,37146,05
47,37146,06
47,37148,06
47,37149,04
47,37149,06
47,37150,06
47,37151,06
47,37153,04
47,37160,04
47,37165,05
47,37166,04
47,37166,06
47,37167,04
47,37171,07
47,37172,06
47,37174,04
47,37174,07
47,37175,07
47,37178,07
47,37179,07
47,37180,04
47,37181,05
47,37181,07
47,37183,04
47,37183,06
47,37184,06
47,37185,07
47,37186,06
47,37187,05
47,37188,06
47,37189,05
47,37190,04
47,37190,06
47,37191,07
47,37201,05
47,37203,05
47,37204,05
47,37205,05
47,37206,05
47,37207,05
47,37208,05
47,37209,05
47,37210,05
47,37211,05
47,37212,05
47,37213,05
47,37214,05
47,37215,05
47,37215,07
47,37216,05
47,37217,05
47,37218,05
47,37219,05
47,37220,05
47,37221,05
47,37221,07
47,37228,05
47,37240,05
47,37243,05
47,37246,05
47,37301,04
47,37302,03
47,37303,03
47,37305,04
47,37306,04
47,37307,03
47,37308,03
47,37308,04
47,37309,03
47,37310,03
47,37310,04
47,37311,03
47,37311,04
47,37312,03
47,37312,04
47,37313,04
47,37315,03
47,37317,03
47,37318,04
47,37321,04
47,37322,03
47,37322,04
47,37323,03
47,37323,04
47,37324,04
47,37325,03
47,37326,03
47,37327,04
47,37328,04
47,37329,03
47,37330,04
47,37330,06
47,37331,03
47,37332,04
47,37333,03
47,37334,04
47,37335,04
47,37336,03
47,37336,04
47,37337,04
47,37337,06
47,37338,03
47,37338,04
47,37339,04
47,37340,04
47,37341,03
47,37342,06
47,37343,03
47,37345,04
47,37347,04
47,37348,04
47,37350,03
47,37351,03
47,37352,04
47,37353,03
47,37353,04
47,37354,03
47,37355,06
47,37356,04
47,37357,04
47,37357,06
47,37359,04
47,37360,04
47,37360,06
47,37361,03
47,37362,03
47,37363,03
47,37365,04
47,37366,04
47,37367,04
47,37367,06
47,37369,03
47,37370,03
47,37373,03
47,37374,04
47,37375,04
47,37376,04
47,37377,03
47,37377,04
47,37379,03
47,37379,04
47,37380,04
47,37381,04
47,37385,03
47,37387,04
47,37388,04
47,37388,06
47,37391,03
47,37394,04
47,37396,04
47,37397,04
47,37398,04
47,37402,03
47,37403,03
47,37404,03
47,37405,03
47,37405,04
47,37406,03
47,37407,03
47,37408,03
47,37409,03
47,37410,03
47,37411,03
47,37412,03
47,37415,03
47,37416,03
47,37419,03
47,37419,04
47,37421,03
47,37601,01
47,37604,01
47,37614,01
47,37615,01
47,37616,01
47,37617,01
47,37618,01
47,37620,01
47,37640,01
47,37641,01
47,37642,01
47,37643,01
47,37645,01
47,37650,01
47,37656,01
47,37657,01
47,37658,01
47,37659,01
47,37660,01
47,37663,01
47,37664,01
47,37665,01
47,37680,01
47,37681,01
47,37682,01
47,37683,01
47,37686,01
47,37687,01
47,37688,01
47,37690,01
47,37691,01
47,37692,01
47,37694,01
47,37701,02
47,37705,03
47,37708,02
47,37709,02
47,37710,03
47,37711,01
47,37713,01
47,37714,03
47,37715,02
47,37716,03
47,37719,03
47,37721,02
47,37721,03
47,37722,01
47,37723,06
47,37724,02
47,37725,01
47,37725,02
47,37726,03
47,37726,06
47,37727,01
47,37729,02
47,37729,03
47,37730,02
47,37731,01
47,37732,03
47,37733,03
47,37737,02
47,37738,01
47,37742,02
47,37743,01
47,37745,01
47,37748,03
47,37752,01
47,37752,02
47,37753,01
47,37754,02
47,37754,03
47,37755,03
47,37756,03
47,37757,03
47,37760,01
47,37760,02
47,37762,02
47,37763,03
47,37764,01
47,37764,02
47,37765,01
47,37766,02
47,37766,03
47,37769,03
47,37770,03
47,37771,02
47,37771,03
47,37772,02
47,37774,02
47,37774,03
47,37777,02
47,37779,02
47,37779,03
47,37801,02
47,37801,03
47,37803,02
47,37804,02
47,37806,02
47,37807,02
47,37807,03
47,37809,01
47,37810,01
47,37811,01
47,37811,02
47,37813,01
47,37814,01
47,37818,01
47,37819,02
47,37820,02
47,37821,01
47,37825,02
47,37825,03
47,37826,03
47,37826,04
47,37828,03
47,37829,03
47,37830,02
47,37830,03
47,37840,03
47,37841,03
47,37843,01
47,37845,03
47,37846,02
47,37846,03
47,37847,02
47,37847,03
47,37848,02
47,37848,03
47,37849,02
47,37849,03
47,37851,02
47,37852,03
47,37853,02
47,37854,03
47,37854,06
47,37857,01
47,37860,01
47,37861,02
47,37862,01
47,37863,01
47,37865,01
47,37865,02
47,37866,03
47,37869,01
47,37869,02
47,37870,02
47,37870,03
47,37871,01
47,37871,02
47,37872,03
47,37873,01
47,37874,02
47,37874,03
47,37876,01
47,37876,02
47,37877,01
47,37877,02
47,37878,02
47,37879,01
47,37879,02
47,37880,03
47,37880,04
47,37881,01
47,37881,02
47,37882,02
47,37885,02
47,37885,03
47,37886,02
47,37887,03
47,37888,02
47,37888,03
47,37890,01
47,37891,01
47,37892,03
47,37902,02
47,37909,02
47,37912,02
47,37914,02
47,37915,02
47,37916,02
47,37917,02
47,37918,02
47,37919,02
47,37920,02
47,37921,02
47,37922,02
47,37923,02
47,37924,02
47,37931,02
47,37931,03
47,37932,02
47,37934,02
47,37938,02
47,38001,08
47,38002,08
47,38002,09
47,38004,08
47,38006,08
47,38007,08
47,38008,07
47,38011,08
47,38012,08
47,38015,08
47,38016,08
47,38016,09
47,38017,08
47,38018,08
47,38018,09
47,38019,08
47,38021,08
47,38023,08
47,38024,08
47,38028,08
47,38028,09
47,38029,08
47,38030,08
47,38034,08
47,38036,08
47,38037,08
47,38039,07
47,38039,08
47,38040,08
47,38041,08
47,38042,07
47,38042,08
47,38044,07
47,38046,08
47,38047,08
47,38049,08
47,38050,08
47,38052,07
47,38053,08
47,38053,09
47,38054,09
47,38057,08
47,38058,08
47,38059,08
47,38060,08
47,38061,07
47,38063,08
47,38066,08
47,38067,07
47,38068,08
47,38069,08
47,38070,08
47,38075,07
47,38075,08
47,38076,08
47,38077,08
47,38079,08
47,38080,08
