TEXAS CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
48,73949,13
48,75001,24
48,75002,03
48,75002,32
48,75006,24
48,75007,24
48,75009,03
48,75009,04
48,75009,26
48,75010,24
48,75013,03
48,75019,24
48,75019,26
48,75020,04
48,75021,04
48,75022,24
48,75022,26
48,75023,03
48,75024,03
48,75024,24
48,75025,03
48,75028,24
48,75028,26
48,75032,04
48,75034,03
48,75034,26
48,75035,03
48,75038,24
48,75039,24
48,75040,32
48,75041,05
48,75041,32
48,75042,05
48,75042,32
48,75043,05
48,75043,32
48,75044,03
48,75044,32
48,75048,03
48,75048,32
48,75050,06
48,75050,33
48,75051,06
48,75051,30
48,75051,33
48,75052,06
48,75052,30
48,75052,33
48,75054,06
48,75054,30
48,75056,24
48,75056,26
48,75057,26
48,75058,04
48,75060,33
48,75061,24
48,75061,33
48,75062,24
48,75062,33
48,75063,24
48,75065,26
48,75067,24
48,75067,26
48,75068,26
48,75069,03
48,75070,03
48,75071,03
48,75071,04
48,75074,03
48,75075,03
48,75076,04
48,75077,26
48,75078,03
48,75078,04
48,75078,26
48,75080,03
48,75080,32
48,75081,32
48,75082,03
48,75082,32
48,75087,04
48,75088,04
48,75088,32
48,75089,04
48,75089,32
48,75090,04
48,75092,04
48,75093,03
48,75093,24
48,75094,03
48,75094,32
48,75098,03
48,75098,04
48,75098,32
48,75101,06
48,75102,06
48,75103,05
48,75104,06
48,75104,30
48,75105,06
48,75109,06
48,75110,06
48,75114,05
48,75115,30
48,75116,30
48,75117,05
48,75119,06
48,75124,05
48,75125,05
48,75125,06
48,75125,30
48,75126,05
48,75127,05
48,75132,04
48,75134,30
48,75135,04
48,75137,30
48,75140,05
48,75141,30
48,75142,05
48,75143,05
48,75144,06
48,75146,06
48,75146,30
48,75147,05
48,75148,05
48,75149,05
48,75149,30
48,75150,05
48,75150,30
48,75150,32
48,75152,06
48,75153,06
48,75154,06
48,75154,30
48,75155,06
48,75156,05
48,75157,05
48,75158,05
48,75159,05
48,75159,30
48,75160,04
48,75160,05
48,75161,05
48,75163,05
48,75164,04
48,75165,06
48,75166,03
48,75166,04
48,75166,32
48,75167,06
48,75169,04
48,75169,05
48,75172,30
48,75173,03
48,75173,04
48,75180,05
48,75180,30
48,75181,05
48,75182,05
48,75182,32
48,75189,04
48,75201,30
48,75201,32
48,75202,30
48,75203,30
48,75203,33
48,75204,30
48,75204,32
48,75205,32
48,75206,32
48,75207,30
48,75208,30
48,75208,33
48,75209,24
48,75209,30
48,75209,32
48,75210,30
48,75211,30
48,75211,33
