UTAH CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
49,81324,03
49,82930,01
49,83312,01
49,83342,01
49,84001,01
49,84002,01
49,84003,03
49,84003,04
49,84004,03
49,84005,04
49,84006,04
49,84007,01
49,84010,02
49,84013,04
49,84014,02
49,84015,01
49,84017,01
49,84018,01
49,84020,03
49,84020,04
49,84021,01
49,84022,02
49,84023,01
49,84024,01
49,84025,01
49,84025,02
49,84026,01
49,84027,01
49,84028,01
49,84029,02
49,84031,01
49,84032,03
49,84033,01
49,84034,02
49,84035,01
49,84036,01
49,84036,03
49,84037,01
49,84037,02
49,84038,01
49,84039,01
49,84040,01
49,84041,01
49,84042,03
49,84043,03
49,84043,04
49,84044,02
49,84045,04
49,84046,01
49,84047,03
49,84047,04
49,84049,03
49,84050,01
49,84051,01
49,84052,01
49,84053,01
49,84054,02
49,84055,01
49,84056,01
49,84057,03
49,84058,03
49,84060,01
49,84060,03
49,84061,01
49,84062,03
49,84063,01
49,84064,01
49,84065,03
49,84065,04
49,84066,01
49,84067,01
49,84069,02
49,84070,03
49,84070,04
49,84071,02
49,84072,01
49,84073,01
49,84074,02
49,84075,01
49,84075,02
49,84076,01
49,84078,01
49,84080,02
49,84081,02
49,84081,04
49,84082,03
49,84083,01
49,84083,02
49,84084,04
49,84085,01
49,84086,01
49,84087,02
49,84088,04
49,84092,03
49,84093,03
49,84094,03
49,84095,04
49,84096,04
49,84097,03
49,84098,01
49,84101,02
49,84102,02
49,84103,02
49,84104,02
49,84105,02
49,84106,02
49,84106,04
49,84107,04
49,84108,02
49,84109,02
49,84109,03
49,84109,04
49,84111,02
49,84112,02
49,84113,02
49,84115,02
49,84115,04
49,84116,02
49,84117,03
49,84117,04
49,84118,02
49,84118,04
49,84119,02
49,84119,04
49,84120,02
49,84120,04
49,84121,03
49,84121,04
49,84123,04
49,84124,03
49,84124,04
49,84128,02
49,84144,02
49,84180,02
49,84301,01
49,84302,01
49,84304,01
49,84305,01
49,84306,01
49,84307,01
49,84308,01
49,84309,01
49,84310,01
49,84311,01
49,84312,01
49,84313,01
49,84314,01
49,84315,01
49,84316,01
49,84317,01
49,84318,01
49,84319,01
49,84320,01
49,84321,01
49,84324,01
49,84325,01
49,84326,01
49,84327,01
49,84328,01
49,84329,01
49,84330,01
49,84331,01
49,84332,01
49,84333,01
49,84334,01
49,84335,01
49,84336,01
49,84337,01
49,84338,01
49,84339,01
49,84340,01
49,84341,01
49,84401,01
49,84403,01
49,84404,01
49,84405,01
49,84414,01
49,84501,03
49,84511,03
49,84512,03
49,84513,03
49,84515,03
49,84516,03
49,84518,03
49,84520,03
49,84521,03
49,84522,03
49,84523,03
49,84525,03
49,84526,01
49,84526,03
49,84528,03
49,84529,03
49,84530,03
49,84531,03
49,84532,03
49,84533,02
49,84533,03
49,84534,03
49,84535,03
49,84536,03
49,84537,03
49,84539,03
49,84540,01
49,84540,03
49,84542,03
49,84601,03
49,84601,04
49,84604,03
49,84606,03
49,84620,02
49,84621,02
49,84622,02
49,84623,02
49,84623,04
49,84624,02
49,84626,04
49,84627,02
49,84628,02
49,84629,03
49,84629,04
49,84630,02
49,84631,02
49,84632,04
49,84633,04
49,84634,02
49,84635,02
49,84636,02
49,84637,02
49,84638,02
49,84639,04
49,84640,02
49,84642,02
49,84643,02
49,84645,04
49,84646,04
49,84647,04
49,84648,02
49,84648,04
49,84649,02
49,84651,03
49,84651,04
49,84652,02
49,84653,03
49,84654,02
49,84655,03
49,84655,04
49,84656,02
49,84656,04
49,84657,02
49,84660,03
49,84660,04
49,84662,02
49,84662,04
49,84663,03
49,84663,04
49,84664,03
49,84665,02
49,84667,04
49,84701,02
49,84710,02
49,84711,02
49,84712,02
49,84713,02
49,84714,02
49,84715,02
49,84716,02
49,84718,02
49,84719,02
49,84720,02
49,84721,02
49,84722,02
49,84723,02
49,84724,02
49,84725,02
49,84726,02
49,84728,02
49,84729,02
49,84730,02
49,84731,02
49,84732,02
49,84733,02
49,84734,02
49,84735,02
49,84736,02
49,84737,02
49,84738,02
49,84739,02
49,84740,02
49,84741,02
49,84742,02
49,84743,02
49,84744,02
49,84745,02
49,84746,02
49,84747,02
49,84749,02
49,84750,02
49,84751,02
49,84752,02
49,84753,02
49,84754,02
49,84755,02
49,84756,02
49,84757,02
49,84758,02
49,84759,02
49,84760,02
49,84761,02
49,84762,02
49,84763,02
49,84764,02
49,84765,02
49,84766,02
49,84767,02
49,84770,02
49,84772,02
49,84773,02
49,84774,02
49,84775,02
49,84776,02
49,84779,02
49,84780,02
49,84781,02
49,84782,02
49,84783,02
49,84784,02
49,84790,02
49,86044,03
49,86514,03
