VIRGINIA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
51,20105,10
51,20106,05
51,20106,07
51,20109,01
51,20109,10
51,20110,01
51,20110,10
51,20111,01
51,20111,10
51,20112,01
51,20112,10
51,20112,11
51,20115,05
51,20117,05
51,20117,10
51,20118,10
51,20119,01
51,20119,05
51,20120,10
51,20120,11
51,20121,10
51,20121,11
51,20124,10
51,20124,11
51,20129,10
51,20130,05
51,20130,10
51,20132,10
51,20135,10
51,20136,01
51,20137,05
51,20137,10
51,20139,05
51,20141,10
51,20143,10
51,20144,05
51,20147,10
51,20148,10
51,20151,10
51,20151,11
51,20152,10
51,20155,01
51,20155,10
51,20158,10
51,20164,10
51,20165,10
51,20166,10
51,20169,10
51,20170,10
51,20170,11
51,20171,10
51,20171,11
51,20175,10
51,20176,10
51,20180,10
51,20181,01
51,20181,05
51,20184,05
51,20184,10
51,20186,05
51,20186,07
51,20187,05
51,20190,10
51,20190,11
51,20191,10
51,20191,11
51,20194,10
51,20194,11
51,20197,10
51,20198,05
51,22003,08
51,22003,11
51,22015,10
51,22015,11
51,22025,01
51,22026,01
51,22026,11
51,22027,11
51,22030,10
51,22030,11
51,22031,11
51,22032,11
51,22033,10
51,22033,11
51,22035,11
51,22039,10
51,22039,11
51,22041,08
51,22041,11
51,22042,08
51,22042,11
51,22043,08
51,22043,11
51,22044,08
51,22044,11
51,22046,08
51,22060,08
51,22066,10
51,22079,08
51,22079,10
51,22079,11
51,22101,08
51,22101,10
51,22102,08
51,22102,10
51,22102,11
51,22124,10
51,22124,11
51,22125,11
51,22134,01
51,22134,11
51,22150,08
51,22150,11
51,22151,08
51,22151,11
51,22152,11
51,22153,08
51,22153,10
51,22153,11
51,22172,01
51,22172,11
51,22180,11
51,22181,10
51,22181,11
51,22182,10
51,22182,11
51,22185,11
51,22191,11
51,22192,01
51,22192,11
51,22193,01
51,22193,11
51,22201,08
51,22202,08
51,22203,08
51,22204,08
51,22205,08
51,22206,08
51,22207,08
51,22209,08
51,22211,08
51,22213,08
51,22214,08
51,22301,08
51,22302,08
51,22303,08
51,22304,08
51,22305,08
51,22306,08
51,22307,08
51,22308,08
51,22309,08
51,22310,08
51,22311,08
51,22312,08
51,22314,08
51,22315,08
51,22401,01
51,22405,01
51,22406,01
51,22407,01
51,22407,07
51,22408,01
51,22408,07
51,22427,01
51,22432,01
51,22433,07
51,22435,01
51,22436,01
51,22437,01
51,22438,01
51,22443,01
51,22448,01
51,22454,01
51,22460,01
51,22469,01
51,22473,01
51,22476,01
51,22480,01
51,22482,01
51,22485,01
51,22488,01
51,22503,01
51,22504,01
51,22508,07
51,22509,01
51,22511,01
51,22514,01
51,22520,01
51,22529,01
51,22530,01
51,22534,07
51,22535,01
51,22538,01
51,22539,01
51,22542,07
51,22546,01
51,22546,07
51,22548,01
51,22551,07
51,22553,07
51,22554,01
