WASHINGTON CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
53,98001,08
53,98001,09
53,98002,08
53,98003,08
53,98003,09
53,98004,01
53,98004,09
53,98005,09
53,98006,09
53,98007,01
53,98007,09
53,98008,01
53,98008,09
53,98010,08
53,98011,01
53,98012,01
53,98012,02
53,98014,01
53,98019,01
53,98020,07
53,98021,01
53,98021,02
53,98022,08
53,98023,09
53,98024,01
53,98024,08
53,98026,02
53,98026,07
53,98027,08
53,98027,09
53,98028,01
53,98029,08
53,98030,08
53,98030,09
53,98031,08
53,98031,09
53,98032,08
53,98032,09
53,98033,01
53,98033,09
53,98034,01
53,98036,02
53,98037,02
53,98037,07
53,98038,08
53,98039,01
53,98039,09
53,98040,09
53,98042,08
53,98042,09
53,98043,02
53,98043,07
53,98045,01
53,98045,08
53,98047,08
53,98047,10
53,98050,08
53,98051,08
53,98052,01
53,98052,09
53,98053,01
53,98055,09
53,98056,09
53,98057,09
53,98058,08
53,98058,09
53,98059,08
53,98059,09
53,98065,01
53,98065,08
53,98068,01
53,98068,08
53,98070,07
53,98072,01
53,98074,01
53,98074,08
53,98075,01
53,98075,08
53,98077,01
53,98087,02
53,98092,08
53,98101,07
53,98102,07
53,98103,07
53,98104,07
53,98104,09
53,98105,07
53,98106,07
53,98107,07
53,98108,07
53,98108,09
53,98109,07
53,98110,06
53,98112,07
53,98112,09
53,98115,07
53,98116,07
53,98117,07
53,98118,09
53,98119,07
53,98121,07
53,98122,07
53,98122,09
53,98125,07
53,98126,07
53,98133,07
53,98134,07
53,98134,09
53,98136,07
53,98144,09
53,98146,07
53,98148,07
53,98148,09
53,98154,07
53,98155,07
53,98158,09
53,98164,07
53,98166,07
53,98168,07
53,98168,09
53,98174,07
53,98177,07
53,98178,09
53,98188,09
53,98195,07
53,98198,07
53,98198,09
53,98199,07
53,98201,02
53,98203,02
53,98204,02
53,98205,01
53,98205,02
53,98207,02
53,98208,01
53,98208,02
53,98220,01
53,98220,02
53,98221,02
53,98222,02
53,98223,01
53,98223,02
53,98224,01
53,98225,01
53,98225,02
53,98226,01
53,98226,02
53,98229,02
53,98230,01
53,98232,02
53,98233,01
53,98233,02
53,98235,01
53,98236,02
53,98237,01
53,98238,02
53,98239,02
53,98240,01
53,98241,01
53,98243,02
53,98244,01
53,98245,02
53,98247,01
53,98248,01
53,98249,02
53,98250,02
53,98251,01
53,98252,01
53,98253,02
53,98255,01
53,98256,01
53,98257,02
53,98258,01
53,98258,02
53,98260,02
53,98261,02
53,98262,01
53,98263,01
53,98264,01
53,98266,01
53,98267,01
53,98270,02
53,98271,02
53,98272,01
53,98273,01
53,98273,02
53,98274,01
53,98274,02
53,98275,02
53,98276,01
53,98277,02
53,98278,02
53,98279,02
53,98280,02
53,98281,01
53,98282,02
53,98283,01
53,98284,01
53,98284,02
53,98286,02
53,98288,01
53,98290,01
53,98292,02
53,98294,01
53,98295,01
53,98296,01
53,98297,02
53,98303,10
53,98304,03
53,98304,08
53,98305,06
53,98310,06
53,98311,06
53,98312,06
53,98314,06
53,98315,06
53,98320,06
53,98321,08
53,98323,08
53,98325,06
53,98326,06
53,98327,10
53,98328,08
53,98329,06
53,98330,08
53,98331,06
53,98332,06
53,98333,06
53,98335,06
53,98336,03
53,98337,06
53,98338,08
53,98338,10
53,98339,06
53,98340,06
53,98342,06
53,98345,06
53,98346,06
53,98349,06
53,98350,06
53,98351,06
53,98353,06
53,98354,08
53,98354,10
53,98355,03
53,98356,03
53,98357,06
53,98358,06
53,98359,06
53,98360,08
53,98361,03
53,98362,06
53,98363,06
53,98364,06
53,98365,06
53,98366,06
53,98367,06
53,98368,06
53,98370,06
53,98371,10
53,98372,08
53,98372,10
53,98373,10
53,98374,08
53,98374,10
53,98375,08
53,98375,10
53,98376,06
53,98377,03
53,98380,06
53,98381,06
53,98382,06
53,98383,06
53,98385,08
53,98387,08
53,98387,10
53,98388,10
53,98390,08
53,98390,10
53,98391,08
53,98391,10
53,98392,06
53,98394,06
53,98396,08
53,98402,06
53,98402,09
53,98403,06
53,98404,10
53,98405,06
53,98406,06
53,98407,06
53,98408,06
53,98408,10
53,98409,06
53,98416,06
53,98418,06
53,98418,10
53,98421,06
53,98421,09
53,98421,10
53,98422,09
53,98424,08
53,98424,09
53,98424,10
53,98430,10
53,98433,10
53,98438,10
53,98439,10
53,98443,10
53,98444,06
53,98444,10
53,98445,10
