WEST VIRGINIA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
54,20135,02
54,24604,03
54,24701,03
54,24712,03
54,24714,03
54,24715,03
54,24716,03
54,24719,03
54,24724,03
54,24726,03
54,24729,03
54,24731,03
54,24733,03
54,24736,03
54,24737,03
54,24738,03
54,24740,03
54,24747,03
54,24801,03
54,24808,03
54,24811,03
54,24813,03
54,24815,03
54,24816,03
54,24817,03
54,24818,03
54,24822,03
54,24823,03
54,24826,03
54,24827,03
54,24828,03
54,24830,03
54,24831,03
54,24834,03
54,24836,03
54,24839,03
54,24843,03
54,24844,03
54,24845,03
54,24846,03
54,24847,03
54,24848,03
54,24849,03
54,24850,03
54,24851,03
54,24853,03
54,24854,03
54,24857,03
54,24860,03
54,24861,03
54,24862,03
54,24866,03
54,24867,03
54,24868,03
54,24869,03
54,24870,03
54,24871,03
54,24872,03
54,24873,03
54,24874,03
54,24878,03
54,24879,03
54,24880,03
54,24881,03
54,24882,03
54,24884,03
54,24887,03
54,24888,03
54,24892,03
54,24894,03
54,24898,03
54,24901,03
54,24910,03
54,24915,03
54,24916,03
54,24918,03
54,24920,03
54,24924,03
54,24925,03
54,24927,03
54,24931,03
54,24934,03
54,24935,03
54,24938,03
54,24941,03
54,24944,03
54,24945,03
54,24946,03
54,24951,03
54,24954,03
54,24957,03
54,24962,03
54,24963,03
54,24966,03
54,24970,03
54,24974,03
54,24976,03
54,24977,03
54,24981,03
54,24983,03
54,24984,03
54,24986,03
54,24991,03
54,25002,03
54,25003,02
54,25003,03
54,25005,02
54,25007,03
54,25008,03
54,25009,03
54,25011,02
54,25015,02
54,25019,02
54,25021,03
54,25022,03
54,25024,03
54,25025,02
54,25028,03
54,25030,02
54,25031,03
54,25033,02
54,25035,02
54,25036,02
54,25036,03
54,25039,02
54,25040,03
54,25043,02
54,25043,03
54,25044,03
54,25045,02
54,25047,03
54,25048,03
54,25049,03
54,25051,03
54,25053,03
54,25054,02
54,25057,03
54,25059,03
54,25060,03
54,25061,02
54,25062,03
54,25063,02
54,25063,03
54,25064,02
54,25067,02
54,25070,02
54,25071,02
54,25075,02
54,25076,03
54,25081,03
54,25082,02
54,25082,03
54,25083,02
54,25083,03
54,25085,03
54,25086,02
54,25088,02
54,25090,03
54,25093,03
54,25102,02
54,25103,02
54,25106,03
54,25107,02
54,25108,03
54,25109,02
54,25110,02
54,25111,02
54,25111,03
54,25112,02
54,25113,02
54,25114,03
54,25115,03
54,25118,03
54,25119,03
54,25121,03
54,25123,02
54,25123,03
54,25124,02
54,25125,02
54,25125,03
54,25126,02
54,25130,03
54,25132,02
54,25133,02
54,25134,02
54,25136,02
54,25136,03
54,25139,03
54,25140,03
54,25141,02
54,25142,03
54,25143,02
54,25148,03
54,25149,03
54,25152,03
54,25154,03
54,25156,02
54,25159,02
54,25160,02
54,25161,03
54,25162,02
54,25164,02
54,25165,03
54,25168,02
54,25169,03
54,25173,03
54,25174,03
54,25177,02
54,25180,03
54,25181,03
54,25183,03
54,25185,03
54,25186,03
54,25187,03
54,25193,03
54,25201,02
54,25202,02
54,25202,03
54,25203,03
54,25204,03
54,25205,03
54,25206,03
54,25208,03
54,25209,03
54,25211,02
54,25213,02
54,25214,02
