WISCONSIN CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)
State,ZCTA,CongressionalDistrict
55,53001,06
55,53002,05
55,53003,05
55,53004,06
55,53005,05
55,53006,06
55,53007,04
55,53007,05
55,53010,05
55,53010,06
55,53011,06
55,53012,05
55,53012,06
55,53013,06
55,53014,06
55,53014,08
55,53015,06
55,53016,05
55,53017,05
55,53018,01
55,53018,05
55,53019,06
55,53020,06
55,53020,08
55,53021,05
55,53021,06
55,53022,05
55,53023,06
55,53024,06
55,53027,05
55,53029,05
55,53031,06
55,53032,05
55,53032,06
55,53033,05
55,53034,05
55,53035,05
55,53035,06
55,53036,05
55,53037,05
55,53038,05
55,53039,05
55,53040,05
55,53040,06
55,53042,06
55,53042,08
55,53044,06
55,53045,05
55,53046,05
55,53047,05
55,53048,05
55,53048,06
55,53049,06
55,53049,08
55,53050,05
55,53050,06
55,53051,04
55,53051,05
55,53057,06
55,53058,05
55,53059,05
55,53061,06
55,53061,08
55,53063,06
55,53065,06
55,53066,01
55,53066,05
55,53069,05
55,53070,06
55,53072,05
55,53073,06
55,53074,06
55,53075,06
55,53076,05
55,53078,05
55,53079,06
55,53080,06
55,53081,06
55,53083,06
55,53085,06
55,53086,05
55,53088,08
55,53089,05
55,53090,05
55,53090,06
55,53091,05
55,53091,06
55,53092,06
55,53093,06
55,53094,05
55,53095,05
55,53095,06
55,53097,06
55,53098,05
55,53103,01
55,53104,01
55,53105,01
55,53108,01
55,53110,04
55,53114,01
55,53115,01
55,53118,01
55,53118,05
55,53119,01
55,53120,01
55,53121,01
55,53122,05
55,53125,01
55,53126,01
55,53128,01
55,53129,01
55,53129,05
55,53130,01
55,53132,01
55,53137,05
55,53139,01
55,53140,01
55,53142,01
55,53143,01
55,53144,01
55,53146,01
55,53146,05
55,53147,01
55,53149,01
55,53150,01
55,53151,01
55,53151,05
55,53153,01
55,53154,01
55,53154,04
55,53156,05
55,53158,01
55,53167,01
55,53168,01
55,53170,01
55,53172,04
55,53177,01
55,53178,05
55,53179,01
55,53181,01
55,53182,01
55,53183,01
55,53183,05
55,53184,01
55,53185,01
55,53186,05
55,53188,01
55,53188,05
55,53189,01
55,53189,05
55,53190,01
55,53190,05
55,53191,01
55,53192,01
55,53195,01
55,53202,04
55,53203,04
55,53204,04
55,53205,04
55,53206,04
55,53207,04
55,53208,04
55,53208,05
55,53209,04
55,53210,04
55,53210,05
55,53211,04
55,53212,04
55,53213,04
55,53213,05
55,53214,04
55,53214,05
55,53215,04
55,53216,04
55,53217,04
55,53217,06
55,53218,04
55,53219,04
55,53219,05
55,53220,01
55,53220,04
55,53220,05
55,53221,01
55,53221,04
55,53221,05
55,53222,04
55,53222,05
55,53223,04
55,53224,04
55,53225,04
55,53225,05
55,53226,04
55,53226,05
55,53227,04
55,53227,05
55,53228,04
55,53228,05
55,53233,04
55,53235,04
55,53295,04
55,53402,01
55,53403,01
55,53404,01
55,53405,01
55,53406,01
55,53501,02
55,53502,02
55,53503,02
55,53504,02
55,53505,01
55,53506,02
55,53507,02
55,53508,02
55,53510,02
55,53511,01
55,53511,02
55,53515,02
55,53516,02
55,53517,02
55,53518,03
55,53520,02
55,53521,02
55,53522,02
55,53523,02
55,53523,05
55,53525,01
55,53526,02
55,53527,02
55,53528,02
55,53529,02
55,53530,02
55,53531,02
55,53532,02
55,53532,06
55,53533,02
55,53534,02
55,53534,05
55,53536,02
55,53537,02
55,53538,01
55,53538,05
55,53540,02
55,53541,02
55,53543,02
55,53543,03
55,53544,02
55,53545,01
55,53545,02
55,53546,01
55,53546,02
55,53548,01
55,53548,02
55,53549,05
55,53550,02
55,53551,05
55,53553,02
55,53554,02
55,53554,03
55,53555,02
55,53555,06
55,53556,02
55,53556,03
55,53557,05
55,53558,02
55,53559,02
55,53559,05
55,53560,02
55,53561,02
55,53561,06
55,53562,02
55,53563,01
55,53563,02
55,53563,05
55,53565,02
55,53566,02
55,53569,02
55,53569,03
55,53570,02
55,53571,02
55,53572,02
55,53573,02
55,53573,03
55,53574,02
55,53575,02
55,53576,02
55,53577,02
55,53578,02
